Category: All categories

Month,gout: (Utah)
2014-01,71
2014-02,78
2014-03,61
2014-04,78
2014-05,73
2014-06,75
2014-07,82
2014-08,96
2014-09,68
2014-10,84
2014-11,77
2014-12,65
2015-01,66
2015-02,76
2015-03,75
2015-04,75
2015-05,91
2015-06,88
2015-07,81
2015-08,90
2015-09,69
2015-10,61
2015-11,68
2015-12,66
2016-01,69
2016-02,71
2016-03,66
2016-04,78
2016-05,61
2016-06,73
2016-07,86
2016-08,75
2016-09,58
2016-10,63
2016-11,63
2016-12,67
2017-01,72
2017-02,83
2017-03,80
2017-04,77
2017-05,75
2017-06,81
2017-07,83
2017-08,78
2017-09,71
2017-10,78
2017-11,72
2017-12,77
2018-01,74
2018-02,85
2018-03,87
2018-04,75
2018-05,90
2018-06,86
2018-07,95
2018-08,90
2018-09,75
2018-10,74
2018-11,74
2018-12,90
2019-01,85
2019-02,72
2019-03,77
2019-04,90
2019-05,89
2019-06,88
2019-07,95
2019-08,81
2019-09,80
2019-10,82
2019-11,70
2019-12,88
2020-01,85
2020-02,80
2020-03,67
2020-04,71
2020-05,82
2020-06,84
2020-07,82
2020-08,74
2020-09,67
2020-10,62
2020-11,62
2020-12,76
2021-01,68
2021-02,80
2021-03,78
2021-04,82
2021-05,79
2021-06,100
2021-07,91
2021-08,87
2021-09,84
2021-10,77
2021-11,76
2021-12,78
2022-01,77
2022-02,78
2022-03,78
2022-04,91
2022-05,80
2022-06,92
2022-07,96
2022-08,95
2022-09,85
2022-10,74
2022-11,77
2022-12,79
2023-01,77
2023-02,82
2023-03,84
2023-04,92
2023-05,83
2023-06,97
2023-07,96
2023-08,86
2023-09,80
2023-10,85
2023-11,75
2023-12,78
2024-01,82
2024-02,85
2024-03,85
2024-04,81
2024-05,79
2024-06,90
2024-07,91
2024-08,88
2024-09,75
2024-10,80
2024-11,78
2024-12,82
