Category: All categories

Month,gout: (Virginia)
2014-01,72
2014-02,64
2014-03,69
2014-04,69
2014-05,70
2014-06,75
2014-07,54
2014-08,54
2014-09,52
2014-10,51
2014-11,42
2014-12,47
2015-01,41
2015-02,38
2015-03,41
2015-04,44
2015-05,47
2015-06,47
2015-07,83
2015-08,92
2015-09,78
2015-10,73
2015-11,90
2015-12,83
2016-01,79
2016-02,75
2016-03,74
2016-04,80
2016-05,73
2016-06,84
2016-07,80
2016-08,82
2016-09,78
2016-10,76
2016-11,75
2016-12,74
2017-01,75
2017-02,74
2017-03,73
2017-04,97
2017-05,77
2017-06,97
2017-07,86
2017-08,84
2017-09,79
2017-10,78
2017-11,75
2017-12,85
2018-01,91
2018-02,88
2018-03,91
2018-04,96
2018-05,93
2018-06,98
2018-07,98
2018-08,94
2018-09,89
2018-10,77
2018-11,82
2018-12,86
2019-01,96
2019-02,91
2019-03,95
2019-04,91
2019-05,99
2019-06,93
2019-07,97
2019-08,93
2019-09,94
2019-10,92
2019-11,81
2019-12,81
2020-01,89
2020-02,93
2020-03,81
2020-04,84
2020-05,81
2020-06,93
2020-07,92
2020-08,87
2020-09,80
2020-10,81
2020-11,79
2020-12,81
2021-01,90
2021-02,93
2021-03,90
2021-04,90
2021-05,88
2021-06,98
2021-07,91
2021-08,89
2021-09,88
2021-10,90
2021-11,80
2021-12,85
2022-01,90
2022-02,91
2022-03,94
2022-04,93
2022-05,96
2022-06,96
2022-07,100
2022-08,91
2022-09,84
2022-10,84
2022-11,79
2022-12,83
2023-01,89
2023-02,93
2023-03,90
2023-04,92
2023-05,91
2023-06,95
2023-07,94
2023-08,86
2023-09,84
2023-10,80
2023-11,80
2023-12,86
2024-01,84
2024-02,89
2024-03,87
2024-04,97
2024-05,97
2024-06,99
2024-07,95
2024-08,88
2024-09,89
2024-10,90
2024-11,88
2024-12,98
