Category: All categories

Month,gout: (Vermont)
2014-01,47
2014-02,54
2014-03,43
2014-04,28
2014-05,64
2014-06,56
2014-07,70
2014-08,59
2014-09,65
2014-10,76
2014-11,37
2014-12,68
2015-01,48
2015-02,41
2015-03,48
2015-04,71
2015-05,56
2015-06,77
2015-07,94
2015-08,62
2015-09,31
2015-10,64
2015-11,59
2015-12,44
2016-01,58
2016-02,68
2016-03,63
2016-04,69
2016-05,79
2016-06,73
2016-07,63
2016-08,61
2016-09,48
2016-10,42
2016-11,70
2016-12,61
2017-01,59
2017-02,63
2017-03,52
2017-04,63
2017-05,55
2017-06,85
2017-07,84
2017-08,73
2017-09,73
2017-10,57
2017-11,64
2017-12,73
2018-01,71
2018-02,55
2018-03,56
2018-04,84
2018-05,75
2018-06,76
2018-07,85
2018-08,81
2018-09,79
2018-10,46
2018-11,59
2018-12,74
2019-01,63
2019-02,68
2019-03,59
2019-04,59
2019-05,78
2019-06,86
2019-07,79
2019-08,70
2019-09,58
2019-10,57
2019-11,48
2019-12,67
2020-01,67
2020-02,68
2020-03,61
2020-04,63
2020-05,70
2020-06,67
2020-07,74
2020-08,69
2020-09,67
2020-10,71
2020-11,45
2020-12,52
2021-01,58
2021-02,55
2021-03,71
2021-04,73
2021-05,78
2021-06,82
2021-07,100
2021-08,78
2021-09,57
2021-10,75
2021-11,69
2021-12,54
2022-01,47
2022-02,61
2022-03,61
2022-04,73
2022-05,85
2022-06,81
2022-07,83
2022-08,83
2022-09,62
2022-10,67
2022-11,67
2022-12,51
2023-01,74
2023-02,72
2023-03,57
2023-04,65
2023-05,69
2023-06,84
2023-07,86
2023-08,66
2023-09,71
2023-10,45
2023-11,66
2023-12,70
2024-01,73
2024-02,63
2024-03,82
2024-04,60
2024-05,75
2024-06,60
2024-07,59
2024-08,69
2024-09,69
2024-10,71
2024-11,72
2024-12,80
