Category: All categories

Month,gout: (Washington)
2014-01,68
2014-02,73
2014-03,67
2014-04,79
2014-05,82
2014-06,72
2014-07,85
2014-08,81
2014-09,84
2014-10,86
2014-11,76
2014-12,80
2015-01,84
2015-02,83
2015-03,88
2015-04,85
2015-05,82
2015-06,88
2015-07,87
2015-08,81
2015-09,72
2015-10,75
2015-11,74
2015-12,73
2016-01,79
2016-02,74
2016-03,82
2016-04,73
2016-05,75
2016-06,81
2016-07,88
2016-08,74
2016-09,73
2016-10,65
2016-11,72
2016-12,68
2017-01,74
2017-02,74
2017-03,79
2017-04,82
2017-05,80
2017-06,92
2017-07,91
2017-08,87
2017-09,75
2017-10,78
2017-11,74
2017-12,81
2018-01,82
2018-02,78
2018-03,85
2018-04,87
2018-05,86
2018-06,88
2018-07,100
2018-08,85
2018-09,84
2018-10,79
2018-11,81
2018-12,85
2019-01,87
2019-02,85
2019-03,87
2019-04,90
2019-05,92
2019-06,92
2019-07,94
2019-08,97
2019-09,85
2019-10,83
2019-11,76
2019-12,86
2020-01,87
2020-02,81
2020-03,70
2020-04,83
2020-05,84
2020-06,81
2020-07,88
2020-08,89
2020-09,76
2020-10,72
2020-11,76
2020-12,79
2021-01,80
2021-02,80
2021-03,78
2021-04,84
2021-05,88
2021-06,83
2021-07,91
2021-08,80
2021-09,76
2021-10,72
2021-11,74
2021-12,70
2022-01,87
2022-02,86
2022-03,88
2022-04,86
2022-05,86
2022-06,94
2022-07,96
2022-08,97
2022-09,85
2022-10,83
2022-11,73
2022-12,73
2023-01,83
2023-02,79
2023-03,93
2023-04,90
2023-05,95
2023-06,100
2023-07,99
2023-08,97
2023-09,78
2023-10,72
2023-11,84
2023-12,91
2024-01,85
2024-02,92
2024-03,78
2024-04,84
2024-05,91
2024-06,84
2024-07,91
2024-08,89
2024-09,80
2024-10,77
2024-11,79
2024-12,93
