Category: All categories

Month,gout: (Wisconsin)
2014-01,61
2014-02,63
2014-03,76
2014-04,78
2014-05,79
2014-06,78
2014-07,95
2014-08,90
2014-09,86
2014-10,80
2014-11,71
2014-12,75
2015-01,67
2015-02,80
2015-03,76
2015-04,73
2015-05,77
2015-06,88
2015-07,86
2015-08,79
2015-09,67
2015-10,65
2015-11,74
2015-12,70
2016-01,69
2016-02,67
2016-03,70
2016-04,73
2016-05,76
2016-06,83
2016-07,85
2016-08,75
2016-09,73
2016-10,70
2016-11,65
2016-12,66
2017-01,70
2017-02,76
2017-03,73
2017-04,75
2017-05,75
2017-06,86
2017-07,85
2017-08,80
2017-09,79
2017-10,79
2017-11,74
2017-12,71
2018-01,80
2018-02,75
2018-03,79
2018-04,77
2018-05,82
2018-06,99
2018-07,100
2018-08,90
2018-09,84
2018-10,69
2018-11,73
2018-12,85
2019-01,77
2019-02,80
2019-03,84
2019-04,85
2019-05,88
2019-06,99
2019-07,95
2019-08,88
2019-09,77
2019-10,79
2019-11,79
2019-12,76
2020-01,83
2020-02,81
2020-03,74
2020-04,63
2020-05,81
2020-06,79
2020-07,81
2020-08,76
2020-09,65
2020-10,70
2020-11,76
2020-12,76
2021-01,74
2021-02,81
2021-03,83
2021-04,81
2021-05,88
2021-06,90
2021-07,97
2021-08,83
2021-09,80
2021-10,80
2021-11,72
2021-12,76
2022-01,93
2022-02,74
2022-03,89
2022-04,82
2022-05,91
2022-06,89
2022-07,87
2022-08,100
2022-09,85
2022-10,79
2022-11,76
2022-12,78
2023-01,78
2023-02,86
2023-03,85
2023-04,86
2023-05,87
2023-06,99
2023-07,87
2023-08,86
2023-09,80
2023-10,80
2023-11,79
2023-12,83
2024-01,86
2024-02,82
2024-03,89
2024-04,79
2024-05,75
2024-06,87
2024-07,96
2024-08,88
2024-09,76
2024-10,78
2024-11,73
2024-12,92
