Category: All categories

Month,gout: (West Virginia)
2014-01,57
2014-02,65
2014-03,52
2014-04,63
2014-05,90
2014-06,99
2014-07,81
2014-08,70
2014-09,69
2014-10,76
2014-11,77
2014-12,70
2015-01,82
2015-02,57
2015-03,72
2015-04,67
2015-05,100
2015-06,69
2015-07,86
2015-08,96
2015-09,65
2015-10,68
2015-11,65
2015-12,61
2016-01,67
2016-02,72
2016-03,69
2016-04,67
2016-05,86
2016-06,74
2016-07,76
2016-08,69
2016-09,72
2016-10,65
2016-11,69
2016-12,73
2017-01,84
2017-02,80
2017-03,94
2017-04,100
2017-05,78
2017-06,84
2017-07,71
2017-08,83
2017-09,72
2017-10,72
2017-11,76
2017-12,71
2018-01,81
2018-02,85
2018-03,95
2018-04,84
2018-05,99
2018-06,94
2018-07,86
2018-08,79
2018-09,81
2018-10,75
2018-11,77
2018-12,75
2019-01,83
2019-02,67
2019-03,85
2019-04,73
2019-05,83
2019-06,85
2019-07,98
2019-08,94
2019-09,72
2019-10,80
2019-11,70
2019-12,69
2020-01,74
2020-02,66
2020-03,72
2020-04,77
2020-05,82
2020-06,69
2020-07,88
2020-08,85
2020-09,66
2020-10,61
2020-11,61
2020-12,67
2021-01,71
2021-02,76
2021-03,74
2021-04,75
2021-05,91
2021-06,83
2021-07,84
2021-08,77
2021-09,68
2021-10,74
2021-11,66
2021-12,81
2022-01,82
2022-02,93
2022-03,83
2022-04,86
2022-05,87
2022-06,93
2022-07,99
2022-08,89
2022-09,95
2022-10,80
2022-11,81
2022-12,79
2023-01,99
2023-02,93
2023-03,81
2023-04,86
2023-05,92
2023-06,99
2023-07,78
2023-08,83
2023-09,85
2023-10,85
2023-11,67
2023-12,72
2024-01,69
2024-02,81
2024-03,78
2024-04,84
2024-05,82
2024-06,95
2024-07,94
2024-08,86
2024-09,78
2024-10,68
2024-11,84
2024-12,71
