Category: All categories

Month,gout: (Wyoming)
2014-01,50
2014-02,66
2014-03,64
2014-04,66
2014-05,67
2014-06,70
2014-07,68
2014-08,58
2014-09,46
2014-10,74
2014-11,37
2014-12,50
2015-01,60
2015-02,56
2015-03,76
2015-04,39
2015-05,53
2015-06,73
2015-07,50
2015-08,66
2015-09,78
2015-10,38
2015-11,52
2015-12,50
2016-01,56
2016-02,61
2016-03,85
2016-04,83
2016-05,78
2016-06,73
2016-07,79
2016-08,71
2016-09,60
2016-10,38
2016-11,67
2016-12,55
2017-01,67
2017-02,62
2017-03,60
2017-04,81
2017-05,71
2017-06,84
2017-07,58
2017-08,78
2017-09,65
2017-10,66
2017-11,56
2017-12,56
2018-01,81
2018-02,69
2018-03,65
2018-04,88
2018-05,71
2018-06,64
2018-07,90
2018-08,57
2018-09,70
2018-10,66
2018-11,64
2018-12,70
2019-01,80
2019-02,77
2019-03,84
2019-04,97
2019-05,66
2019-06,66
2019-07,72
2019-08,61
2019-09,61
2019-10,71
2019-11,77
2019-12,78
2020-01,80
2020-02,68
2020-03,61
2020-04,74
2020-05,75
2020-06,74
2020-07,72
2020-08,65
2020-09,63
2020-10,64
2020-11,54
2020-12,80
2021-01,77
2021-02,73
2021-03,56
2021-04,78
2021-05,57
2021-06,62
2021-07,67
2021-08,72
2021-09,34
2021-10,52
2021-11,70
2021-12,48
2022-01,74
2022-02,79
2022-03,63
2022-04,100
2022-05,76
2022-06,81
2022-07,73
2022-08,99
2022-09,78
2022-10,57
2022-11,62
2022-12,62
2023-01,67
2023-02,81
2023-03,93
2023-04,82
2023-05,87
2023-06,56
2023-07,84
2023-08,73
2023-09,64
2023-10,76
2023-11,58
2023-12,60
2024-01,83
2024-02,44
2024-03,55
2024-04,70
2024-05,81
2024-06,80
2024-07,73
2024-08,57
2024-09,69
2024-10,69
2024-11,54
2024-12,78
