Category: All categories

Month,gout: (Alaska)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,86
2009-02,0
2009-03,0
2009-04,0
2009-05,90
2009-06,0
2009-07,0
2009-08,0
2009-09,76
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,60
2010-08,0
2010-09,0
2010-10,85
2010-11,0
2010-12,0
2011-01,46
2011-02,71
2011-03,52
2011-04,72
2011-05,100
2011-06,90
2011-07,47
2011-08,0
2011-09,42
2011-10,39
2011-11,62
2011-12,0
2012-01,52
2012-02,32
2012-03,48
2012-04,50
2012-05,65
2012-06,59
2012-07,38
2012-08,44
2012-09,49
2012-10,35
2012-11,58
2012-12,38
2013-01,44
2013-02,45
2013-03,51
2013-04,0
2013-05,35
2013-06,45
2013-07,52
2013-08,50
2013-09,66
2013-10,29
2013-11,59
2013-12,0
2014-01,42
2014-02,0
2014-03,42
2014-04,52
2014-05,0
2014-06,71
2014-07,49
2014-08,63
2014-09,44
2014-10,34
2014-11,60
2014-12,57
2015-01,34
2015-02,49
2015-03,46
2015-04,40
2015-05,55
2015-06,56
2015-07,47
2015-08,56
2015-09,41
2015-10,48
2015-11,52
2015-12,43
2016-01,52
2016-02,40
2016-03,43
2016-04,30
2016-05,53
2016-06,58
2016-07,52
2016-08,45
2016-09,38
2016-10,54
2016-11,47
2016-12,48
2017-01,0
2017-02,52
2017-03,56
2017-04,58
2017-05,50
2017-06,57
2017-07,34
2017-08,50
2017-09,74
2017-10,51
2017-11,40
2017-12,49
2018-01,54
2018-02,38
2018-03,38
2018-04,58
2018-05,53
2018-06,51
2018-07,59
2018-08,59
2018-09,54
2018-10,73
2018-11,42
2018-12,47
2019-01,57
2019-02,49
2019-03,68
2019-04,59
2019-05,81
2019-06,56
2019-07,49
2019-08,53
2019-09,45
2019-10,64
2019-11,68
2019-12,52
2020-01,35
2020-02,89
2020-03,46
2020-04,51
2020-05,52
2020-06,50
2020-07,49
2020-08,40
2020-09,50
2020-10,68
2020-11,41
2020-12,52
2021-01,45
2021-02,46
2021-03,61
2021-04,57
2021-05,39
2021-06,85
2021-07,54
2021-08,56
2021-09,75
2021-10,59
2021-11,46
2021-12,49
2022-01,45
2022-02,43
2022-03,50
2022-04,59
2022-05,68
2022-06,57
2022-07,70
2022-08,69
2022-09,64
2022-10,54
2022-11,62
2022-12,46
2023-01,62
2023-02,54
2023-03,72
2023-04,50
2023-05,49
2023-06,79
2023-07,40
2023-08,65
2023-09,63
2023-10,52
2023-11,45
2023-12,52
2024-01,52
2024-02,51
2024-03,62
2024-04,63
