Category: All categories

Month,gout: (Alabama)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,97
2005-11,84
2005-12,0
2006-01,0
2006-02,80
2006-03,66
2006-04,73
2006-05,86
2006-06,77
2006-07,0
2006-08,66
2006-09,0
2006-10,0
2006-11,59
2006-12,92
2007-01,60
2007-02,53
2007-03,60
2007-04,47
2007-05,99
2007-06,70
2007-07,66
2007-08,73
2007-09,68
2007-10,67
2007-11,53
2007-12,77
2008-01,54
2008-02,57
2008-03,0
2008-04,81
2008-05,44
2008-06,81
2008-07,55
2008-08,63
2008-09,93
2008-10,37
2008-11,60
2008-12,63
2009-01,76
2009-02,66
2009-03,59
2009-04,69
2009-05,59
2009-06,64
2009-07,65
2009-08,89
2009-09,63
2009-10,64
2009-11,54
2009-12,60
2010-01,50
2010-02,70
2010-03,80
2010-04,54
2010-05,75
2010-06,60
2010-07,72
2010-08,52
2010-09,58
2010-10,100
2010-11,81
2010-12,56
2011-01,66
2011-02,82
2011-03,79
2011-04,74
2011-05,77
2011-06,72
2011-07,85
2011-08,88
2011-09,78
2011-10,90
2011-11,88
2011-12,54
2012-01,56
2012-02,69
2012-03,78
2012-04,59
2012-05,64
2012-06,66
2012-07,78
2012-08,59
2012-09,68
2012-10,58
2012-11,49
2012-12,55
2013-01,53
2013-02,57
2013-03,62
2013-04,64
2013-05,65
2013-06,71
2013-07,56
2013-08,64
2013-09,57
2013-10,56
2013-11,62
2013-12,65
2014-01,64
2014-02,64
2014-03,67
2014-04,62
2014-05,78
2014-06,63
2014-07,75
2014-08,65
2014-09,68
2014-10,75
2014-11,58
2014-12,63
2015-01,71
2015-02,48
2015-03,76
2015-04,69
2015-05,75
2015-06,74
2015-07,82
2015-08,68
2015-09,73
2015-10,72
2015-11,64
2015-12,72
2016-01,70
2016-02,67
2016-03,75
2016-04,69
2016-05,68
2016-06,84
2016-07,74
2016-08,67
2016-09,62
2016-10,70
2016-11,52
2016-12,79
2017-01,83
2017-02,70
2017-03,72
2017-04,74
2017-05,80
2017-06,77
2017-07,77
2017-08,82
2017-09,77
2017-10,76
2017-11,68
2017-12,72
2018-01,69
2018-02,82
2018-03,76
2018-04,74
2018-05,76
2018-06,89
2018-07,87
2018-08,79
2018-09,78
2018-10,74
2018-11,61
2018-12,73
2019-01,78
2019-02,85
2019-03,85
2019-04,75
2019-05,82
2019-06,80
2019-07,87
2019-08,74
2019-09,77
2019-10,75
2019-11,69
2019-12,70
2020-01,81
2020-02,72
2020-03,72
2020-04,63
2020-05,78
2020-06,74
2020-07,72
2020-08,64
2020-09,68
2020-10,68
2020-11,71
2020-12,67
2021-01,67
2021-02,77
2021-03,75
2021-04,76
2021-05,73
2021-06,81
2021-07,77
2021-08,70
2021-09,74
2021-10,73
2021-11,65
2021-12,71
2022-01,77
2022-02,80
2022-03,87
2022-04,80
2022-05,79
2022-06,90
2022-07,84
2022-08,73
2022-09,79
2022-10,73
2022-11,65
2022-12,75
2023-01,71
2023-02,79
2023-03,74
2023-04,72
2023-05,80
2023-06,81
2023-07,74
2023-08,80
2023-09,71
2023-10,71
2023-11,63
2023-12,71
2024-01,71
2024-02,77
2024-03,66
2024-04,79
