Category: All categories

Month,gout: (Arkansas)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,100
2005-08,0
2005-09,0
2005-10,66
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,38
2007-09,29
2007-10,25
2007-11,0
2007-12,27
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,28
2008-06,31
2008-07,26
2008-08,0
2008-09,30
2008-10,0
2008-11,26
2008-12,27
2009-01,26
2009-02,26
2009-03,20
2009-04,36
2009-05,22
2009-06,28
2009-07,0
2009-08,33
2009-09,26
2009-10,21
2009-11,31
2009-12,0
2010-01,0
2010-02,25
2010-03,18
2010-04,34
2010-05,24
2010-06,22
2010-07,20
2010-08,32
2010-09,33
2010-10,53
2010-11,0
2010-12,40
2011-01,23
2011-02,17
2011-03,18
2011-04,29
2011-05,25
2011-06,33
2011-07,20
2011-08,34
2011-09,29
2011-10,25
2011-11,20
2011-12,23
2012-01,23
2012-02,27
2012-03,31
2012-04,26
2012-05,17
2012-06,24
2012-07,25
2012-08,21
2012-09,19
2012-10,22
2012-11,24
2012-12,18
2013-01,24
2013-02,16
2013-03,26
2013-04,21
2013-05,25
2013-06,21
2013-07,26
2013-08,22
2013-09,26
2013-10,24
2013-11,18
2013-12,21
2014-01,21
2014-02,23
2014-03,25
2014-04,35
2014-05,27
2014-06,26
2014-07,24
2014-08,26
2014-09,29
2014-10,26
2014-11,15
2014-12,20
2015-01,25
2015-02,27
2015-03,25
2015-04,27
2015-05,28
2015-06,23
2015-07,30
2015-08,26
2015-09,15
2015-10,22
2015-11,24
2015-12,23
2016-01,24
2016-02,23
2016-03,22
2016-04,28
2016-05,22
2016-06,27
2016-07,25
2016-08,20
2016-09,27
2016-10,27
2016-11,23
2016-12,21
2017-01,27
2017-02,25
2017-03,25
2017-04,26
2017-05,23
2017-06,30
2017-07,29
2017-08,26
2017-09,22
2017-10,29
2017-11,20
2017-12,26
2018-01,23
2018-02,29
2018-03,24
2018-04,28
2018-05,30
2018-06,32
2018-07,36
2018-08,21
2018-09,31
2018-10,29
2018-11,24
2018-12,27
2019-01,29
2019-02,26
2019-03,29
2019-04,25
2019-05,26
2019-06,31
2019-07,29
2019-08,30
2019-09,31
2019-10,29
2019-11,22
2019-12,30
2020-01,26
2020-02,29
2020-03,26
2020-04,26
2020-05,30
2020-06,28
2020-07,29
2020-08,30
2020-09,27
2020-10,30
2020-11,24
2020-12,27
2021-01,26
2021-02,26
2021-03,29
2021-04,28
2021-05,27
2021-06,25
2021-07,26
2021-08,28
2021-09,28
2021-10,25
2021-11,25
2021-12,27
2022-01,29
2022-02,29
2022-03,34
2022-04,30
2022-05,28
2022-06,34
2022-07,38
2022-08,31
2022-09,25
2022-10,29
2022-11,24
2022-12,32
2023-01,27
2023-02,27
2023-03,31
2023-04,29
2023-05,33
2023-06,33
2023-07,30
2023-08,30
2023-09,26
2023-10,28
2023-11,27
2023-12,26
2024-01,22
2024-02,30
2024-03,27
2024-04,26
