Category: All categories

Month,gout: (Arizona)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,60
2004-12,61
2005-01,43
2005-02,48
2005-03,0
2005-04,50
2005-05,44
2005-06,65
2005-07,56
2005-08,62
2005-09,40
2005-10,35
2005-11,0
2005-12,46
2006-01,51
2006-02,64
2006-03,46
2006-04,50
2006-05,50
2006-06,59
2006-07,35
2006-08,48
2006-09,36
2006-10,28
2006-11,30
2006-12,32
2007-01,35
2007-02,33
2007-03,36
2007-04,43
2007-05,51
2007-06,59
2007-07,45
2007-08,47
2007-09,42
2007-10,34
2007-11,41
2007-12,49
2008-01,46
2008-02,45
2008-03,50
2008-04,48
2008-05,50
2008-06,40
2008-07,53
2008-08,41
2008-09,53
2008-10,52
2008-11,33
2008-12,41
2009-01,40
2009-02,43
2009-03,53
2009-04,58
2009-05,37
2009-06,55
2009-07,45
2009-08,38
2009-09,42
2009-10,34
2009-11,38
2009-12,43
2010-01,45
2010-02,39
2010-03,49
2010-04,45
2010-05,66
2010-06,35
2010-07,52
2010-08,58
2010-09,66
2010-10,59
2010-11,52
2010-12,67
2011-01,54
2011-02,58
2011-03,53
2011-04,66
2011-05,56
2011-06,49
2011-07,53
2011-08,67
2011-09,49
2011-10,63
2011-11,49
2011-12,37
2012-01,55
2012-02,59
2012-03,52
2012-04,55
2012-05,48
2012-06,52
2012-07,43
2012-08,42
2012-09,47
2012-10,53
2012-11,44
2012-12,39
2013-01,48
2013-02,48
2013-03,47
2013-04,48
2013-05,43
2013-06,51
2013-07,46
2013-08,43
2013-09,47
2013-10,43
2013-11,39
2013-12,37
2014-01,46
2014-02,46
2014-03,46
2014-04,51
2014-05,46
2014-06,46
2014-07,48
2014-08,50
2014-09,44
2014-10,62
2014-11,43
2014-12,53
2015-01,49
2015-02,52
2015-03,49
2015-04,58
2015-05,60
2015-06,46
2015-07,43
2015-08,45
2015-09,46
2015-10,45
2015-11,49
2015-12,49
2016-01,48
2016-02,44
2016-03,51
2016-04,42
2016-05,47
2016-06,49
2016-07,47
2016-08,46
2016-09,41
2016-10,50
2016-11,43
2016-12,45
2017-01,48
2017-02,49
2017-03,48
2017-04,53
2017-05,47
2017-06,55
2017-07,49
2017-08,47
2017-09,45
2017-10,47
2017-11,51
2017-12,49
2018-01,43
2018-02,50
2018-03,50
2018-04,53
2018-05,55
2018-06,52
2018-07,57
2018-08,54
2018-09,49
2018-10,46
2018-11,46
2018-12,50
2019-01,57
2019-02,51
2019-03,57
2019-04,56
2019-05,57
2019-06,55
2019-07,52
2019-08,50
2019-09,50
2019-10,52
2019-11,55
2019-12,47
2020-01,55
2020-02,54
2020-03,45
2020-04,48
2020-05,48
2020-06,46
2020-07,45
2020-08,43
2020-09,45
2020-10,48
2020-11,45
2020-12,46
2021-01,50
2021-02,48
2021-03,50
2021-04,48
2021-05,54
2021-06,53
2021-07,54
2021-08,46
2021-09,44
2021-10,45
2021-11,51
2021-12,48
2022-01,53
2022-02,52
2022-03,55
2022-04,53
2022-05,55
2022-06,58
2022-07,52
2022-08,60
2022-09,56
2022-10,52
2022-11,45
2022-12,53
2023-01,54
2023-02,50
2023-03,56
2023-04,57
2023-05,59
2023-06,62
2023-07,55
2023-08,53
2023-09,47
2023-10,48
2023-11,48
2023-12,50
2024-01,53
2024-02,53
2024-03,50
2024-04,52
