Category: All categories

Month,Gout: (California)
2004-01,53
2004-02,42
2004-03,52
2004-04,77
2004-05,53
2004-06,51
2004-07,66
2004-08,63
2004-09,61
2004-10,58
2004-11,43
2004-12,51
2005-01,51
2005-02,57
2005-03,56
2005-04,49
2005-05,69
2005-06,61
2005-07,76
2005-08,62
2005-09,61
2005-10,56
2005-11,52
2005-12,48
2006-01,52
2006-02,44
2006-03,61
2006-04,51
2006-05,53
2006-06,60
2006-07,80
2006-08,70
2006-09,67
2006-10,54
2006-11,53
2006-12,45
2007-01,59
2007-02,53
2007-03,53
2007-04,52
2007-05,56
2007-06,58
2007-07,67
2007-08,60
2007-09,56
2007-10,53
2007-11,49
2007-12,50
2008-01,51
2008-02,50
2008-03,55
2008-04,57
2008-05,55
2008-06,63
2008-07,57
2008-08,55
2008-09,53
2008-10,43
2008-11,47
2008-12,48
2009-01,53
2009-02,47
2009-03,55
2009-04,54
2009-05,60
2009-06,60
2009-07,57
2009-08,54
2009-09,52
2009-10,50
2009-11,49
2009-12,52
2010-01,46
2010-02,48
2010-03,50
2010-04,50
2010-05,56
2010-06,54
2010-07,53
2010-08,46
2010-09,48
2010-10,61
2010-11,54
2010-12,54
2011-01,79
2011-02,72
2011-03,71
2011-04,73
2011-05,74
2011-06,80
2011-07,85
2011-08,85
2011-09,72
2011-10,74
2011-11,68
2011-12,57
2012-01,70
2012-02,72
2012-03,65
2012-04,74
2012-05,70
2012-06,71
2012-07,72
2012-08,70
2012-09,66
2012-10,60
2012-11,58
2012-12,59
2013-01,61
2013-02,61
2013-03,72
2013-04,67
2013-05,68
2013-06,69
2013-07,70
2013-08,69
2013-09,62
2013-10,60
2013-11,58
2013-12,56
2014-01,66
2014-02,62
2014-03,65
2014-04,67
2014-05,68
2014-06,66
2014-07,77
2014-08,66
2014-09,69
2014-10,71
2014-11,61
2014-12,65
2015-01,68
2015-02,67
2015-03,70
2015-04,68
2015-05,66
2015-06,75
2015-07,77
2015-08,72
2015-09,68
2015-10,64
2015-11,64
2015-12,59
2016-01,65
2016-02,64
2016-03,64
2016-04,65
2016-05,65
2016-06,69
2016-07,72
2016-08,72
2016-09,68
2016-10,67
2016-11,63
2016-12,61
2017-01,63
2017-02,67
2017-03,72
2017-04,76
2017-05,78
2017-06,79
2017-07,81
2017-08,79
2017-09,75
2017-10,72
2017-11,63
2017-12,68
2018-01,72
2018-02,70
2018-03,72
2018-04,83
2018-05,76
2018-06,78
2018-07,85
2018-08,85
2018-09,76
2018-10,71
2018-11,71
2018-12,74
2019-01,78
2019-02,76
2019-03,80
2019-04,80
2019-05,79
2019-06,80
2019-07,86
2019-08,82
2019-09,73
2019-10,74
2019-11,73
2019-12,74
2020-01,74
2020-02,71
2020-03,66
2020-04,78
2020-05,60
2020-06,84
2020-07,82
2020-08,80
2020-09,63
2020-10,72
2020-11,72
2020-12,73
2021-01,70
2021-02,78
2021-03,70
2021-04,78
2021-05,87
2021-06,79
2021-07,84
2021-08,77
2021-09,76
2021-10,75
2021-11,72
2021-12,70
2022-01,79
2022-02,80
2022-03,79
2022-04,81
2022-05,81
2022-06,88
2022-07,100
2022-08,91
2022-09,78
2022-10,70
2022-11,71
2022-12,74
2023-01,75
2023-02,89
2023-03,77
2023-04,88
2023-05,77
2023-06,92
2023-07,94
2023-08,87
2023-09,82
2023-10,82
2023-11,78
2023-12,79
2024-01,70
2024-02,82
2024-03,83
2024-04,82
