Category: All categories

Month,gout: (Colorado)
2004-01,60
2004-02,0
2004-03,0
2004-04,0
2004-05,100
2004-06,0
2004-07,62
2004-08,0
2004-09,0
2004-10,49
2004-11,48
2004-12,0
2005-01,43
2005-02,42
2005-03,54
2005-04,37
2005-05,42
2005-06,38
2005-07,54
2005-08,55
2005-09,48
2005-10,27
2005-11,33
2005-12,63
2006-01,35
2006-02,31
2006-03,47
2006-04,41
2006-05,45
2006-06,44
2006-07,40
2006-08,55
2006-09,44
2006-10,32
2006-11,34
2006-12,39
2007-01,39
2007-02,44
2007-03,33
2007-04,51
2007-05,42
2007-06,49
2007-07,50
2007-08,52
2007-09,38
2007-10,43
2007-11,49
2007-12,28
2008-01,51
2008-02,39
2008-03,40
2008-04,30
2008-05,45
2008-06,40
2008-07,50
2008-08,51
2008-09,46
2008-10,37
2008-11,37
2008-12,36
2009-01,40
2009-02,48
2009-03,38
2009-04,44
2009-05,45
2009-06,58
2009-07,56
2009-08,40
2009-09,44
2009-10,44
2009-11,44
2009-12,39
2010-01,54
2010-02,53
2010-03,51
2010-04,41
2010-05,59
2010-06,57
2010-07,49
2010-08,45
2010-09,45
2010-10,66
2010-11,54
2010-12,55
2011-01,50
2011-02,46
2011-03,53
2011-04,58
2011-05,50
2011-06,56
2011-07,60
2011-08,55
2011-09,49
2011-10,63
2011-11,51
2011-12,44
2012-01,60
2012-02,51
2012-03,46
2012-04,44
2012-05,50
2012-06,56
2012-07,61
2012-08,51
2012-09,45
2012-10,35
2012-11,42
2012-12,44
2013-01,45
2013-02,37
2013-03,46
2013-04,53
2013-05,45
2013-06,48
2013-07,54
2013-08,50
2013-09,48
2013-10,45
2013-11,39
2013-12,40
2014-01,48
2014-02,43
2014-03,41
2014-04,45
2014-05,45
2014-06,54
2014-07,54
2014-08,44
2014-09,47
2014-10,46
2014-11,43
2014-12,46
2015-01,49
2015-02,38
2015-03,47
2015-04,40
2015-05,42
2015-06,59
2015-07,59
2015-08,45
2015-09,45
2015-10,52
2015-11,46
2015-12,48
2016-01,48
2016-02,40
2016-03,48
2016-04,47
2016-05,49
2016-06,46
2016-07,49
2016-08,50
2016-09,50
2016-10,48
2016-11,46
2016-12,48
2017-01,50
2017-02,52
2017-03,46
2017-04,55
2017-05,51
2017-06,59
2017-07,52
2017-08,52
2017-09,51
2017-10,46
2017-11,48
2017-12,47
2018-01,47
2018-02,52
2018-03,48
2018-04,53
2018-05,50
2018-06,57
2018-07,58
2018-08,52
2018-09,51
2018-10,42
2018-11,45
2018-12,47
2019-01,55
2019-02,50
2019-03,56
2019-04,54
2019-05,53
2019-06,58
2019-07,61
2019-08,56
2019-09,51
2019-10,49
2019-11,49
2019-12,55
2020-01,52
2020-02,51
2020-03,44
2020-04,46
2020-05,50
2020-06,55
2020-07,54
2020-08,53
2020-09,41
2020-10,44
2020-11,47
2020-12,51
2021-01,47
2021-02,51
2021-03,53
2021-04,50
2021-05,57
2021-06,56
2021-07,59
2021-08,52
2021-09,47
2021-10,43
2021-11,46
2021-12,48
2022-01,47
2022-02,51
2022-03,48
2022-04,51
2022-05,54
2022-06,59
2022-07,65
2022-08,55
2022-09,51
2022-10,47
2022-11,50
2022-12,47
2023-01,52
2023-02,57
2023-03,50
2023-04,58
2023-05,56
2023-06,61
2023-07,58
2023-08,54
2023-09,47
2023-10,50
2023-11,48
2023-12,53
2024-01,53
2024-02,51
2024-03,55
2024-04,48
