Category: All categories

Month,gout: (Connecticut)
2004-01,0
2004-02,0
2004-03,0
2004-04,77
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,100
2005-03,64
2005-04,49
2005-05,0
2005-06,0
2005-07,47
2005-08,64
2005-09,0
2005-10,0
2005-11,54
2005-12,0
2006-01,35
2006-02,0
2006-03,35
2006-04,30
2006-05,47
2006-06,0
2006-07,0
2006-08,34
2006-09,28
2006-10,23
2006-11,34
2006-12,32
2007-01,24
2007-02,32
2007-03,36
2007-04,26
2007-05,48
2007-06,27
2007-07,41
2007-08,44
2007-09,26
2007-10,32
2007-11,35
2007-12,28
2008-01,29
2008-02,37
2008-03,35
2008-04,26
2008-05,42
2008-06,39
2008-07,38
2008-08,28
2008-09,34
2008-10,33
2008-11,38
2008-12,34
2009-01,25
2009-02,41
2009-03,22
2009-04,33
2009-05,43
2009-06,43
2009-07,43
2009-08,39
2009-09,25
2009-10,38
2009-11,37
2009-12,42
2010-01,40
2010-02,34
2010-03,36
2010-04,28
2010-05,53
2010-06,38
2010-07,49
2010-08,41
2010-09,29
2010-10,54
2010-11,42
2010-12,42
2011-01,39
2011-02,34
2011-03,51
2011-04,41
2011-05,46
2011-06,41
2011-07,50
2011-08,41
2011-09,42
2011-10,37
2011-11,38
2011-12,36
2012-01,50
2012-02,35
2012-03,39
2012-04,34
2012-05,44
2012-06,45
2012-07,42
2012-08,43
2012-09,31
2012-10,32
2012-11,32
2012-12,29
2013-01,33
2013-02,28
2013-03,34
2013-04,39
2013-05,43
2013-06,40
2013-07,40
2013-08,45
2013-09,40
2013-10,34
2013-11,38
2013-12,32
2014-01,35
2014-02,31
2014-03,37
2014-04,46
2014-05,29
2014-06,36
2014-07,48
2014-08,38
2014-09,42
2014-10,45
2014-11,41
2014-12,30
2015-01,28
2015-02,40
2015-03,40
2015-04,43
2015-05,38
2015-06,57
2015-07,52
2015-08,52
2015-09,44
2015-10,37
2015-11,35
2015-12,41
2016-01,35
2016-02,37
2016-03,38
2016-04,40
2016-05,38
2016-06,46
2016-07,41
2016-08,46
2016-09,35
2016-10,41
2016-11,39
2016-12,32
2017-01,39
2017-02,37
2017-03,38
2017-04,46
2017-05,41
2017-06,44
2017-07,51
2017-08,44
2017-09,48
2017-10,46
2017-11,37
2017-12,37
2018-01,41
2018-02,44
2018-03,44
2018-04,39
2018-05,45
2018-06,53
2018-07,50
2018-08,46
2018-09,51
2018-10,40
2018-11,36
2018-12,44
2019-01,46
2019-02,55
2019-03,51
2019-04,55
2019-05,45
2019-06,49
2019-07,50
2019-08,44
2019-09,51
2019-10,40
2019-11,41
2019-12,38
2020-01,47
2020-02,43
2020-03,37
2020-04,38
2020-05,43
2020-06,44
2020-07,51
2020-08,47
2020-09,37
2020-10,44
2020-11,35
2020-12,38
2021-01,41
2021-02,42
2021-03,41
2021-04,47
2021-05,42
2021-06,50
2021-07,46
2021-08,47
2021-09,46
2021-10,40
2021-11,38
2021-12,40
2022-01,43
2022-02,41
2022-03,47
2022-04,49
2022-05,46
2022-06,48
2022-07,51
2022-08,45
2022-09,45
2022-10,42
2022-11,39
2022-12,36
2023-01,43
2023-02,38
2023-03,37
2023-04,47
2023-05,49
2023-06,51
2023-07,51
2023-08,47
2023-09,43
2023-10,34
2023-11,42
2023-12,39
2024-01,47
2024-02,40
2024-03,37
2024-04,40
