Category: All categories

Month,gout: (Delaware)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,84
2010-11,100
2010-12,0
2011-01,52
2011-02,0
2011-03,43
2011-04,0
2011-05,38
2011-06,56
2011-07,70
2011-08,0
2011-09,52
2011-10,0
2011-11,0
2011-12,39
2012-01,40
2012-02,39
2012-03,0
2012-04,48
2012-05,32
2012-06,54
2012-07,29
2012-08,31
2012-09,0
2012-10,41
2012-11,34
2012-12,0
2013-01,42
2013-02,40
2013-03,46
2013-04,56
2013-05,34
2013-06,49
2013-07,55
2013-08,48
2013-09,0
2013-10,34
2013-11,0
2013-12,35
2014-01,0
2014-02,43
2014-03,0
2014-04,49
2014-05,43
2014-06,43
2014-07,26
2014-08,40
2014-09,30
2014-10,42
2014-11,32
2014-12,55
2015-01,42
2015-02,40
2015-03,42
2015-04,0
2015-05,51
2015-06,39
2015-07,52
2015-08,43
2015-09,43
2015-10,0
2015-11,41
2015-12,0
2016-01,50
2016-02,36
2016-03,31
2016-04,44
2016-05,33
2016-06,33
2016-07,34
2016-08,31
2016-09,55
2016-10,57
2016-11,30
2016-12,33
2017-01,31
2017-02,27
2017-03,31
2017-04,36
2017-05,46
2017-06,44
2017-07,37
2017-08,38
2017-09,44
2017-10,44
2017-11,44
2017-12,42
2018-01,44
2018-02,44
2018-03,42
2018-04,40
2018-05,58
2018-06,53
2018-07,51
2018-08,52
2018-09,41
2018-10,38
2018-11,33
2018-12,38
2019-01,31
2019-02,55
2019-03,47
2019-04,39
2019-05,45
2019-06,50
2019-07,63
2019-08,45
2019-09,49
2019-10,31
2019-11,38
2019-12,54
2020-01,38
2020-02,42
2020-03,43
2020-04,34
2020-05,45
2020-06,42
2020-07,48
2020-08,45
2020-09,34
2020-10,49
2020-11,35
2020-12,42
2021-01,42
2021-02,31
2021-03,42
2021-04,29
2021-05,41
2021-06,44
2021-07,44
2021-08,40
2021-09,58
2021-10,51
2021-11,28
2021-12,43
2022-01,37
2022-02,52
2022-03,41
2022-04,51
2022-05,40
2022-06,52
2022-07,52
2022-08,52
2022-09,51
2022-10,43
2022-11,53
2022-12,52
2023-01,62
2023-02,45
2023-03,50
2023-04,45
2023-05,44
2023-06,40
2023-07,38
2023-08,59
2023-09,40
2023-10,46
2023-11,41
2023-12,45
2024-01,49
2024-02,56
2024-03,51
2024-04,45
