Category: All categories

Month,Gout: (Florida)
2004-01,70
2004-02,69
2004-03,100
2004-04,93
2004-05,78
2004-06,93
2004-07,72
2004-08,32
2004-09,59
2004-10,33
2004-11,63
2004-12,87
2005-01,73
2005-02,57
2005-03,87
2005-04,63
2005-05,61
2005-06,79
2005-07,71
2005-08,77
2005-09,69
2005-10,52
2005-11,65
2005-12,53
2006-01,69
2006-02,94
2006-03,54
2006-04,63
2006-05,66
2006-06,65
2006-07,74
2006-08,64
2006-09,62
2006-10,62
2006-11,65
2006-12,54
2007-01,73
2007-02,57
2007-03,77
2007-04,71
2007-05,72
2007-06,71
2007-07,83
2007-08,63
2007-09,68
2007-10,75
2007-11,70
2007-12,61
2008-01,82
2008-02,77
2008-03,70
2008-04,75
2008-05,68
2008-06,70
2008-07,77
2008-08,53
2008-09,66
2008-10,58
2008-11,58
2008-12,61
2009-01,73
2009-02,67
2009-03,75
2009-04,65
2009-05,66
2009-06,72
2009-07,73
2009-08,67
2009-09,64
2009-10,58
2009-11,67
2009-12,65
2010-01,60
2010-02,73
2010-03,77
2010-04,73
2010-05,86
2010-06,73
2010-07,71
2010-08,74
2010-09,66
2010-10,87
2010-11,86
2010-12,79
2011-01,95
2011-02,94
2011-03,90
2011-04,85
2011-05,85
2011-06,83
2011-07,87
2011-08,86
2011-09,91
2011-10,84
2011-11,86
2011-12,66
2012-01,85
2012-02,87
2012-03,79
2012-04,73
2012-05,74
2012-06,72
2012-07,70
2012-08,65
2012-09,67
2012-10,66
2012-11,57
2012-12,63
2013-01,67
2013-02,69
2013-03,71
2013-04,72
2013-05,76
2013-06,73
2013-07,71
2013-08,67
2013-09,62
2013-10,66
2013-11,63
2013-12,65
2014-01,67
2014-02,73
2014-03,62
2014-04,67
2014-05,71
2014-06,77
2014-07,79
2014-08,68
2014-09,70
2014-10,78
2014-11,71
2014-12,74
2015-01,74
2015-02,70
2015-03,75
2015-04,77
2015-05,79
2015-06,78
2015-07,73
2015-08,76
2015-09,74
2015-10,75
2015-11,80
2015-12,72
2016-01,68
2016-02,68
2016-03,67
2016-04,72
2016-05,74
2016-06,71
2016-07,76
2016-08,69
2016-09,74
2016-10,71
2016-11,73
2016-12,77
2017-01,78
2017-02,79
2017-03,84
2017-04,91
2017-05,84
2017-06,80
2017-07,83
2017-08,87
2017-09,77
2017-10,78
2017-11,66
2017-12,79
2018-01,77
2018-02,90
2018-03,84
2018-04,93
2018-05,81
2018-06,82
2018-07,92
2018-08,80
2018-09,79
2018-10,83
2018-11,82
2018-12,87
2019-01,87
2019-02,91
2019-03,97
2019-04,88
2019-05,83
2019-06,84
2019-07,83
2019-08,83
2019-09,84
2019-10,84
2019-11,84
2019-12,83
2020-01,87
2020-02,93
2020-03,75
2020-04,82
2020-05,78
2020-06,77
2020-07,81
2020-08,76
2020-09,71
2020-10,75
2020-11,74
2020-12,74
2021-01,79
2021-02,79
2021-03,80
2021-04,80
2021-05,79
2021-06,86
2021-07,78
2021-08,76
2021-09,79
2021-10,83
2021-11,79
2021-12,83
2022-01,83
2022-02,94
2022-03,92
2022-04,89
2022-05,91
2022-06,88
2022-07,91
2022-08,90
2022-09,82
2022-10,87
2022-11,79
2022-12,79
2023-01,87
2023-02,94
2023-03,100
2023-04,93
2023-05,94
2023-06,93
2023-07,87
2023-08,83
2023-09,83
2023-10,81
2023-11,83
2023-12,86
2024-01,84
2024-02,89
2024-03,86
2024-04,89
