Category: All categories

Month,gout: (Georgia)
2004-01,71
2004-02,52
2004-03,0
2004-04,100
2004-05,52
2004-06,79
2004-07,80
2004-08,55
2004-09,69
2004-10,60
2004-11,54
2004-12,79
2005-01,72
2005-02,64
2005-03,68
2005-04,79
2005-05,63
2005-06,66
2005-07,58
2005-08,63
2005-09,39
2005-10,52
2005-11,63
2005-12,49
2006-01,63
2006-02,45
2006-03,66
2006-04,71
2006-05,67
2006-06,63
2006-07,67
2006-08,68
2006-09,73
2006-10,61
2006-11,60
2006-12,69
2007-01,59
2007-02,60
2007-03,63
2007-04,54
2007-05,68
2007-06,80
2007-07,84
2007-08,69
2007-09,59
2007-10,53
2007-11,56
2007-12,48
2008-01,61
2008-02,55
2008-03,62
2008-04,66
2008-05,63
2008-06,70
2008-07,71
2008-08,73
2008-09,61
2008-10,67
2008-11,60
2008-12,54
2009-01,75
2009-02,63
2009-03,66
2009-04,69
2009-05,67
2009-06,74
2009-07,76
2009-08,80
2009-09,58
2009-10,70
2009-11,61
2009-12,67
2010-01,54
2010-02,80
2010-03,62
2010-04,69
2010-05,76
2010-06,85
2010-07,84
2010-08,83
2010-09,71
2010-10,94
2010-11,81
2010-12,57
2011-01,97
2011-02,85
2011-03,90
2011-04,96
2011-05,89
2011-06,87
2011-07,93
2011-08,96
2011-09,83
2011-10,90
2011-11,84
2011-12,66
2012-01,87
2012-02,75
2012-03,70
2012-04,71
2012-05,77
2012-06,65
2012-07,75
2012-08,68
2012-09,65
2012-10,66
2012-11,65
2012-12,66
2013-01,65
2013-02,63
2013-03,68
2013-04,69
2013-05,69
2013-06,74
2013-07,72
2013-08,74
2013-09,66
2013-10,68
2013-11,62
2013-12,63
2014-01,65
2014-02,64
2014-03,67
2014-04,77
2014-05,73
2014-06,83
2014-07,79
2014-08,66
2014-09,75
2014-10,79
2014-11,72
2014-12,76
2015-01,76
2015-02,60
2015-03,73
2015-04,79
2015-05,79
2015-06,80
2015-07,84
2015-08,78
2015-09,75
2015-10,73
2015-11,75
2015-12,76
2016-01,74
2016-02,70
2016-03,76
2016-04,78
2016-05,76
2016-06,80
2016-07,80
2016-08,76
2016-09,70
2016-10,71
2016-11,73
2016-12,72
2017-01,74
2017-02,75
2017-03,78
2017-04,79
2017-05,83
2017-06,84
2017-07,85
2017-08,79
2017-09,72
2017-10,77
2017-11,75
2017-12,77
2018-01,81
2018-02,82
2018-03,77
2018-04,88
2018-05,90
2018-06,89
2018-07,90
2018-08,81
2018-09,82
2018-10,77
2018-11,71
2018-12,80
2019-01,87
2019-02,86
2019-03,87
2019-04,84
2019-05,84
2019-06,91
2019-07,90
2019-08,85
2019-09,78
2019-10,84
2019-11,80
2019-12,79
2020-01,83
2020-02,77
2020-03,67
2020-04,65
2020-05,79
2020-06,75
2020-07,74
2020-08,69
2020-09,72
2020-10,69
2020-11,71
2020-12,75
2021-01,72
2021-02,75
2021-03,77
2021-04,74
2021-05,81
2021-06,78
2021-07,80
2021-08,71
2021-09,70
2021-10,74
2021-11,79
2021-12,79
2022-01,79
2022-02,82
2022-03,82
2022-04,82
2022-05,85
2022-06,89
2022-07,85
2022-08,82
2022-09,82
2022-10,74
2022-11,73
2022-12,72
2023-01,80
2023-02,89
2023-03,81
2023-04,83
2023-05,91
2023-06,99
2023-07,83
2023-08,76
2023-09,77
2023-10,77
2023-11,72
2023-12,74
2024-01,84
2024-02,79
2024-03,77
2024-04,81
