Category: All categories

Month,gout: (Hawaii)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,85
2006-04,0
2006-05,0
2006-06,96
2006-07,96
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,73
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,95
2007-06,66
2007-07,0
2007-08,82
2007-09,64
2007-10,0
2007-11,0
2007-12,66
2008-01,71
2008-02,0
2008-03,53
2008-04,0
2008-05,61
2008-06,80
2008-07,68
2008-08,59
2008-09,70
2008-10,70
2008-11,46
2008-12,50
2009-01,0
2009-02,47
2009-03,83
2009-04,64
2009-05,51
2009-06,54
2009-07,51
2009-08,40
2009-09,81
2009-10,59
2009-11,46
2009-12,73
2010-01,49
2010-02,48
2010-03,45
2010-04,45
2010-05,68
2010-06,63
2010-07,63
2010-08,37
2010-09,69
2010-10,69
2010-11,50
2010-12,42
2011-01,74
2011-02,71
2011-03,97
2011-04,98
2011-05,63
2011-06,65
2011-07,72
2011-08,82
2011-09,63
2011-10,82
2011-11,79
2011-12,49
2012-01,77
2012-02,56
2012-03,65
2012-04,44
2012-05,46
2012-06,69
2012-07,58
2012-08,65
2012-09,57
2012-10,68
2012-11,49
2012-12,51
2013-01,53
2013-02,62
2013-03,71
2013-04,59
2013-05,58
2013-06,59
2013-07,73
2013-08,59
2013-09,70
2013-10,67
2013-11,66
2013-12,62
2014-01,80
2014-02,54
2014-03,59
2014-04,66
2014-05,67
2014-06,71
2014-07,61
2014-08,52
2014-09,55
2014-10,70
2014-11,55
2014-12,53
2015-01,70
2015-02,62
2015-03,51
2015-04,65
2015-05,67
2015-06,73
2015-07,81
2015-08,68
2015-09,72
2015-10,73
2015-11,66
2015-12,76
2016-01,64
2016-02,80
2016-03,84
2016-04,77
2016-05,79
2016-06,90
2016-07,70
2016-08,73
2016-09,62
2016-10,80
2016-11,63
2016-12,59
2017-01,76
2017-02,74
2017-03,73
2017-04,72
2017-05,65
2017-06,77
2017-07,82
2017-08,81
2017-09,73
2017-10,84
2017-11,69
2017-12,81
2018-01,80
2018-02,74
2018-03,89
2018-04,68
2018-05,71
2018-06,85
2018-07,89
2018-08,66
2018-09,80
2018-10,70
2018-11,65
2018-12,76
2019-01,84
2019-02,77
2019-03,79
2019-04,87
2019-05,88
2019-06,89
2019-07,82
2019-08,81
2019-09,77
2019-10,91
2019-11,99
2019-12,76
2020-01,95
2020-02,73
2020-03,80
2020-04,83
2020-05,98
2020-06,83
2020-07,98
2020-08,94
2020-09,85
2020-10,80
2020-11,83
2020-12,85
2021-01,76
2021-02,100
2021-03,84
2021-04,80
2021-05,98
2021-06,88
2021-07,75
2021-08,86
2021-09,88
2021-10,79
2021-11,77
2021-12,78
2022-01,81
2022-02,85
2022-03,84
2022-04,86
2022-05,69
2022-06,98
2022-07,100
2022-08,87
2022-09,84
2022-10,87
2022-11,84
2022-12,80
2023-01,83
2023-02,97
2023-03,99
2023-04,81
2023-05,89
2023-06,94
2023-07,78
2023-08,88
2023-09,96
2023-10,82
2023-11,91
2023-12,85
2024-01,86
2024-02,93
2024-03,91
2024-04,89
