Category: All categories

Month,gout: (Iowa)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,96
2004-10,0
2004-11,0
2004-12,100
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,54
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,55
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,35
2007-06,47
2007-07,0
2007-08,0
2007-09,42
2007-10,53
2007-11,31
2007-12,0
2008-01,0
2008-02,0
2008-03,26
2008-04,28
2008-05,40
2008-06,37
2008-07,55
2008-08,37
2008-09,0
2008-10,0
2008-11,27
2008-12,0
2009-01,0
2009-02,0
2009-03,48
2009-04,37
2009-05,42
2009-06,0
2009-07,40
2009-08,47
2009-09,36
2009-10,49
2009-11,40
2009-12,27
2010-01,28
2010-02,0
2010-03,31
2010-04,27
2010-05,28
2010-06,46
2010-07,51
2010-08,44
2010-09,39
2010-10,39
2010-11,40
2010-12,29
2011-01,48
2011-02,33
2011-03,49
2011-04,42
2011-05,37
2011-06,49
2011-07,38
2011-08,48
2011-09,33
2011-10,38
2011-11,44
2011-12,36
2012-01,33
2012-02,44
2012-03,32
2012-04,31
2012-05,28
2012-06,33
2012-07,26
2012-08,29
2012-09,33
2012-10,24
2012-11,22
2012-12,28
2013-01,30
2013-02,25
2013-03,26
2013-04,35
2013-05,31
2013-06,34
2013-07,37
2013-08,25
2013-09,31
2013-10,29
2013-11,24
2013-12,27
2014-01,23
2014-02,31
2014-03,29
2014-04,36
2014-05,36
2014-06,32
2014-07,35
2014-08,33
2014-09,31
2014-10,39
2014-11,27
2014-12,31
2015-01,28
2015-02,26
2015-03,33
2015-04,38
2015-05,37
2015-06,39
2015-07,48
2015-08,37
2015-09,32
2015-10,35
2015-11,30
2015-12,29
2016-01,25
2016-02,31
2016-03,29
2016-04,29
2016-05,33
2016-06,40
2016-07,34
2016-08,31
2016-09,31
2016-10,25
2016-11,24
2016-12,26
2017-01,28
2017-02,32
2017-03,35
2017-04,40
2017-05,35
2017-06,39
2017-07,34
2017-08,39
2017-09,27
2017-10,34
2017-11,31
2017-12,30
2018-01,34
2018-02,33
2018-03,33
2018-04,36
2018-05,31
2018-06,38
2018-07,43
2018-08,38
2018-09,31
2018-10,34
2018-11,34
2018-12,38
2019-01,30
2019-02,31
2019-03,39
2019-04,36
2019-05,39
2019-06,38
2019-07,37
2019-08,41
2019-09,37
2019-10,34
2019-11,30
2019-12,33
2020-01,39
2020-02,31
2020-03,32
2020-04,35
2020-05,34
2020-06,41
2020-07,41
2020-08,32
2020-09,30
2020-10,39
2020-11,31
2020-12,36
2021-01,42
2021-02,36
2021-03,40
2021-04,36
2021-05,44
2021-06,40
2021-07,43
2021-08,39
2021-09,32
2021-10,31
2021-11,34
2021-12,28
2022-01,38
2022-02,35
2022-03,39
2022-04,40
2022-05,41
2022-06,44
2022-07,34
2022-08,43
2022-09,31
2022-10,41
2022-11,37
2022-12,35
2023-01,33
2023-02,45
2023-03,36
2023-04,43
2023-05,40
2023-06,45
2023-07,49
2023-08,45
2023-09,38
2023-10,33
2023-11,38
2023-12,37
2024-01,38
2024-02,33
2024-03,33
2024-04,37
