Category: All categories

Month,gout: (Idaho)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,100
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,79
2007-12,76
2008-01,0
2008-02,83
2008-03,0
2008-04,0
2008-05,81
2008-06,0
2008-07,0
2008-08,94
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,59
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,78
2009-07,0
2009-08,93
2009-09,0
2009-10,66
2009-11,0
2009-12,0
2010-01,57
2010-02,94
2010-03,0
2010-04,63
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,53
2010-11,54
2010-12,0
2011-01,58
2011-02,44
2011-03,41
2011-04,56
2011-05,59
2011-06,61
2011-07,69
2011-08,59
2011-09,52
2011-10,46
2011-11,51
2011-12,47
2012-01,37
2012-02,45
2012-03,58
2012-04,54
2012-05,60
2012-06,50
2012-07,56
2012-08,42
2012-09,53
2012-10,58
2012-11,31
2012-12,37
2013-01,50
2013-02,51
2013-03,59
2013-04,56
2013-05,44
2013-06,40
2013-07,60
2013-08,42
2013-09,50
2013-10,35
2013-11,58
2013-12,49
2014-01,57
2014-02,49
2014-03,60
2014-04,54
2014-05,59
2014-06,36
2014-07,75
2014-08,33
2014-09,55
2014-10,58
2014-11,41
2014-12,51
2015-01,44
2015-02,58
2015-03,61
2015-04,53
2015-05,54
2015-06,53
2015-07,61
2015-08,41
2015-09,56
2015-10,65
2015-11,44
2015-12,51
2016-01,62
2016-02,47
2016-03,46
2016-04,49
2016-05,43
2016-06,70
2016-07,58
2016-08,37
2016-09,44
2016-10,28
2016-11,42
2016-12,41
2017-01,50
2017-02,39
2017-03,49
2017-04,50
2017-05,61
2017-06,60
2017-07,58
2017-08,56
2017-09,50
2017-10,47
2017-11,47
2017-12,50
2018-01,53
2018-02,52
2018-03,55
2018-04,48
2018-05,58
2018-06,53
2018-07,68
2018-08,58
2018-09,55
2018-10,62
2018-11,56
2018-12,48
2019-01,60
2019-02,53
2019-03,62
2019-04,73
2019-05,61
2019-06,65
2019-07,43
2019-08,52
2019-09,58
2019-10,52
2019-11,44
2019-12,48
2020-01,52
2020-02,49
2020-03,47
2020-04,51
2020-05,50
2020-06,65
2020-07,54
2020-08,54
2020-09,54
2020-10,51
2020-11,46
2020-12,51
2021-01,56
2021-02,56
2021-03,57
2021-04,52
2021-05,58
2021-06,59
2021-07,55
2021-08,48
2021-09,52
2021-10,52
2021-11,42
2021-12,48
2022-01,52
2022-02,67
2022-03,58
2022-04,43
2022-05,62
2022-06,66
2022-07,85
2022-08,66
2022-09,62
2022-10,50
2022-11,50
2022-12,51
2023-01,59
2023-02,48
2023-03,53
2023-04,63
2023-05,65
2023-06,63
2023-07,62
2023-08,60
2023-09,53
2023-10,53
2023-11,56
2023-12,53
2024-01,58
2024-02,62
2024-03,54
2024-04,60
