Category: All categories

Month,gout: (Illinois)
2004-01,62
2004-02,91
2004-03,64
2004-04,95
2004-05,94
2004-06,100
2004-07,68
2004-08,73
2004-09,54
2004-10,44
2004-11,54
2004-12,65
2005-01,55
2005-02,54
2005-03,60
2005-04,75
2005-05,71
2005-06,67
2005-07,82
2005-08,57
2005-09,65
2005-10,63
2005-11,50
2005-12,66
2006-01,57
2006-02,43
2006-03,59
2006-04,70
2006-05,63
2006-06,53
2006-07,72
2006-08,83
2006-09,75
2006-10,60
2006-11,63
2006-12,56
2007-01,53
2007-02,58
2007-03,64
2007-04,71
2007-05,72
2007-06,67
2007-07,72
2007-08,55
2007-09,65
2007-10,53
2007-11,65
2007-12,61
2008-01,53
2008-02,60
2008-03,62
2008-04,68
2008-05,65
2008-06,72
2008-07,72
2008-08,67
2008-09,56
2008-10,64
2008-11,60
2008-12,46
2009-01,65
2009-02,65
2009-03,70
2009-04,70
2009-05,60
2009-06,95
2009-07,73
2009-08,71
2009-09,66
2009-10,49
2009-11,50
2009-12,65
2010-01,73
2010-02,76
2010-03,77
2010-04,82
2010-05,74
2010-06,87
2010-07,77
2010-08,87
2010-09,70
2010-10,87
2010-11,83
2010-12,79
2011-01,97
2011-02,82
2011-03,83
2011-04,94
2011-05,84
2011-06,91
2011-07,90
2011-08,99
2011-09,84
2011-10,80
2011-11,85
2011-12,69
2012-01,78
2012-02,78
2012-03,81
2012-04,79
2012-05,74
2012-06,76
2012-07,79
2012-08,73
2012-09,68
2012-10,69
2012-11,61
2012-12,65
2013-01,68
2013-02,66
2013-03,64
2013-04,71
2013-05,72
2013-06,69
2013-07,73
2013-08,70
2013-09,68
2013-10,64
2013-11,67
2013-12,67
2014-01,62
2014-02,62
2014-03,68
2014-04,75
2014-05,70
2014-06,74
2014-07,77
2014-08,76
2014-09,72
2014-10,76
2014-11,62
2014-12,73
2015-01,81
2015-02,69
2015-03,72
2015-04,65
2015-05,74
2015-06,79
2015-07,79
2015-08,74
2015-09,75
2015-10,71
2015-11,73
2015-12,74
2016-01,63
2016-02,72
2016-03,70
2016-04,70
2016-05,72
2016-06,78
2016-07,74
2016-08,75
2016-09,69
2016-10,65
2016-11,62
2016-12,67
2017-01,69
2017-02,74
2017-03,76
2017-04,77
2017-05,80
2017-06,78
2017-07,85
2017-08,82
2017-09,75
2017-10,68
2017-11,72
2017-12,72
2018-01,70
2018-02,74
2018-03,78
2018-04,82
2018-05,84
2018-06,92
2018-07,90
2018-08,82
2018-09,81
2018-10,71
2018-11,73
2018-12,78
2019-01,83
2019-02,82
2019-03,83
2019-04,78
2019-05,76
2019-06,84
2019-07,81
2019-08,85
2019-09,82
2019-10,74
2019-11,68
2019-12,77
2020-01,80
2020-02,80
2020-03,68
2020-04,75
2020-05,76
2020-06,78
2020-07,83
2020-08,80
2020-09,70
2020-10,66
2020-11,73
2020-12,73
2021-01,74
2021-02,78
2021-03,72
2021-04,84
2021-05,76
2021-06,90
2021-07,76
2021-08,79
2021-09,80
2021-10,74
2021-11,76
2021-12,72
2022-01,87
2022-02,82
2022-03,85
2022-04,83
2022-05,86
2022-06,92
2022-07,94
2022-08,90
2022-09,85
2022-10,72
2022-11,76
2022-12,70
2023-01,82
2023-02,80
2023-03,92
2023-04,84
2023-05,87
2023-06,98
2023-07,93
2023-08,77
2023-09,76
2023-10,72
2023-11,72
2023-12,75
2024-01,78
2024-02,82
2024-03,79
2024-04,80
