Category: All categories

Month,gout: (Indiana)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,100
2005-06,0
2005-07,0
2005-08,69
2005-09,65
2005-10,65
2005-11,0
2005-12,95
2006-01,0
2006-02,0
2006-03,67
2006-04,54
2006-05,85
2006-06,0
2006-07,76
2006-08,68
2006-09,47
2006-10,62
2006-11,56
2006-12,0
2007-01,68
2007-02,63
2007-03,39
2007-04,45
2007-05,50
2007-06,47
2007-07,41
2007-08,55
2007-09,72
2007-10,54
2007-11,59
2007-12,48
2008-01,65
2008-02,36
2008-03,52
2008-04,70
2008-05,53
2008-06,68
2008-07,37
2008-08,37
2008-09,47
2008-10,68
2008-11,52
2008-12,37
2009-01,57
2009-02,52
2009-03,63
2009-04,53
2009-05,58
2009-06,96
2009-07,93
2009-08,53
2009-09,57
2009-10,66
2009-11,63
2009-12,54
2010-01,60
2010-02,49
2010-03,63
2010-04,65
2010-05,60
2010-06,80
2010-07,88
2010-08,61
2010-09,61
2010-10,77
2010-11,72
2010-12,70
2011-01,68
2011-02,61
2011-03,62
2011-04,75
2011-05,80
2011-06,83
2011-07,87
2011-08,85
2011-09,72
2011-10,67
2011-11,68
2011-12,53
2012-01,60
2012-02,80
2012-03,58
2012-04,84
2012-05,70
2012-06,70
2012-07,62
2012-08,67
2012-09,57
2012-10,55
2012-11,50
2012-12,57
2013-01,56
2013-02,51
2013-03,58
2013-04,66
2013-05,57
2013-06,60
2013-07,57
2013-08,57
2013-09,53
2013-10,60
2013-11,63
2013-12,52
2014-01,57
2014-02,46
2014-03,57
2014-04,71
2014-05,75
2014-06,75
2014-07,74
2014-08,72
2014-09,69
2014-10,74
2014-11,63
2014-12,68
2015-01,69
2015-02,56
2015-03,63
2015-04,69
2015-05,66
2015-06,66
2015-07,74
2015-08,58
2015-09,60
2015-10,63
2015-11,56
2015-12,58
2016-01,53
2016-02,67
2016-03,58
2016-04,65
2016-05,64
2016-06,62
2016-07,67
2016-08,64
2016-09,65
2016-10,65
2016-11,49
2016-12,54
2017-01,56
2017-02,58
2017-03,65
2017-04,66
2017-05,70
2017-06,73
2017-07,71
2017-08,63
2017-09,61
2017-10,58
2017-11,59
2017-12,60
2018-01,65
2018-02,57
2018-03,64
2018-04,73
2018-05,73
2018-06,79
2018-07,88
2018-08,75
2018-09,69
2018-10,65
2018-11,68
2018-12,69
2019-01,70
2019-02,67
2019-03,67
2019-04,72
2019-05,75
2019-06,73
2019-07,81
2019-08,68
2019-09,68
2019-10,65
2019-11,58
2019-12,72
2020-01,66
2020-02,62
2020-03,54
2020-04,58
2020-05,65
2020-06,61
2020-07,65
2020-08,61
2020-09,62
2020-10,61
2020-11,58
2020-12,62
2021-01,69
2021-02,65
2021-03,70
2021-04,73
2021-05,66
2021-06,74
2021-07,71
2021-08,66
2021-09,68
2021-10,63
2021-11,61
2021-12,59
2022-01,71
2022-02,66
2022-03,79
2022-04,70
2022-05,76
2022-06,79
2022-07,79
2022-08,72
2022-09,81
2022-10,64
2022-11,65
2022-12,66
2023-01,70
2023-02,71
2023-03,66
2023-04,73
2023-05,81
2023-06,87
2023-07,69
2023-08,71
2023-09,67
2023-10,70
2023-11,65
2023-12,70
2024-01,67
2024-02,64
2024-03,66
2024-04,67
