Category: All categories

Month,gout: (Kansas)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,87
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,100
2006-01,0
2006-02,77
2006-03,0
2006-04,0
2006-05,60
2006-06,0
2006-07,67
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,44
2007-03,0
2007-04,55
2007-05,45
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,34
2008-01,35
2008-02,33
2008-03,0
2008-04,53
2008-05,49
2008-06,0
2008-07,46
2008-08,41
2008-09,36
2008-10,42
2008-11,50
2008-12,45
2009-01,38
2009-02,42
2009-03,61
2009-04,26
2009-05,57
2009-06,60
2009-07,37
2009-08,43
2009-09,39
2009-10,47
2009-11,34
2009-12,39
2010-01,45
2010-02,38
2010-03,0
2010-04,64
2010-05,60
2010-06,75
2010-07,54
2010-08,50
2010-09,58
2010-10,87
2010-11,73
2010-12,45
2011-01,55
2011-02,46
2011-03,63
2011-04,48
2011-05,51
2011-06,54
2011-07,69
2011-08,57
2011-09,45
2011-10,44
2011-11,42
2011-12,34
2012-01,52
2012-02,52
2012-03,50
2012-04,41
2012-05,27
2012-06,44
2012-07,40
2012-08,42
2012-09,41
2012-10,28
2012-11,42
2012-12,40
2013-01,30
2013-02,43
2013-03,49
2013-04,43
2013-05,47
2013-06,53
2013-07,45
2013-08,35
2013-09,45
2013-10,39
2013-11,43
2013-12,38
2014-01,45
2014-02,36
2014-03,38
2014-04,44
2014-05,42
2014-06,61
2014-07,50
2014-08,37
2014-09,38
2014-10,48
2014-11,45
2014-12,50
2015-01,40
2015-02,35
2015-03,43
2015-04,40
2015-05,34
2015-06,49
2015-07,49
2015-08,47
2015-09,48
2015-10,38
2015-11,24
2015-12,17
2016-01,37
2016-02,45
2016-03,36
2016-04,49
2016-05,43
2016-06,43
2016-07,49
2016-08,37
2016-09,36
2016-10,38
2016-11,33
2016-12,39
2017-01,45
2017-02,44
2017-03,40
2017-04,38
2017-05,49
2017-06,40
2017-07,52
2017-08,45
2017-09,34
2017-10,28
2017-11,44
2017-12,42
2018-01,50
2018-02,47
2018-03,49
2018-04,46
2018-05,49
2018-06,52
2018-07,58
2018-08,46
2018-09,44
2018-10,45
2018-11,44
2018-12,55
2019-01,48
2019-02,46
2019-03,47
2019-04,52
2019-05,56
2019-06,61
2019-07,55
2019-08,56
2019-09,39
2019-10,48
2019-11,41
2019-12,47
2020-01,53
2020-02,54
2020-03,46
2020-04,43
2020-05,52
2020-06,46
2020-07,49
2020-08,48
2020-09,44
2020-10,36
2020-11,53
2020-12,41
2021-01,43
2021-02,52
2021-03,51
2021-04,47
2021-05,55
2021-06,54
2021-07,47
2021-08,46
2021-09,39
2021-10,47
2021-11,38
2021-12,43
2022-01,50
2022-02,49
2022-03,41
2022-04,43
2022-05,54
2022-06,54
2022-07,53
2022-08,53
2022-09,57
2022-10,53
2022-11,43
2022-12,47
2023-01,48
2023-02,57
2023-03,50
2023-04,52
2023-05,63
2023-06,57
2023-07,46
2023-08,56
2023-09,44
2023-10,45
2023-11,53
2023-12,53
2024-01,52
2024-02,46
2024-03,41
2024-04,46
