Category: All categories

Month,gout: (Kentucky)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,100
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,86
2006-05,0
2006-06,0
2006-07,79
2006-08,43
2006-09,75
2006-10,65
2006-11,38
2006-12,50
2007-01,37
2007-02,43
2007-03,32
2007-04,33
2007-05,42
2007-06,59
2007-07,41
2007-08,29
2007-09,53
2007-10,29
2007-11,51
2007-12,38
2008-01,66
2008-02,42
2008-03,36
2008-04,36
2008-05,64
2008-06,35
2008-07,50
2008-08,53
2008-09,57
2008-10,38
2008-11,33
2008-12,39
2009-01,41
2009-02,61
2009-03,57
2009-04,50
2009-05,27
2009-06,58
2009-07,58
2009-08,65
2009-09,56
2009-10,51
2009-11,54
2009-12,44
2010-01,45
2010-02,61
2010-03,70
2010-04,59
2010-05,45
2010-06,57
2010-07,45
2010-08,56
2010-09,47
2010-10,81
2010-11,65
2010-12,69
2011-01,75
2011-02,66
2011-03,80
2011-04,78
2011-05,72
2011-06,57
2011-07,75
2011-08,69
2011-09,63
2011-10,62
2011-11,56
2011-12,55
2012-01,59
2012-02,57
2012-03,58
2012-04,60
2012-05,48
2012-06,60
2012-07,60
2012-08,38
2012-09,47
2012-10,51
2012-11,49
2012-12,60
2013-01,55
2013-02,53
2013-03,65
2013-04,67
2013-05,72
2013-06,57
2013-07,57
2013-08,58
2013-09,58
2013-10,51
2013-11,44
2013-12,59
2014-01,55
2014-02,47
2014-03,59
2014-04,80
2014-05,78
2014-06,51
2014-07,63
2014-08,65
2014-09,59
2014-10,68
2014-11,69
2014-12,66
2015-01,64
2015-02,61
2015-03,63
2015-04,69
2015-05,72
2015-06,76
2015-07,59
2015-08,62
2015-09,70
2015-10,51
2015-11,71
2015-12,57
2016-01,64
2016-02,50
2016-03,58
2016-04,59
2016-05,61
2016-06,73
2016-07,58
2016-08,56
2016-09,59
2016-10,65
2016-11,57
2016-12,59
2017-01,60
2017-02,70
2017-03,59
2017-04,70
2017-05,73
2017-06,63
2017-07,69
2017-08,67
2017-09,68
2017-10,60
2017-11,60
2017-12,65
2018-01,63
2018-02,62
2018-03,66
2018-04,62
2018-05,76
2018-06,73
2018-07,71
2018-08,62
2018-09,76
2018-10,63
2018-11,58
2018-12,70
2019-01,72
2019-02,60
2019-03,70
2019-04,69
2019-05,70
2019-06,76
2019-07,70
2019-08,70
2019-09,66
2019-10,62
2019-11,60
2019-12,59
2020-01,61
2020-02,66
2020-03,58
2020-04,57
2020-05,57
2020-06,70
2020-07,62
2020-08,60
2020-09,57
2020-10,55
2020-11,56
2020-12,55
2021-01,60
2021-02,48
2021-03,67
2021-04,67
2021-05,65
2021-06,78
2021-07,74
2021-08,60
2021-09,68
2021-10,62
2021-11,60
2021-12,51
2022-01,58
2022-02,64
2022-03,71
2022-04,73
2022-05,78
2022-06,74
2022-07,74
2022-08,72
2022-09,71
2022-10,69
2022-11,61
2022-12,62
2023-01,65
2023-02,73
2023-03,69
2023-04,67
2023-05,74
2023-06,79
2023-07,73
2023-08,59
2023-09,64
2023-10,58
2023-11,58
2023-12,65
2024-01,59
2024-02,64
2024-03,65
2024-04,66
