Category: All categories

Month,gout: (Louisiana)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,100
2005-07,0
2005-08,0
2005-09,0
2005-10,96
2005-11,0
2005-12,0
2006-01,86
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,61
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,56
2007-03,43
2007-04,43
2007-05,60
2007-06,41
2007-07,45
2007-08,54
2007-09,33
2007-10,44
2007-11,0
2007-12,39
2008-01,50
2008-02,48
2008-03,44
2008-04,39
2008-05,56
2008-06,49
2008-07,51
2008-08,0
2008-09,35
2008-10,56
2008-11,49
2008-12,45
2009-01,38
2009-02,42
2009-03,57
2009-04,38
2009-05,61
2009-06,63
2009-07,47
2009-08,45
2009-09,39
2009-10,39
2009-11,45
2009-12,40
2010-01,49
2010-02,54
2010-03,52
2010-04,58
2010-05,81
2010-06,67
2010-07,51
2010-08,46
2010-09,54
2010-10,52
2010-11,45
2010-12,56
2011-01,68
2011-02,61
2011-03,58
2011-04,71
2011-05,75
2011-06,66
2011-07,61
2011-08,64
2011-09,76
2011-10,67
2011-11,49
2011-12,44
2012-01,55
2012-02,70
2012-03,57
2012-04,55
2012-05,52
2012-06,44
2012-07,47
2012-08,52
2012-09,43
2012-10,47
2012-11,50
2012-12,38
2013-01,41
2013-02,51
2013-03,55
2013-04,53
2013-05,55
2013-06,55
2013-07,50
2013-08,47
2013-09,36
2013-10,43
2013-11,48
2013-12,41
2014-01,52
2014-02,44
2014-03,41
2014-04,53
2014-05,53
2014-06,62
2014-07,64
2014-08,49
2014-09,51
2014-10,56
2014-11,51
2014-12,59
2015-01,50
2015-02,41
2015-03,58
2015-04,60
2015-05,60
2015-06,53
2015-07,62
2015-08,56
2015-09,47
2015-10,47
2015-11,52
2015-12,58
2016-01,50
2016-02,49
2016-03,46
2016-04,49
2016-05,50
2016-06,51
2016-07,54
2016-08,49
2016-09,56
2016-10,49
2016-11,52
2016-12,51
2017-01,52
2017-02,55
2017-03,56
2017-04,58
2017-05,62
2017-06,55
2017-07,59
2017-08,45
2017-09,55
2017-10,51
2017-11,60
2017-12,52
2018-01,52
2018-02,51
2018-03,60
2018-04,58
2018-05,74
2018-06,59
2018-07,71
2018-08,63
2018-09,63
2018-10,58
2018-11,50
2018-12,57
2019-01,54
2019-02,60
2019-03,62
2019-04,65
2019-05,62
2019-06,58
2019-07,59
2019-08,65
2019-09,59
2019-10,52
2019-11,55
2019-12,56
2020-01,57
2020-02,55
2020-03,54
2020-04,54
2020-05,53
2020-06,59
2020-07,62
2020-08,52
2020-09,48
2020-10,50
2020-11,51
2020-12,60
2021-01,52
2021-02,59
2021-03,45
2021-04,56
2021-05,65
2021-06,59
2021-07,61
2021-08,51
2021-09,49
2021-10,55
2021-11,50
2021-12,50
2022-01,54
2022-02,54
2022-03,57
2022-04,53
2022-05,60
2022-06,63
2022-07,61
2022-08,59
2022-09,63
2022-10,53
2022-11,57
2022-12,59
2023-01,52
2023-02,59
2023-03,57
2023-04,62
2023-05,58
2023-06,64
2023-07,56
2023-08,54
2023-09,56
2023-10,53
2023-11,58
2023-12,57
2024-01,55
2024-02,60
2024-03,65
2024-04,64
