Category: All categories

Month,gout: (Massachusetts)
2004-01,0
2004-02,50
2004-03,0
2004-04,58
2004-05,42
2004-06,56
2004-07,73
2004-08,56
2004-09,57
2004-10,72
2004-11,43
2004-12,35
2005-01,55
2005-02,51
2005-03,47
2005-04,66
2005-05,73
2005-06,60
2005-07,61
2005-08,49
2005-09,72
2005-10,41
2005-11,63
2005-12,62
2006-01,54
2006-02,61
2006-03,51
2006-04,72
2006-05,46
2006-06,85
2006-07,93
2006-08,68
2006-09,66
2006-10,45
2006-11,57
2006-12,61
2007-01,79
2007-02,41
2007-03,51
2007-04,52
2007-05,68
2007-06,79
2007-07,70
2007-08,78
2007-09,42
2007-10,60
2007-11,56
2007-12,52
2008-01,50
2008-02,54
2008-03,63
2008-04,62
2008-05,60
2008-06,78
2008-07,82
2008-08,78
2008-09,54
2008-10,63
2008-11,61
2008-12,57
2009-01,54
2009-02,53
2009-03,75
2009-04,62
2009-05,60
2009-06,68
2009-07,74
2009-08,83
2009-09,53
2009-10,57
2009-11,62
2009-12,53
2010-01,68
2010-02,50
2010-03,74
2010-04,64
2010-05,68
2010-06,90
2010-07,86
2010-08,80
2010-09,56
2010-10,100
2010-11,93
2010-12,74
2011-01,77
2011-02,71
2011-03,71
2011-04,74
2011-05,82
2011-06,91
2011-07,91
2011-08,92
2011-09,92
2011-10,79
2011-11,64
2011-12,54
2012-01,76
2012-02,81
2012-03,62
2012-04,76
2012-05,70
2012-06,73
2012-07,81
2012-08,75
2012-09,63
2012-10,55
2012-11,62
2012-12,70
2013-01,72
2013-02,62
2013-03,69
2013-04,63
2013-05,70
2013-06,76
2013-07,70
2013-08,75
2013-09,63
2013-10,50
2013-11,59
2013-12,65
2014-01,64
2014-02,46
2014-03,60
2014-04,65
2014-05,78
2014-06,80
2014-07,81
2014-08,71
2014-09,74
2014-10,85
2014-11,67
2014-12,69
2015-01,64
2015-02,62
2015-03,70
2015-04,74
2015-05,77
2015-06,80
2015-07,84
2015-08,78
2015-09,75
2015-10,69
2015-11,72
2015-12,72
2016-01,63
2016-02,60
2016-03,67
2016-04,73
2016-05,78
2016-06,82
2016-07,84
2016-08,81
2016-09,62
2016-10,60
2016-11,64
2016-12,64
2017-01,65
2017-02,69
2017-03,71
2017-04,67
2017-05,72
2017-06,77
2017-07,87
2017-08,86
2017-09,72
2017-10,61
2017-11,65
2017-12,69
2018-01,67
2018-02,76
2018-03,69
2018-04,75
2018-05,83
2018-06,85
2018-07,88
2018-08,90
2018-09,72
2018-10,67
2018-11,65
2018-12,78
2019-01,85
2019-02,79
2019-03,83
2019-04,85
2019-05,81
2019-06,90
2019-07,89
2019-08,87
2019-09,85
2019-10,75
2019-11,62
2019-12,65
2020-01,88
2020-02,72
2020-03,67
2020-04,68
2020-05,77
2020-06,83
2020-07,84
2020-08,82
2020-09,70
2020-10,72
2020-11,68
2020-12,77
2021-01,68
2021-02,76
2021-03,72
2021-04,84
2021-05,74
2021-06,80
2021-07,88
2021-08,81
2021-09,77
2021-10,70
2021-11,78
2021-12,77
2022-01,69
2022-02,72
2022-03,76
2022-04,74
2022-05,77
2022-06,85
2022-07,93
2022-08,90
2022-09,79
2022-10,72
2022-11,72
2022-12,75
2023-01,82
2023-02,81
2023-03,73
2023-04,86
2023-05,84
2023-06,89
2023-07,87
2023-08,87
2023-09,70
2023-10,75
2023-11,69
2023-12,72
2024-01,80
2024-02,77
2024-03,80
2024-04,72
