Category: All categories

Month,gout: (Maryland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,73
2004-09,0
2004-10,0
2004-11,0
2004-12,100
2005-01,58
2005-02,0
2005-03,41
2005-04,0
2005-05,47
2005-06,38
2005-07,65
2005-08,34
2005-09,37
2005-10,38
2005-11,40
2005-12,0
2006-01,51
2006-02,0
2006-03,29
2006-04,62
2006-05,37
2006-06,40
2006-07,54
2006-08,57
2006-09,38
2006-10,30
2006-11,22
2006-12,32
2007-01,35
2007-02,33
2007-03,40
2007-04,44
2007-05,51
2007-06,50
2007-07,54
2007-08,45
2007-09,58
2007-10,48
2007-11,38
2007-12,44
2008-01,46
2008-02,49
2008-03,33
2008-04,54
2008-05,28
2008-06,37
2008-07,43
2008-08,35
2008-09,46
2008-10,37
2008-11,48
2008-12,49
2009-01,43
2009-02,40
2009-03,51
2009-04,44
2009-05,58
2009-06,56
2009-07,67
2009-08,52
2009-09,33
2009-10,45
2009-11,53
2009-12,46
2010-01,35
2010-02,45
2010-03,50
2010-04,60
2010-05,64
2010-06,44
2010-07,58
2010-08,57
2010-09,47
2010-10,59
2010-11,63
2010-12,53
2011-01,61
2011-02,50
2011-03,68
2011-04,64
2011-05,61
2011-06,58
2011-07,58
2011-08,55
2011-09,56
2011-10,50
2011-11,53
2011-12,43
2012-01,49
2012-02,45
2012-03,46
2012-04,46
2012-05,53
2012-06,51
2012-07,47
2012-08,49
2012-09,43
2012-10,36
2012-11,41
2012-12,40
2013-01,45
2013-02,42
2013-03,48
2013-04,50
2013-05,49
2013-06,46
2013-07,52
2013-08,57
2013-09,56
2013-10,50
2013-11,45
2013-12,40
2014-01,40
2014-02,45
2014-03,42
2014-04,48
2014-05,48
2014-06,53
2014-07,46
2014-08,54
2014-09,48
2014-10,56
2014-11,46
2014-12,50
2015-01,45
2015-02,45
2015-03,49
2015-04,50
2015-05,48
2015-06,56
2015-07,48
2015-08,59
2015-09,52
2015-10,48
2015-11,46
2015-12,53
2016-01,48
2016-02,44
2016-03,50
2016-04,50
2016-05,45
2016-06,50
2016-07,58
2016-08,43
2016-09,46
2016-10,50
2016-11,45
2016-12,47
2017-01,48
2017-02,49
2017-03,48
2017-04,62
2017-05,54
2017-06,57
2017-07,61
2017-08,56
2017-09,55
2017-10,50
2017-11,49
2017-12,50
2018-01,50
2018-02,50
2018-03,50
2018-04,58
2018-05,54
2018-06,62
2018-07,71
2018-08,61
2018-09,60
2018-10,55
2018-11,49
2018-12,55
2019-01,58
2019-02,60
2019-03,63
2019-04,54
2019-05,58
2019-06,65
2019-07,56
2019-08,53
2019-09,57
2019-10,57
2019-11,51
2019-12,55
2020-01,56
2020-02,61
2020-03,44
2020-04,53
2020-05,56
2020-06,54
2020-07,50
2020-08,54
2020-09,47
2020-10,49
2020-11,50
2020-12,48
2021-01,48
2021-02,52
2021-03,54
2021-04,51
2021-05,57
2021-06,54
2021-07,58
2021-08,56
2021-09,55
2021-10,55
2021-11,53
2021-12,54
2022-01,55
2022-02,57
2022-03,61
2022-04,60
2022-05,56
2022-06,66
2022-07,66
2022-08,60
2022-09,60
2022-10,56
2022-11,47
2022-12,60
2023-01,57
2023-02,59
2023-03,61
2023-04,64
2023-05,63
2023-06,63
2023-07,60
2023-08,58
2023-09,53
2023-10,64
2023-11,48
2023-12,53
2024-01,53
2024-02,60
2024-03,60
2024-04,55
