Category: All categories

Month,gout: (Michigan)
2004-01,58
2004-02,0
2004-03,0
2004-04,83
2004-05,54
2004-06,74
2004-07,100
2004-08,70
2004-09,61
2004-10,0
2004-11,0
2004-12,46
2005-01,37
2005-02,48
2005-03,45
2005-04,48
2005-05,58
2005-06,70
2005-07,56
2005-08,68
2005-09,50
2005-10,48
2005-11,80
2005-12,65
2006-01,90
2006-02,29
2006-03,59
2006-04,51
2006-05,70
2006-06,57
2006-07,64
2006-08,74
2006-09,61
2006-10,51
2006-11,44
2006-12,60
2007-01,63
2007-02,52
2007-03,52
2007-04,46
2007-05,57
2007-06,78
2007-07,48
2007-08,74
2007-09,53
2007-10,52
2007-11,48
2007-12,38
2008-01,53
2008-02,44
2008-03,46
2008-04,52
2008-05,55
2008-06,70
2008-07,70
2008-08,63
2008-09,53
2008-10,50
2008-11,51
2008-12,53
2009-01,57
2009-02,55
2009-03,70
2009-04,49
2009-05,63
2009-06,61
2009-07,69
2009-08,61
2009-09,59
2009-10,45
2009-11,55
2009-12,49
2010-01,62
2010-02,58
2010-03,53
2010-04,55
2010-05,62
2010-06,73
2010-07,76
2010-08,78
2010-09,44
2010-10,94
2010-11,65
2010-12,65
2011-01,74
2011-02,70
2011-03,85
2011-04,77
2011-05,82
2011-06,75
2011-07,92
2011-08,92
2011-09,77
2011-10,77
2011-11,69
2011-12,64
2012-01,79
2012-02,59
2012-03,66
2012-04,53
2012-05,67
2012-06,57
2012-07,60
2012-08,60
2012-09,57
2012-10,58
2012-11,59
2012-12,52
2013-01,61
2013-02,63
2013-03,57
2013-04,68
2013-05,75
2013-06,72
2013-07,65
2013-08,63
2013-09,67
2013-10,60
2013-11,52
2013-12,54
2014-01,60
2014-02,58
2014-03,62
2014-04,66
2014-05,69
2014-06,80
2014-07,80
2014-08,70
2014-09,68
2014-10,79
2014-11,55
2014-12,71
2015-01,71
2015-02,59
2015-03,68
2015-04,67
2015-05,71
2015-06,73
2015-07,71
2015-08,75
2015-09,64
2015-10,59
2015-11,67
2015-12,62
2016-01,60
2016-02,62
2016-03,62
2016-04,66
2016-05,67
2016-06,72
2016-07,67
2016-08,70
2016-09,67
2016-10,61
2016-11,55
2016-12,60
2017-01,68
2017-02,65
2017-03,69
2017-04,73
2017-05,77
2017-06,78
2017-07,80
2017-08,76
2017-09,73
2017-10,64
2017-11,65
2017-12,70
2018-01,70
2018-02,74
2018-03,75
2018-04,75
2018-05,80
2018-06,82
2018-07,91
2018-08,80
2018-09,78
2018-10,68
2018-11,65
2018-12,65
2019-01,76
2019-02,73
2019-03,75
2019-04,76
2019-05,78
2019-06,82
2019-07,84
2019-08,83
2019-09,71
2019-10,78
2019-11,68
2019-12,79
2020-01,68
2020-02,71
2020-03,59
2020-04,66
2020-05,64
2020-06,74
2020-07,78
2020-08,73
2020-09,60
2020-10,61
2020-11,63
2020-12,68
2021-01,73
2021-02,72
2021-03,72
2021-04,73
2021-05,77
2021-06,76
2021-07,74
2021-08,80
2021-09,69
2021-10,63
2021-11,66
2021-12,66
2022-01,69
2022-02,71
2022-03,78
2022-04,80
2022-05,84
2022-06,81
2022-07,85
2022-08,88
2022-09,75
2022-10,69
2022-11,67
2022-12,79
2023-01,75
2023-02,76
2023-03,75
2023-04,78
2023-05,81
2023-06,90
2023-07,81
2023-08,75
2023-09,68
2023-10,68
2023-11,66
2023-12,73
2024-01,66
2024-02,73
2024-03,75
2024-04,72
