Category: All categories

Month,Gout: (Minnesota)
2004-01,73
2004-02,64
2004-03,88
2004-04,0
2004-05,0
2004-06,61
2004-07,70
2004-08,0
2004-09,78
2004-10,0
2004-11,82
2004-12,75
2005-01,43
2005-02,48
2005-03,42
2005-04,60
2005-05,48
2005-06,80
2005-07,65
2005-08,68
2005-09,55
2005-10,62
2005-11,99
2005-12,47
2006-01,0
2006-02,46
2006-03,76
2006-04,68
2006-05,71
2006-06,36
2006-07,94
2006-08,71
2006-09,87
2006-10,51
2006-11,43
2006-12,53
2007-01,63
2007-02,65
2007-03,76
2007-04,33
2007-05,81
2007-06,64
2007-07,73
2007-08,62
2007-09,35
2007-10,55
2007-11,65
2007-12,48
2008-01,38
2008-02,55
2008-03,52
2008-04,55
2008-05,85
2008-06,70
2008-07,72
2008-08,60
2008-09,64
2008-10,57
2008-11,55
2008-12,59
2009-01,60
2009-02,60
2009-03,64
2009-04,42
2009-05,66
2009-06,96
2009-07,82
2009-08,71
2009-09,55
2009-10,66
2009-11,69
2009-12,61
2010-01,66
2010-02,68
2010-03,81
2010-04,64
2010-05,73
2010-06,84
2010-07,86
2010-08,72
2010-09,60
2010-10,96
2010-11,79
2010-12,66
2011-01,84
2011-02,81
2011-03,90
2011-04,80
2011-05,90
2011-06,91
2011-07,89
2011-08,100
2011-09,94
2011-10,76
2011-11,70
2011-12,68
2012-01,73
2012-02,69
2012-03,88
2012-04,69
2012-05,63
2012-06,76
2012-07,73
2012-08,69
2012-09,62
2012-10,63
2012-11,60
2012-12,59
2013-01,65
2013-02,61
2013-03,65
2013-04,65
2013-05,66
2013-06,73
2013-07,74
2013-08,72
2013-09,64
2013-10,64
2013-11,61
2013-12,61
2014-01,62
2014-02,59
2014-03,65
2014-04,74
2014-05,74
2014-06,80
2014-07,81
2014-08,69
2014-09,66
2014-10,80
2014-11,61
2014-12,68
2015-01,68
2015-02,67
2015-03,67
2015-04,78
2015-05,66
2015-06,79
2015-07,84
2015-08,77
2015-09,84
2015-10,72
2015-11,73
2015-12,75
2016-01,76
2016-02,73
2016-03,74
2016-04,72
2016-05,70
2016-06,75
2016-07,84
2016-08,75
2016-09,71
2016-10,71
2016-11,73
2016-12,63
2017-01,70
2017-02,68
2017-03,73
2017-04,83
2017-05,81
2017-06,85
2017-07,92
2017-08,80
2017-09,79
2017-10,71
2017-11,60
2017-12,73
2018-01,80
2018-02,71
2018-03,79
2018-04,78
2018-05,89
2018-06,95
2018-07,88
2018-08,82
2018-09,87
2018-10,71
2018-11,73
2018-12,74
2019-01,80
2019-02,78
2019-03,88
2019-04,88
2019-05,84
2019-06,95
2019-07,94
2019-08,82
2019-09,82
2019-10,74
2019-11,76
2019-12,82
2020-01,79
2020-02,74
2020-03,65
2020-04,68
2020-05,82
2020-06,82
2020-07,83
2020-08,80
2020-09,71
2020-10,67
2020-11,76
2020-12,79
2021-01,78
2021-02,84
2021-03,75
2021-04,85
2021-05,80
2021-06,90
2021-07,80
2021-08,80
2021-09,67
2021-10,80
2021-11,76
2021-12,71
2022-01,84
2022-02,78
2022-03,86
2022-04,77
2022-05,86
2022-06,87
2022-07,87
2022-08,99
2022-09,86
2022-10,83
2022-11,79
2022-12,76
2023-01,72
2023-02,76
2023-03,89
2023-04,88
2023-05,91
2023-06,85
2023-07,89
2023-08,92
2023-09,77
2023-10,84
2023-11,77
2023-12,85
2024-01,83
2024-02,85
2024-03,83
2024-04,78
