Category: All categories

Month,gout: (Missouri)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,75
2004-07,0
2004-08,0
2004-09,82
2004-10,0
2004-11,0
2004-12,100
2005-01,65
2005-02,0
2005-03,77
2005-04,64
2005-05,74
2005-06,50
2005-07,92
2005-08,66
2005-09,76
2005-10,56
2005-11,86
2005-12,68
2006-01,48
2006-02,60
2006-03,57
2006-04,46
2006-05,47
2006-06,70
2006-07,60
2006-08,74
2006-09,67
2006-10,49
2006-11,37
2006-12,33
2007-01,50
2007-02,56
2007-03,57
2007-04,51
2007-05,75
2007-06,60
2007-07,51
2007-08,51
2007-09,62
2007-10,53
2007-11,51
2007-12,68
2008-01,49
2008-02,62
2008-03,47
2008-04,66
2008-05,58
2008-06,61
2008-07,59
2008-08,58
2008-09,54
2008-10,60
2008-11,57
2008-12,46
2009-01,50
2009-02,50
2009-03,54
2009-04,56
2009-05,66
2009-06,59
2009-07,65
2009-08,52
2009-09,50
2009-10,52
2009-11,44
2009-12,59
2010-01,61
2010-02,68
2010-03,75
2010-04,73
2010-05,78
2010-06,68
2010-07,75
2010-08,67
2010-09,65
2010-10,91
2010-11,77
2010-12,77
2011-01,64
2011-02,63
2011-03,73
2011-04,64
2011-05,60
2011-06,68
2011-07,70
2011-08,72
2011-09,63
2011-10,76
2011-11,71
2011-12,47
2012-01,69
2012-02,71
2012-03,69
2012-04,65
2012-05,70
2012-06,60
2012-07,66
2012-08,61
2012-09,58
2012-10,54
2012-11,57
2012-12,49
2013-01,53
2013-02,59
2013-03,56
2013-04,62
2013-05,65
2013-06,68
2013-07,69
2013-08,61
2013-09,59
2013-10,54
2013-11,53
2013-12,56
2014-01,52
2014-02,55
2014-03,59
2014-04,64
2014-05,69
2014-06,57
2014-07,66
2014-08,71
2014-09,66
2014-10,68
2014-11,55
2014-12,52
2015-01,77
2015-02,59
2015-03,67
2015-04,60
2015-05,57
2015-06,76
2015-07,69
2015-08,72
2015-09,60
2015-10,62
2015-11,64
2015-12,67
2016-01,55
2016-02,51
2016-03,62
2016-04,65
2016-05,65
2016-06,67
2016-07,60
2016-08,62
2016-09,56
2016-10,61
2016-11,55
2016-12,59
2017-01,60
2017-02,66
2017-03,66
2017-04,63
2017-05,63
2017-06,66
2017-07,72
2017-08,60
2017-09,64
2017-10,60
2017-11,62
2017-12,59
2018-01,64
2018-02,64
2018-03,66
2018-04,76
2018-05,69
2018-06,79
2018-07,78
2018-08,73
2018-09,63
2018-10,71
2018-11,61
2018-12,68
2019-01,65
2019-02,65
2019-03,70
2019-04,70
2019-05,69
2019-06,77
2019-07,65
2019-08,63
2019-09,62
2019-10,71
2019-11,68
2019-12,71
2020-01,75
2020-02,64
2020-03,57
2020-04,59
2020-05,62
2020-06,70
2020-07,68
2020-08,63
2020-09,65
2020-10,57
2020-11,58
2020-12,64
2021-01,68
2021-02,66
2021-03,73
2021-04,70
2021-05,67
2021-06,74
2021-07,68
2021-08,74
2021-09,58
2021-10,58
2021-11,67
2021-12,62
2022-01,68
2022-02,69
2022-03,74
2022-04,68
2022-05,79
2022-06,74
2022-07,75
2022-08,75
2022-09,69
2022-10,68
2022-11,70
2022-12,61
2023-01,71
2023-02,69
2023-03,67
2023-04,64
2023-05,74
2023-06,78
2023-07,76
2023-08,70
2023-09,70
2023-10,71
2023-11,62
2023-12,69
2024-01,59
2024-02,69
2024-03,64
2024-04,61
