Category: All categories

Month,gout: (Mississippi)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,100
2007-04,0
2007-05,0
2007-06,0
2007-07,64
2007-08,0
2007-09,86
2007-10,56
2007-11,0
2007-12,68
2008-01,56
2008-02,0
2008-03,0
2008-04,0
2008-05,64
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,74
2008-11,59
2008-12,62
2009-01,58
2009-02,66
2009-03,59
2009-04,94
2009-05,63
2009-06,81
2009-07,0
2009-08,62
2009-09,62
2009-10,57
2009-11,45
2009-12,53
2010-01,50
2010-02,0
2010-03,0
2010-04,43
2010-05,74
2010-06,0
2010-07,67
2010-08,66
2010-09,65
2010-10,77
2010-11,46
2010-12,58
2011-01,76
2011-02,62
2011-03,69
2011-04,79
2011-05,72
2011-06,80
2011-07,55
2011-08,79
2011-09,67
2011-10,70
2011-11,68
2011-12,60
2012-01,58
2012-02,70
2012-03,62
2012-04,79
2012-05,69
2012-06,78
2012-07,53
2012-08,62
2012-09,61
2012-10,53
2012-11,59
2012-12,46
2013-01,56
2013-02,47
2013-03,55
2013-04,66
2013-05,68
2013-06,60
2013-07,53
2013-08,59
2013-09,62
2013-10,59
2013-11,45
2013-12,48
2014-01,52
2014-02,63
2014-03,61
2014-04,61
2014-05,69
2014-06,61
2014-07,71
2014-08,77
2014-09,76
2014-10,55
2014-11,61
2014-12,58
2015-01,59
2015-02,64
2015-03,66
2015-04,68
2015-05,82
2015-06,73
2015-07,69
2015-08,55
2015-09,73
2015-10,71
2015-11,80
2015-12,64
2016-01,67
2016-02,61
2016-03,62
2016-04,67
2016-05,68
2016-06,75
2016-07,67
2016-08,75
2016-09,62
2016-10,86
2016-11,72
2016-12,61
2017-01,67
2017-02,81
2017-03,69
2017-04,81
2017-05,73
2017-06,67
2017-07,73
2017-08,63
2017-09,66
2017-10,62
2017-11,55
2017-12,73
2018-01,69
2018-02,70
2018-03,77
2018-04,70
2018-05,77
2018-06,80
2018-07,91
2018-08,66
2018-09,84
2018-10,80
2018-11,65
2018-12,80
2019-01,77
2019-02,77
2019-03,88
2019-04,71
2019-05,77
2019-06,89
2019-07,93
2019-08,73
2019-09,61
2019-10,75
2019-11,78
2019-12,67
2020-01,64
2020-02,76
2020-03,69
2020-04,63
2020-05,60
2020-06,65
2020-07,71
2020-08,60
2020-09,55
2020-10,66
2020-11,60
2020-12,63
2021-01,64
2021-02,66
2021-03,72
2021-04,65
2021-05,78
2021-06,73
2021-07,75
2021-08,64
2021-09,80
2021-10,67
2021-11,64
2021-12,81
2022-01,76
2022-02,61
2022-03,85
2022-04,72
2022-05,79
2022-06,87
2022-07,79
2022-08,83
2022-09,73
2022-10,72
2022-11,58
2022-12,68
2023-01,80
2023-02,73
2023-03,76
2023-04,91
2023-05,82
2023-06,86
2023-07,76
2023-08,76
2023-09,89
2023-10,74
2023-11,71
2023-12,83
2024-01,82
2024-02,75
2024-03,76
2024-04,71
