Category: All categories

Month,gout: (Montana)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,100
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,64
2007-07,0
2007-08,0
2007-09,38
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,40
2008-08,0
2008-09,29
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,31
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,29
2010-12,0
2011-01,21
2011-02,17
2011-03,23
2011-04,16
2011-05,18
2011-06,18
2011-07,22
2011-08,15
2011-09,13
2011-10,15
2011-11,0
2011-12,0
2012-01,12
2012-02,15
2012-03,17
2012-04,18
2012-05,14
2012-06,20
2012-07,15
2012-08,18
2012-09,0
2012-10,0
2012-11,15
2012-12,17
2013-01,10
2013-02,14
2013-03,14
2013-04,14
2013-05,11
2013-06,18
2013-07,17
2013-08,20
2013-09,14
2013-10,12
2013-11,15
2013-12,9
2014-01,17
2014-02,17
2014-03,8
2014-04,12
2014-05,17
2014-06,20
2014-07,22
2014-08,0
2014-09,14
2014-10,9
2014-11,16
2014-12,18
2015-01,16
2015-02,17
2015-03,20
2015-04,22
2015-05,18
2015-06,17
2015-07,16
2015-08,18
2015-09,11
2015-10,14
2015-11,15
2015-12,18
2016-01,18
2016-02,16
2016-03,13
2016-04,14
2016-05,17
2016-06,17
2016-07,19
2016-08,13
2016-09,13
2016-10,16
2016-11,15
2016-12,12
2017-01,16
2017-02,13
2017-03,14
2017-04,12
2017-05,18
2017-06,17
2017-07,14
2017-08,16
2017-09,12
2017-10,17
2017-11,17
2017-12,14
2018-01,17
2018-02,11
2018-03,18
2018-04,23
2018-05,19
2018-06,20
2018-07,22
2018-08,15
2018-09,15
2018-10,15
2018-11,17
2018-12,21
2019-01,21
2019-02,18
2019-03,21
2019-04,24
2019-05,14
2019-06,21
2019-07,22
2019-08,22
2019-09,17
2019-10,14
2019-11,18
2019-12,16
2020-01,17
2020-02,18
2020-03,14
2020-04,15
2020-05,15
2020-06,20
2020-07,17
2020-08,15
2020-09,14
2020-10,16
2020-11,16
2020-12,20
2021-01,17
2021-02,18
2021-03,17
2021-04,22
2021-05,17
2021-06,16
2021-07,10
2021-08,17
2021-09,13
2021-10,14
2021-11,17
2021-12,14
2022-01,16
2022-02,18
2022-03,20
2022-04,18
2022-05,16
2022-06,16
2022-07,17
2022-08,18
2022-09,12
2022-10,17
2022-11,15
2022-12,16
2023-01,16
2023-02,16
2023-03,15
2023-04,18
2023-05,24
2023-06,18
2023-07,19
2023-08,14
2023-09,16
2023-10,15
2023-11,16
2023-12,15
2024-01,19
2024-02,15
2024-03,17
2024-04,18
