Category: All categories

Month,gout: (North Carolina)
2004-01,0
2004-02,49
2004-03,100
2004-04,53
2004-05,63
2004-06,54
2004-07,0
2004-08,84
2004-09,49
2004-10,61
2004-11,0
2004-12,0
2005-01,0
2005-02,45
2005-03,46
2005-04,59
2005-05,45
2005-06,54
2005-07,51
2005-08,65
2005-09,42
2005-10,47
2005-11,43
2005-12,46
2006-01,45
2006-02,42
2006-03,47
2006-04,47
2006-05,52
2006-06,68
2006-07,55
2006-08,52
2006-09,62
2006-10,47
2006-11,34
2006-12,49
2007-01,44
2007-02,37
2007-03,44
2007-04,54
2007-05,48
2007-06,44
2007-07,61
2007-08,53
2007-09,47
2007-10,44
2007-11,32
2007-12,41
2008-01,33
2008-02,47
2008-03,47
2008-04,43
2008-05,45
2008-06,52
2008-07,55
2008-08,44
2008-09,47
2008-10,43
2008-11,46
2008-12,40
2009-01,38
2009-02,39
2009-03,47
2009-04,47
2009-05,52
2009-06,52
2009-07,51
2009-08,52
2009-09,59
2009-10,44
2009-11,40
2009-12,40
2010-01,54
2010-02,51
2010-03,53
2010-04,52
2010-05,50
2010-06,53
2010-07,56
2010-08,58
2010-09,57
2010-10,61
2010-11,54
2010-12,58
2011-01,51
2011-02,48
2011-03,62
2011-04,60
2011-05,66
2011-06,62
2011-07,58
2011-08,64
2011-09,54
2011-10,55
2011-11,51
2011-12,47
2012-01,58
2012-02,53
2012-03,54
2012-04,50
2012-05,54
2012-06,59
2012-07,52
2012-08,46
2012-09,51
2012-10,42
2012-11,42
2012-12,41
2013-01,47
2013-02,47
2013-03,50
2013-04,49
2013-05,46
2013-06,50
2013-07,56
2013-08,47
2013-09,49
2013-10,44
2013-11,45
2013-12,47
2014-01,43
2014-02,45
2014-03,46
2014-04,52
2014-05,50
2014-06,57
2014-07,55
2014-08,48
2014-09,52
2014-10,51
2014-11,45
2014-12,47
2015-01,49
2015-02,46
2015-03,47
2015-04,55
2015-05,58
2015-06,53
2015-07,58
2015-08,59
2015-09,57
2015-10,48
2015-11,50
2015-12,53
2016-01,49
2016-02,46
2016-03,46
2016-04,47
2016-05,51
2016-06,54
2016-07,56
2016-08,49
2016-09,49
2016-10,49
2016-11,46
2016-12,48
2017-01,50
2017-02,47
2017-03,51
2017-04,56
2017-05,52
2017-06,61
2017-07,62
2017-08,56
2017-09,52
2017-10,54
2017-11,52
2017-12,49
2018-01,50
2018-02,59
2018-03,54
2018-04,55
2018-05,59
2018-06,59
2018-07,59
2018-08,59
2018-09,55
2018-10,50
2018-11,45
2018-12,53
2019-01,54
2019-02,55
2019-03,54
2019-04,55
2019-05,62
2019-06,60
2019-07,56
2019-08,61
2019-09,54
2019-10,51
2019-11,50
2019-12,52
2020-01,62
2020-02,54
2020-03,51
2020-04,50
2020-05,51
2020-06,55
2020-07,51
2020-08,47
2020-09,46
2020-10,49
2020-11,49
2020-12,51
2021-01,48
2021-02,51
2021-03,49
2021-04,54
2021-05,55
2021-06,58
2021-07,55
2021-08,49
2021-09,50
2021-10,50
2021-11,48
2021-12,50
2022-01,55
2022-02,53
2022-03,57
2022-04,57
2022-05,57
2022-06,65
2022-07,67
2022-08,64
2022-09,51
2022-10,59
2022-11,53
2022-12,54
2023-01,54
2023-02,57
2023-03,57
2023-04,58
2023-05,62
2023-06,64
2023-07,60
2023-08,57
2023-09,50
2023-10,54
2023-11,57
2023-12,52
2024-01,50
2024-02,54
2024-03,55
2024-04,56
