Category: All categories

Month,gout: (North Dakota)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,100
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,29
2011-05,31
2011-06,34
2011-07,0
2011-08,29
2011-09,28
2011-10,31
2011-11,0
2011-12,34
2012-01,25
2012-02,22
2012-03,26
2012-04,23
2012-05,0
2012-06,0
2012-07,0
2012-08,21
2012-09,22
2012-10,0
2012-11,28
2012-12,0
2013-01,20
2013-02,24
2013-03,18
2013-04,21
2013-05,15
2013-06,0
2013-07,20
2013-08,19
2013-09,0
2013-10,16
2013-11,0
2013-12,22
2014-01,13
2014-02,14
2014-03,15
2014-04,21
2014-05,13
2014-06,17
2014-07,17
2014-08,19
2014-09,20
2014-10,32
2014-11,26
2014-12,27
2015-01,16
2015-02,14
2015-03,25
2015-04,20
2015-05,23
2015-06,19
2015-07,20
2015-08,15
2015-09,0
2015-10,18
2015-11,21
2015-12,0
2016-01,16
2016-02,18
2016-03,17
2016-04,15
2016-05,38
2016-06,20
2016-07,16
2016-08,22
2016-09,19
2016-10,16
2016-11,17
2016-12,14
2017-01,20
2017-02,10
2017-03,24
2017-04,18
2017-05,21
2017-06,26
2017-07,27
2017-08,25
2017-09,28
2017-10,22
2017-11,18
2017-12,23
2018-01,18
2018-02,19
2018-03,20
2018-04,23
2018-05,22
2018-06,23
2018-07,22
2018-08,27
2018-09,16
2018-10,26
2018-11,24
2018-12,20
2019-01,23
2019-02,17
2019-03,26
2019-04,21
2019-05,27
2019-06,19
2019-07,30
2019-08,30
2019-09,20
2019-10,17
2019-11,16
2019-12,25
2020-01,27
2020-02,16
2020-03,19
2020-04,19
2020-05,22
2020-06,28
2020-07,19
2020-08,12
2020-09,22
2020-10,19
2020-11,21
2020-12,17
2021-01,26
2021-02,25
2021-03,27
2021-04,20
2021-05,20
2021-06,24
2021-07,27
2021-08,20
2021-09,21
2021-10,24
2021-11,28
2021-12,26
2022-01,18
2022-02,23
2022-03,18
2022-04,21
2022-05,24
2022-06,33
2022-07,18
2022-08,21
2022-09,38
2022-10,24
2022-11,21
2022-12,21
2023-01,18
2023-02,29
2023-03,21
2023-04,29
2023-05,27
2023-06,24
2023-07,19
2023-08,13
2023-09,19
2023-10,20
2023-11,26
2023-12,19
2024-01,23
2024-02,23
2024-03,18
2024-04,21
