Category: All categories

Month,gout: (Nebraska)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,96
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,100
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,58
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,94
2007-07,62
2007-08,60
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,56
2008-03,0
2008-04,47
2008-05,0
2008-06,0
2008-07,0
2008-08,45
2008-09,0
2008-10,0
2008-11,0
2008-12,39
2009-01,0
2009-02,0
2009-03,59
2009-04,55
2009-05,47
2009-06,54
2009-07,0
2009-08,0
2009-09,37
2009-10,0
2009-11,39
2009-12,52
2010-01,44
2010-02,62
2010-03,35
2010-04,37
2010-05,0
2010-06,52
2010-07,56
2010-08,91
2010-09,39
2010-10,37
2010-11,38
2010-12,0
2011-01,53
2011-02,38
2011-03,34
2011-04,56
2011-05,33
2011-06,59
2011-07,45
2011-08,49
2011-09,51
2011-10,53
2011-11,50
2011-12,41
2012-01,54
2012-02,53
2012-03,41
2012-04,40
2012-05,35
2012-06,45
2012-07,37
2012-08,34
2012-09,36
2012-10,30
2012-11,57
2012-12,49
2013-01,39
2013-02,50
2013-03,42
2013-04,38
2013-05,46
2013-06,41
2013-07,34
2013-08,34
2013-09,29
2013-10,47
2013-11,31
2013-12,36
2014-01,36
2014-02,39
2014-03,33
2014-04,39
2014-05,51
2014-06,48
2014-07,37
2014-08,44
2014-09,41
2014-10,36
2014-11,43
2014-12,45
2015-01,37
2015-02,36
2015-03,31
2015-04,40
2015-05,43
2015-06,59
2015-07,45
2015-08,47
2015-09,45
2015-10,30
2015-11,36
2015-12,42
2016-01,33
2016-02,41
2016-03,33
2016-04,41
2016-05,38
2016-06,47
2016-07,52
2016-08,45
2016-09,35
2016-10,37
2016-11,41
2016-12,34
2017-01,43
2017-02,42
2017-03,44
2017-04,50
2017-05,43
2017-06,49
2017-07,55
2017-08,53
2017-09,50
2017-10,43
2017-11,42
2017-12,44
2018-01,49
2018-02,47
2018-03,45
2018-04,46
2018-05,52
2018-06,51
2018-07,55
2018-08,39
2018-09,44
2018-10,49
2018-11,36
2018-12,48
2019-01,45
2019-02,44
2019-03,45
2019-04,53
2019-05,57
2019-06,47
2019-07,55
2019-08,39
2019-09,43
2019-10,49
2019-11,56
2019-12,51
2020-01,50
2020-02,60
2020-03,45
2020-04,43
2020-05,48
2020-06,48
2020-07,39
2020-08,44
2020-09,55
2020-10,48
2020-11,43
2020-12,37
2021-01,48
2021-02,50
2021-03,48
2021-04,53
2021-05,45
2021-06,44
2021-07,53
2021-08,48
2021-09,39
2021-10,31
2021-11,44
2021-12,44
2022-01,48
2022-02,55
2022-03,56
2022-04,53
2022-05,51
2022-06,54
2022-07,48
2022-08,50
2022-09,44
2022-10,37
2022-11,43
2022-12,40
2023-01,51
2023-02,44
2023-03,39
2023-04,46
2023-05,55
2023-06,54
2023-07,49
2023-08,50
2023-09,40
2023-10,42
2023-11,49
2023-12,42
2024-01,45
2024-02,45
2024-03,46
2024-04,47
