Category: All categories

Month,gout: (New Hampshire)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,100
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,31
2008-11,0
2008-12,45
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,44
2009-07,0
2009-08,44
2009-09,41
2009-10,39
2009-11,34
2009-12,0
2010-01,40
2010-02,29
2010-03,31
2010-04,0
2010-05,40
2010-06,30
2010-07,49
2010-08,0
2010-09,0
2010-10,41
2010-11,0
2010-12,36
2011-01,38
2011-02,34
2011-03,39
2011-04,41
2011-05,31
2011-06,37
2011-07,53
2011-08,45
2011-09,0
2011-10,26
2011-11,34
2011-12,22
2012-01,32
2012-02,28
2012-03,26
2012-04,28
2012-05,25
2012-06,25
2012-07,41
2012-08,37
2012-09,30
2012-10,36
2012-11,26
2012-12,27
2013-01,29
2013-02,20
2013-03,30
2013-04,36
2013-05,27
2013-06,35
2013-07,30
2013-08,34
2013-09,24
2013-10,25
2013-11,20
2013-12,24
2014-01,26
2014-02,23
2014-03,30
2014-04,33
2014-05,31
2014-06,27
2014-07,45
2014-08,36
2014-09,36
2014-10,22
2014-11,35
2014-12,29
2015-01,25
2015-02,30
2015-03,36
2015-04,35
2015-05,36
2015-06,37
2015-07,39
2015-08,43
2015-09,36
2015-10,22
2015-11,26
2015-12,23
2016-01,38
2016-02,34
2016-03,34
2016-04,37
2016-05,26
2016-06,29
2016-07,45
2016-08,25
2016-09,31
2016-10,33
2016-11,30
2016-12,30
2017-01,28
2017-02,37
2017-03,27
2017-04,39
2017-05,32
2017-06,29
2017-07,28
2017-08,36
2017-09,32
2017-10,38
2017-11,27
2017-12,37
2018-01,35
2018-02,37
2018-03,30
2018-04,37
2018-05,39
2018-06,43
2018-07,41
2018-08,52
2018-09,39
2018-10,34
2018-11,37
2018-12,43
2019-01,34
2019-02,39
2019-03,34
2019-04,46
2019-05,41
2019-06,44
2019-07,41
2019-08,45
2019-09,32
2019-10,34
2019-11,32
2019-12,28
2020-01,38
2020-02,44
2020-03,29
2020-04,33
2020-05,32
2020-06,43
2020-07,37
2020-08,37
2020-09,38
2020-10,36
2020-11,33
2020-12,33
2021-01,37
2021-02,36
2021-03,35
2021-04,39
2021-05,33
2021-06,37
2021-07,43
2021-08,38
2021-09,29
2021-10,29
2021-11,31
2021-12,39
2022-01,31
2022-02,35
2022-03,42
2022-04,35
2022-05,37
2022-06,41
2022-07,46
2022-08,42
2022-09,35
2022-10,35
2022-11,35
2022-12,40
2023-01,37
2023-02,34
2023-03,32
2023-04,46
2023-05,36
2023-06,43
2023-07,42
2023-08,42
2023-09,34
2023-10,30
2023-11,35
2023-12,32
2024-01,40
2024-02,39
2024-03,38
2024-04,37
