Category: All categories

Month,Gout: (New Jersey)
2004-01,61
2004-02,39
2004-03,47
2004-04,40
2004-05,0
2004-06,67
2004-07,51
2004-08,87
2004-09,57
2004-10,69
2004-11,39
2004-12,40
2005-01,100
2005-02,0
2005-03,70
2005-04,53
2005-05,40
2005-06,38
2005-07,51
2005-08,39
2005-09,43
2005-10,45
2005-11,51
2005-12,37
2006-01,60
2006-02,64
2006-03,48
2006-04,39
2006-05,36
2006-06,47
2006-07,70
2006-08,62
2006-09,38
2006-10,31
2006-11,44
2006-12,42
2007-01,58
2007-02,39
2007-03,60
2007-04,58
2007-05,52
2007-06,57
2007-07,65
2007-08,62
2007-09,42
2007-10,63
2007-11,37
2007-12,52
2008-01,54
2008-02,46
2008-03,60
2008-04,64
2008-05,64
2008-06,45
2008-07,59
2008-08,61
2008-09,46
2008-10,45
2008-11,40
2008-12,58
2009-01,53
2009-02,55
2009-03,50
2009-04,54
2009-05,59
2009-06,64
2009-07,64
2009-08,60
2009-09,60
2009-10,61
2009-11,51
2009-12,59
2010-01,54
2010-02,58
2010-03,60
2010-04,75
2010-05,71
2010-06,66
2010-07,65
2010-08,69
2010-09,64
2010-10,87
2010-11,81
2010-12,67
2011-01,67
2011-02,64
2011-03,68
2011-04,80
2011-05,74
2011-06,79
2011-07,89
2011-08,68
2011-09,69
2011-10,70
2011-11,68
2011-12,58
2012-01,63
2012-02,60
2012-03,63
2012-04,63
2012-05,63
2012-06,59
2012-07,63
2012-08,61
2012-09,58
2012-10,54
2012-11,43
2012-12,58
2013-01,48
2013-02,55
2013-03,66
2013-04,61
2013-05,66
2013-06,70
2013-07,65
2013-08,64
2013-09,60
2013-10,55
2013-11,48
2013-12,54
2014-01,55
2014-02,52
2014-03,52
2014-04,62
2014-05,63
2014-06,65
2014-07,69
2014-08,70
2014-09,70
2014-10,62
2014-11,57
2014-12,62
2015-01,58
2015-02,56
2015-03,62
2015-04,70
2015-05,67
2015-06,71
2015-07,77
2015-08,77
2015-09,59
2015-10,60
2015-11,60
2015-12,64
2016-01,55
2016-02,63
2016-03,64
2016-04,63
2016-05,62
2016-06,69
2016-07,74
2016-08,74
2016-09,67
2016-10,57
2016-11,61
2016-12,58
2017-01,64
2017-02,61
2017-03,68
2017-04,77
2017-05,74
2017-06,70
2017-07,79
2017-08,78
2017-09,67
2017-10,64
2017-11,53
2017-12,66
2018-01,63
2018-02,71
2018-03,67
2018-04,72
2018-05,72
2018-06,77
2018-07,82
2018-08,87
2018-09,78
2018-10,68
2018-11,63
2018-12,72
2019-01,69
2019-02,68
2019-03,80
2019-04,78
2019-05,73
2019-06,79
2019-07,84
2019-08,76
2019-09,72
2019-10,68
2019-11,69
2019-12,73
2020-01,72
2020-02,73
2020-03,59
2020-04,66
2020-05,65
2020-06,67
2020-07,73
2020-08,74
2020-09,67
2020-10,67
2020-11,63
2020-12,67
2021-01,67
2021-02,75
2021-03,65
2021-04,68
2021-05,73
2021-06,73
2021-07,76
2021-08,74
2021-09,72
2021-10,66
2021-11,61
2021-12,65
2022-01,68
2022-02,75
2022-03,75
2022-04,71
2022-05,76
2022-06,79
2022-07,94
2022-08,86
2022-09,76
2022-10,72
2022-11,66
2022-12,64
2023-01,75
2023-02,81
2023-03,69
2023-04,77
2023-05,75
2023-06,80
2023-07,82
2023-08,82
2023-09,74
2023-10,71
2023-11,69
2023-12,70
2024-01,74
2024-02,76
2024-03,73
2024-04,74
