Category: All categories

Month,gout: (New Mexico)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,100
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,64
2005-10,0
2005-11,0
2005-12,0
2006-01,50
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,33
2006-09,0
2006-10,28
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,23
2007-07,0
2007-08,0
2007-09,0
2007-10,19
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,22
2008-04,23
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,22
2008-10,0
2008-11,0
2008-12,0
2009-01,21
2009-02,30
2009-03,24
2009-04,0
2009-05,24
2009-06,23
2009-07,21
2009-08,25
2009-09,0
2009-10,0
2009-11,20
2009-12,20
2010-01,0
2010-02,0
2010-03,19
2010-04,0
2010-05,24
2010-06,19
2010-07,0
2010-08,29
2010-09,20
2010-10,23
2010-11,24
2010-12,0
2011-01,22
2011-02,26
2011-03,22
2011-04,19
2011-05,27
2011-06,22
2011-07,27
2011-08,19
2011-09,19
2011-10,21
2011-11,19
2011-12,11
2012-01,23
2012-02,20
2012-03,16
2012-04,14
2012-05,16
2012-06,18
2012-07,15
2012-08,12
2012-09,23
2012-10,17
2012-11,7
2012-12,14
2013-01,10
2013-02,14
2013-03,13
2013-04,15
2013-05,16
2013-06,17
2013-07,17
2013-08,17
2013-09,16
2013-10,14
2013-11,16
2013-12,20
2014-01,18
2014-02,20
2014-03,13
2014-04,17
2014-05,14
2014-06,18
2014-07,18
2014-08,17
2014-09,13
2014-10,19
2014-11,9
2014-12,13
2015-01,17
2015-02,13
2015-03,17
2015-04,18
2015-05,16
2015-06,22
2015-07,19
2015-08,21
2015-09,16
2015-10,13
2015-11,13
2015-12,19
2016-01,15
2016-02,14
2016-03,17
2016-04,15
2016-05,15
2016-06,18
2016-07,19
2016-08,12
2016-09,14
2016-10,15
2016-11,16
2016-12,16
2017-01,17
2017-02,14
2017-03,18
2017-04,15
2017-05,21
2017-06,21
2017-07,18
2017-08,16
2017-09,19
2017-10,19
2017-11,16
2017-12,18
2018-01,20
2018-02,19
2018-03,20
2018-04,21
2018-05,19
2018-06,20
2018-07,19
2018-08,22
2018-09,19
2018-10,18
2018-11,15
2018-12,15
2019-01,17
2019-02,19
2019-03,19
2019-04,17
2019-05,20
2019-06,25
2019-07,20
2019-08,22
2019-09,19
2019-10,17
2019-11,18
2019-12,15
2020-01,17
2020-02,22
2020-03,13
2020-04,14
2020-05,20
2020-06,19
2020-07,17
2020-08,19
2020-09,16
2020-10,16
2020-11,17
2020-12,15
2021-01,19
2021-02,17
2021-03,17
2021-04,17
2021-05,19
2021-06,21
2021-07,16
2021-08,16
2021-09,16
2021-10,13
2021-11,17
2021-12,16
2022-01,18
2022-02,18
2022-03,22
2022-04,16
2022-05,21
2022-06,21
2022-07,21
2022-08,22
2022-09,19
2022-10,19
2022-11,16
2022-12,18
2023-01,18
2023-02,19
2023-03,22
2023-04,18
2023-05,21
2023-06,20
2023-07,18
2023-08,17
2023-09,16
2023-10,16
2023-11,20
2023-12,17
2024-01,16
2024-02,21
2024-03,17
2024-04,18
