Category: All categories

Month,gout: (Nevada)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,100
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,59
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,28
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,24
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,28
2007-08,0
2007-09,0
2007-10,25
2007-11,30
2007-12,0
2008-01,16
2008-02,0
2008-03,0
2008-04,23
2008-05,18
2008-06,33
2008-07,27
2008-08,0
2008-09,19
2008-10,18
2008-11,23
2008-12,23
2009-01,18
2009-02,0
2009-03,20
2009-04,22
2009-05,23
2009-06,23
2009-07,19
2009-08,27
2009-09,18
2009-10,18
2009-11,17
2009-12,21
2010-01,22
2010-02,23
2010-03,20
2010-04,19
2010-05,12
2010-06,21
2010-07,22
2010-08,30
2010-09,22
2010-10,31
2010-11,24
2010-12,26
2011-01,23
2011-02,24
2011-03,24
2011-04,23
2011-05,16
2011-06,32
2011-07,26
2011-08,27
2011-09,28
2011-10,27
2011-11,24
2011-12,20
2012-01,23
2012-02,24
2012-03,23
2012-04,21
2012-05,25
2012-06,21
2012-07,14
2012-08,22
2012-09,23
2012-10,18
2012-11,19
2012-12,18
2013-01,16
2013-02,19
2013-03,21
2013-04,25
2013-05,18
2013-06,21
2013-07,22
2013-08,23
2013-09,21
2013-10,21
2013-11,18
2013-12,15
2014-01,24
2014-02,19
2014-03,21
2014-04,23
2014-05,25
2014-06,24
2014-07,28
2014-08,21
2014-09,19
2014-10,22
2014-11,21
2014-12,19
2015-01,21
2015-02,25
2015-03,22
2015-04,24
2015-05,26
2015-06,27
2015-07,23
2015-08,27
2015-09,23
2015-10,26
2015-11,19
2015-12,21
2016-01,22
2016-02,22
2016-03,23
2016-04,22
2016-05,21
2016-06,23
2016-07,21
2016-08,25
2016-09,27
2016-10,24
2016-11,20
2016-12,21
2017-01,22
2017-02,23
2017-03,23
2017-04,25
2017-05,23
2017-06,26
2017-07,22
2017-08,25
2017-09,24
2017-10,23
2017-11,25
2017-12,22
2018-01,27
2018-02,26
2018-03,27
2018-04,27
2018-05,27
2018-06,27
2018-07,27
2018-08,25
2018-09,27
2018-10,21
2018-11,21
2018-12,24
2019-01,25
2019-02,25
2019-03,28
2019-04,22
2019-05,25
2019-06,25
2019-07,25
2019-08,24
2019-09,23
2019-10,23
2019-11,27
2019-12,27
2020-01,28
2020-02,28
2020-03,24
2020-04,25
2020-05,28
2020-06,25
2020-07,24
2020-08,25
2020-09,21
2020-10,23
2020-11,21
2020-12,25
2021-01,21
2021-02,25
2021-03,22
2021-04,24
2021-05,28
2021-06,25
2021-07,26
2021-08,28
2021-09,26
2021-10,27
2021-11,28
2021-12,19
2022-01,28
2022-02,27
2022-03,26
2022-04,26
2022-05,29
2022-06,27
2022-07,32
2022-08,30
2022-09,24
2022-10,28
2022-11,24
2022-12,26
2023-01,27
2023-02,29
2023-03,27
2023-04,26
2023-05,30
2023-06,31
2023-07,25
2023-08,26
2023-09,24
2023-10,22
2023-11,23
2023-12,29
2024-01,27
2024-02,26
2024-03,26
2024-04,26
