Category: All categories

Month,gout: (New York)
2004-01,40
2004-02,43
2004-03,47
2004-04,52
2004-05,77
2004-06,71
2004-07,54
2004-08,77
2004-09,61
2004-10,70
2004-11,48
2004-12,67
2005-01,67
2005-02,58
2005-03,65
2005-04,57
2005-05,89
2005-06,77
2005-07,65
2005-08,59
2005-09,69
2005-10,57
2005-11,55
2005-12,54
2006-01,61
2006-02,63
2006-03,63
2006-04,62
2006-05,62
2006-06,69
2006-07,85
2006-08,79
2006-09,63
2006-10,52
2006-11,57
2006-12,57
2007-01,68
2007-02,53
2007-03,65
2007-04,63
2007-05,74
2007-06,69
2007-07,79
2007-08,75
2007-09,52
2007-10,64
2007-11,66
2007-12,50
2008-01,50
2008-02,59
2008-03,65
2008-04,71
2008-05,69
2008-06,66
2008-07,70
2008-08,69
2008-09,61
2008-10,64
2008-11,57
2008-12,55
2009-01,66
2009-02,58
2009-03,64
2009-04,65
2009-05,86
2009-06,81
2009-07,80
2009-08,74
2009-09,59
2009-10,56
2009-11,66
2009-12,63
2010-01,65
2010-02,72
2010-03,74
2010-04,72
2010-05,81
2010-06,84
2010-07,86
2010-08,84
2010-09,73
2010-10,92
2010-11,86
2010-12,79
2011-01,86
2011-02,83
2011-03,98
2011-04,100
2011-05,94
2011-06,88
2011-07,92
2011-08,100
2011-09,91
2011-10,90
2011-11,77
2011-12,70
2012-01,75
2012-02,77
2012-03,78
2012-04,72
2012-05,84
2012-06,74
2012-07,71
2012-08,71
2012-09,68
2012-10,61
2012-11,57
2012-12,59
2013-01,64
2013-02,66
2013-03,74
2013-04,79
2013-05,69
2013-06,81
2013-07,76
2013-08,69
2013-09,64
2013-10,64
2013-11,64
2013-12,59
2014-01,65
2014-02,59
2014-03,66
2014-04,69
2014-05,77
2014-06,80
2014-07,85
2014-08,72
2014-09,71
2014-10,79
2014-11,61
2014-12,81
2015-01,76
2015-02,66
2015-03,74
2015-04,78
2015-05,87
2015-06,82
2015-07,79
2015-08,80
2015-09,74
2015-10,69
2015-11,80
2015-12,68
2016-01,68
2016-02,68
2016-03,72
2016-04,74
2016-05,72
2016-06,75
2016-07,86
2016-08,73
2016-09,80
2016-10,68
2016-11,69
2016-12,73
2017-01,74
2017-02,74
2017-03,77
2017-04,80
2017-05,80
2017-06,80
2017-07,87
2017-08,80
2017-09,73
2017-10,72
2017-11,74
2017-12,75
2018-01,78
2018-02,79
2018-03,77
2018-04,84
2018-05,87
2018-06,95
2018-07,96
2018-08,87
2018-09,94
2018-10,75
2018-11,79
2018-12,87
2019-01,91
2019-02,82
2019-03,88
2019-04,87
2019-05,89
2019-06,93
2019-07,87
2019-08,91
2019-09,80
2019-10,74
2019-11,74
2019-12,84
2020-01,81
2020-02,78
2020-03,69
2020-04,72
2020-05,78
2020-06,83
2020-07,84
2020-08,74
2020-09,76
2020-10,69
2020-11,70
2020-12,72
2021-01,72
2021-02,75
2021-03,71
2021-04,71
2021-05,77
2021-06,80
2021-07,79
2021-08,78
2021-09,66
2021-10,70
2021-11,65
2021-12,66
2022-01,70
2022-02,77
2022-03,80
2022-04,79
2022-05,82
2022-06,90
2022-07,89
2022-08,87
2022-09,82
2022-10,73
2022-11,74
2022-12,67
2023-01,74
2023-02,78
2023-03,82
2023-04,84
2023-05,83
2023-06,84
2023-07,83
2023-08,87
2023-09,72
2023-10,73
2023-11,67
2023-12,75
2024-01,73
2024-02,78
2024-03,79
2024-04,75
