Category: All categories

Month,gout: (Ohio)
2004-01,64
2004-02,0
2004-03,71
2004-04,85
2004-05,62
2004-06,0
2004-07,61
2004-08,76
2004-09,47
2004-10,80
2004-11,47
2004-12,63
2005-01,48
2005-02,73
2005-03,75
2005-04,76
2005-05,58
2005-06,95
2005-07,72
2005-08,82
2005-09,53
2005-10,67
2005-11,48
2005-12,66
2006-01,34
2006-02,59
2006-03,66
2006-04,65
2006-05,74
2006-06,65
2006-07,69
2006-08,69
2006-09,74
2006-10,65
2006-11,51
2006-12,67
2007-01,60
2007-02,63
2007-03,75
2007-04,79
2007-05,68
2007-06,57
2007-07,76
2007-08,66
2007-09,74
2007-10,76
2007-11,72
2007-12,44
2008-01,59
2008-02,56
2008-03,47
2008-04,56
2008-05,61
2008-06,78
2008-07,67
2008-08,53
2008-09,57
2008-10,51
2008-11,57
2008-12,54
2009-01,63
2009-02,67
2009-03,65
2009-04,66
2009-05,74
2009-06,85
2009-07,62
2009-08,67
2009-09,65
2009-10,60
2009-11,62
2009-12,70
2010-01,80
2010-02,59
2010-03,68
2010-04,66
2010-05,69
2010-06,87
2010-07,84
2010-08,77
2010-09,73
2010-10,100
2010-11,91
2010-12,93
2011-01,88
2011-02,80
2011-03,93
2011-04,76
2011-05,87
2011-06,87
2011-07,94
2011-08,98
2011-09,83
2011-10,80
2011-11,77
2011-12,70
2012-01,87
2012-02,74
2012-03,81
2012-04,75
2012-05,74
2012-06,85
2012-07,69
2012-08,70
2012-09,73
2012-10,72
2012-11,69
2012-12,64
2013-01,65
2013-02,64
2013-03,68
2013-04,73
2013-05,69
2013-06,72
2013-07,71
2013-08,73
2013-09,67
2013-10,70
2013-11,70
2013-12,60
2014-01,61
2014-02,69
2014-03,70
2014-04,77
2014-05,82
2014-06,80
2014-07,85
2014-08,75
2014-09,90
2014-10,73
2014-11,72
2014-12,81
2015-01,72
2015-02,69
2015-03,77
2015-04,79
2015-05,80
2015-06,78
2015-07,87
2015-08,75
2015-09,79
2015-10,70
2015-11,71
2015-12,70
2016-01,71
2016-02,71
2016-03,70
2016-04,76
2016-05,73
2016-06,84
2016-07,80
2016-08,74
2016-09,64
2016-10,74
2016-11,69
2016-12,69
2017-01,77
2017-02,74
2017-03,77
2017-04,82
2017-05,78
2017-06,87
2017-07,92
2017-08,77
2017-09,74
2017-10,77
2017-11,74
2017-12,74
2018-01,84
2018-02,80
2018-03,86
2018-04,80
2018-05,84
2018-06,91
2018-07,91
2018-08,80
2018-09,81
2018-10,74
2018-11,68
2018-12,76
2019-01,84
2019-02,77
2019-03,80
2019-04,86
2019-05,80
2019-06,82
2019-07,88
2019-08,83
2019-09,78
2019-10,77
2019-11,76
2019-12,80
2020-01,76
2020-02,79
2020-03,66
2020-04,66
2020-05,81
2020-06,79
2020-07,75
2020-08,75
2020-09,68
2020-10,76
2020-11,67
2020-12,80
2021-01,67
2021-02,78
2021-03,72
2021-04,75
2021-05,79
2021-06,81
2021-07,78
2021-08,76
2021-09,75
2021-10,85
2021-11,74
2021-12,70
2022-01,82
2022-02,74
2022-03,87
2022-04,84
2022-05,85
2022-06,97
2022-07,88
2022-08,92
2022-09,78
2022-10,73
2022-11,75
2022-12,81
2023-01,75
2023-02,84
2023-03,90
2023-04,80
2023-05,94
2023-06,89
2023-07,79
2023-08,76
2023-09,73
2023-10,72
2023-11,72
2023-12,80
2024-01,74
2024-02,81
2024-03,83
2024-04,80
