Category: All categories

Month,gout: (Oklahoma)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,100
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,45
2006-07,0
2006-08,36
2006-09,0
2006-10,41
2006-11,0
2006-12,0
2007-01,0
2007-02,34
2007-03,0
2007-04,26
2007-05,39
2007-06,25
2007-07,30
2007-08,0
2007-09,0
2007-10,0
2007-11,37
2007-12,0
2008-01,0
2008-02,26
2008-03,24
2008-04,31
2008-05,21
2008-06,21
2008-07,24
2008-08,25
2008-09,23
2008-10,19
2008-11,20
2008-12,30
2009-01,28
2009-02,26
2009-03,20
2009-04,27
2009-05,29
2009-06,40
2009-07,31
2009-08,27
2009-09,22
2009-10,23
2009-11,16
2009-12,32
2010-01,20
2010-02,0
2010-03,16
2010-04,27
2010-05,35
2010-06,28
2010-07,22
2010-08,22
2010-09,30
2010-10,57
2010-11,34
2010-12,22
2011-01,35
2011-02,38
2011-03,32
2011-04,33
2011-05,39
2011-06,32
2011-07,37
2011-08,40
2011-09,31
2011-10,35
2011-11,32
2011-12,29
2012-01,25
2012-02,39
2012-03,33
2012-04,29
2012-05,25
2012-06,25
2012-07,28
2012-08,31
2012-09,31
2012-10,29
2012-11,22
2012-12,24
2013-01,29
2013-02,28
2013-03,29
2013-04,31
2013-05,33
2013-06,33
2013-07,31
2013-08,29
2013-09,28
2013-10,31
2013-11,23
2013-12,31
2014-01,26
2014-02,28
2014-03,29
2014-04,34
2014-05,34
2014-06,35
2014-07,35
2014-08,26
2014-09,38
2014-10,32
2014-11,31
2014-12,25
2015-01,31
2015-02,24
2015-03,31
2015-04,32
2015-05,28
2015-06,29
2015-07,31
2015-08,31
2015-09,33
2015-10,31
2015-11,29
2015-12,26
2016-01,30
2016-02,29
2016-03,26
2016-04,27
2016-05,36
2016-06,26
2016-07,28
2016-08,33
2016-09,26
2016-10,29
2016-11,33
2016-12,27
2017-01,26
2017-02,33
2017-03,28
2017-04,33
2017-05,29
2017-06,35
2017-07,37
2017-08,32
2017-09,28
2017-10,32
2017-11,32
2017-12,30
2018-01,29
2018-02,28
2018-03,29
2018-04,31
2018-05,34
2018-06,39
2018-07,40
2018-08,31
2018-09,34
2018-10,30
2018-11,25
2018-12,32
2019-01,36
2019-02,31
2019-03,35
2019-04,34
2019-05,32
2019-06,38
2019-07,34
2019-08,35
2019-09,33
2019-10,31
2019-11,33
2019-12,34
2020-01,32
2020-02,32
2020-03,32
2020-04,28
2020-05,31
2020-06,31
2020-07,30
2020-08,31
2020-09,29
2020-10,29
2020-11,32
2020-12,26
2021-01,29
2021-02,34
2021-03,32
2021-04,32
2021-05,30
2021-06,30
2021-07,30
2021-08,35
2021-09,31
2021-10,24
2021-11,25
2021-12,34
2022-01,27
2022-02,33
2022-03,33
2022-04,31
2022-05,36
2022-06,39
2022-07,34
2022-08,41
2022-09,34
2022-10,34
2022-11,34
2022-12,27
2023-01,29
2023-02,32
2023-03,35
2023-04,33
2023-05,34
2023-06,35
2023-07,28
2023-08,27
2023-09,30
2023-10,30
2023-11,28
2023-12,33
2024-01,34
2024-02,30
2024-03,37
2024-04,32
