Category: All categories

Month,gout: (Oregon)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,71
2005-05,69
2005-06,64
2005-07,63
2005-08,0
2005-09,0
2005-10,89
2005-11,53
2005-12,72
2006-01,57
2006-02,60
2006-03,51
2006-04,52
2006-05,72
2006-06,41
2006-07,41
2006-08,87
2006-09,59
2006-10,74
2006-11,56
2006-12,60
2007-01,49
2007-02,54
2007-03,39
2007-04,46
2007-05,41
2007-06,38
2007-07,44
2007-08,57
2007-09,34
2007-10,62
2007-11,67
2007-12,31
2008-01,46
2008-02,50
2008-03,82
2008-04,56
2008-05,75
2008-06,56
2008-07,58
2008-08,43
2008-09,63
2008-10,62
2008-11,50
2008-12,50
2009-01,68
2009-02,60
2009-03,52
2009-04,71
2009-05,53
2009-06,60
2009-07,53
2009-08,74
2009-09,41
2009-10,53
2009-11,62
2009-12,50
2010-01,58
2010-02,44
2010-03,73
2010-04,74
2010-05,69
2010-06,64
2010-07,70
2010-08,77
2010-09,71
2010-10,80
2010-11,71
2010-12,54
2011-01,82
2011-02,75
2011-03,81
2011-04,63
2011-05,77
2011-06,77
2011-07,100
2011-08,81
2011-09,90
2011-10,76
2011-11,77
2011-12,51
2012-01,74
2012-02,70
2012-03,68
2012-04,78
2012-05,58
2012-06,63
2012-07,70
2012-08,65
2012-09,59
2012-10,63
2012-11,55
2012-12,39
2013-01,60
2013-02,57
2013-03,51
2013-04,64
2013-05,76
2013-06,70
2013-07,43
2013-08,39
2013-09,37
2013-10,25
2013-11,31
2013-12,30
2014-01,41
2014-02,42
2014-03,70
2014-04,48
2014-05,48
2014-06,38
2014-07,45
2014-08,38
2014-09,42
2014-10,38
2014-11,37
2014-12,39
2015-01,38
2015-02,36
2015-03,40
2015-04,35
2015-05,47
2015-06,72
2015-07,75
2015-08,79
2015-09,59
2015-10,63
2015-11,56
2015-12,64
2016-01,55
2016-02,61
2016-03,52
2016-04,59
2016-05,65
2016-06,64
2016-07,65
2016-08,67
2016-09,51
2016-10,55
2016-11,67
2016-12,57
2017-01,64
2017-02,55
2017-03,60
2017-04,69
2017-05,65
2017-06,72
2017-07,67
2017-08,60
2017-09,62
2017-10,59
2017-11,65
2017-12,70
2018-01,67
2018-02,64
2018-03,75
2018-04,73
2018-05,71
2018-06,78
2018-07,77
2018-08,75
2018-09,68
2018-10,75
2018-11,68
2018-12,66
2019-01,75
2019-02,68
2019-03,84
2019-04,78
2019-05,71
2019-06,73
2019-07,83
2019-08,71
2019-09,77
2019-10,66
2019-11,68
2019-12,63
2020-01,77
2020-02,64
2020-03,61
2020-04,65
2020-05,66
2020-06,70
2020-07,73
2020-08,71
2020-09,62
2020-10,66
2020-11,73
2020-12,66
2021-01,70
2021-02,75
2021-03,70
2021-04,78
2021-05,76
2021-06,68
2021-07,75
2021-08,67
2021-09,69
2021-10,66
2021-11,69
2021-12,71
2022-01,63
2022-02,68
2022-03,67
2022-04,67
2022-05,75
2022-06,80
2022-07,85
2022-08,91
2022-09,74
2022-10,65
2022-11,65
2022-12,66
2023-01,75
2023-02,80
2023-03,78
2023-04,76
2023-05,80
2023-06,75
2023-07,86
2023-08,72
2023-09,75
2023-10,59
2023-11,70
2023-12,65
2024-01,76
2024-02,70
2024-03,65
2024-04,62
