Category: All categories

Month,gout: (Pennsylvania)
2004-01,0
2004-02,45
2004-03,0
2004-04,79
2004-05,67
2004-06,60
2004-07,50
2004-08,45
2004-09,61
2004-10,56
2004-11,69
2004-12,73
2005-01,74
2005-02,65
2005-03,88
2005-04,61
2005-05,72
2005-06,94
2005-07,81
2005-08,73
2005-09,46
2005-10,61
2005-11,40
2005-12,55
2006-01,64
2006-02,39
2006-03,56
2006-04,67
2006-05,85
2006-06,74
2006-07,83
2006-08,83
2006-09,70
2006-10,71
2006-11,56
2006-12,66
2007-01,68
2007-02,40
2007-03,50
2007-04,50
2007-05,81
2007-06,76
2007-07,75
2007-08,63
2007-09,72
2007-10,65
2007-11,56
2007-12,56
2008-01,65
2008-02,67
2008-03,74
2008-04,54
2008-05,62
2008-06,76
2008-07,68
2008-08,66
2008-09,75
2008-10,56
2008-11,60
2008-12,63
2009-01,55
2009-02,67
2009-03,63
2009-04,79
2009-05,60
2009-06,71
2009-07,91
2009-08,79
2009-09,64
2009-10,62
2009-11,65
2009-12,66
2010-01,54
2010-02,61
2010-03,80
2010-04,84
2010-05,89
2010-06,82
2010-07,76
2010-08,86
2010-09,68
2010-10,92
2010-11,79
2010-12,74
2011-01,93
2011-02,77
2011-03,90
2011-04,84
2011-05,87
2011-06,99
2011-07,99
2011-08,97
2011-09,85
2011-10,74
2011-11,86
2011-12,66
2012-01,84
2012-02,79
2012-03,84
2012-04,73
2012-05,81
2012-06,83
2012-07,70
2012-08,77
2012-09,66
2012-10,62
2012-11,61
2012-12,61
2013-01,71
2013-02,69
2013-03,72
2013-04,74
2013-05,76
2013-06,79
2013-07,79
2013-08,71
2013-09,71
2013-10,63
2013-11,67
2013-12,66
2014-01,64
2014-02,68
2014-03,63
2014-04,74
2014-05,79
2014-06,77
2014-07,88
2014-08,73
2014-09,72
2014-10,77
2014-11,67
2014-12,70
2015-01,76
2015-02,74
2015-03,79
2015-04,78
2015-05,89
2015-06,81
2015-07,89
2015-08,79
2015-09,77
2015-10,70
2015-11,79
2015-12,72
2016-01,71
2016-02,68
2016-03,75
2016-04,73
2016-05,76
2016-06,82
2016-07,79
2016-08,75
2016-09,72
2016-10,70
2016-11,61
2016-12,72
2017-01,76
2017-02,78
2017-03,74
2017-04,86
2017-05,85
2017-06,81
2017-07,89
2017-08,81
2017-09,78
2017-10,71
2017-11,79
2017-12,74
2018-01,79
2018-02,81
2018-03,75
2018-04,85
2018-05,85
2018-06,89
2018-07,91
2018-08,86
2018-09,77
2018-10,77
2018-11,70
2018-12,78
2019-01,86
2019-02,74
2019-03,84
2019-04,86
2019-05,85
2019-06,93
2019-07,98
2019-08,86
2019-09,80
2019-10,83
2019-11,72
2019-12,76
2020-01,85
2020-02,86
2020-03,70
2020-04,75
2020-05,79
2020-06,87
2020-07,83
2020-08,74
2020-09,70
2020-10,75
2020-11,73
2020-12,73
2021-01,73
2021-02,79
2021-03,89
2021-04,76
2021-05,82
2021-06,83
2021-07,83
2021-08,80
2021-09,80
2021-10,74
2021-11,67
2021-12,73
2022-01,78
2022-02,76
2022-03,86
2022-04,85
2022-05,91
2022-06,100
2022-07,99
2022-08,93
2022-09,84
2022-10,85
2022-11,69
2022-12,83
2023-01,81
2023-02,82
2023-03,90
2023-04,87
2023-05,88
2023-06,95
2023-07,96
2023-08,84
2023-09,78
2023-10,79
2023-11,75
2023-12,83
2024-01,79
2024-02,84
2024-03,84
2024-04,86
