Category: All categories

Month,gout: (Rhode Island)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,98
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,56
2008-05,87
2008-06,0
2008-07,74
2008-08,68
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,55
2009-02,76
2009-03,0
2009-04,0
2009-05,0
2009-06,65
2009-07,0
2009-08,61
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,66
2010-02,50
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,71
2010-08,0
2010-09,0
2010-10,72
2010-11,0
2010-12,0
2011-01,51
2011-02,53
2011-03,65
2011-04,39
2011-05,70
2011-06,64
2011-07,38
2011-08,91
2011-09,51
2011-10,68
2011-11,68
2011-12,38
2012-01,48
2012-02,53
2012-03,57
2012-04,54
2012-05,49
2012-06,56
2012-07,38
2012-08,46
2012-09,36
2012-10,39
2012-11,40
2012-12,42
2013-01,30
2013-02,45
2013-03,33
2013-04,67
2013-05,44
2013-06,45
2013-07,58
2013-08,64
2013-09,32
2013-10,26
2013-11,43
2013-12,43
2014-01,23
2014-02,27
2014-03,47
2014-04,27
2014-05,49
2014-06,48
2014-07,54
2014-08,58
2014-09,32
2014-10,29
2014-11,37
2014-12,48
2015-01,46
2015-02,31
2015-03,52
2015-04,62
2015-05,51
2015-06,51
2015-07,51
2015-08,74
2015-09,50
2015-10,23
2015-11,45
2015-12,40
2016-01,61
2016-02,36
2016-03,45
2016-04,50
2016-05,53
2016-06,59
2016-07,59
2016-08,47
2016-09,49
2016-10,45
2016-11,49
2016-12,48
2017-01,40
2017-02,44
2017-03,55
2017-04,58
2017-05,59
2017-06,74
2017-07,48
2017-08,57
2017-09,42
2017-10,55
2017-11,37
2017-12,45
2018-01,57
2018-02,44
2018-03,64
2018-04,48
2018-05,67
2018-06,65
2018-07,63
2018-08,64
2018-09,48
2018-10,53
2018-11,52
2018-12,44
2019-01,60
2019-02,56
2019-03,61
2019-04,50
2019-05,68
2019-06,50
2019-07,66
2019-08,48
2019-09,49
2019-10,49
2019-11,41
2019-12,51
2020-01,51
2020-02,49
2020-03,52
2020-04,51
2020-05,49
2020-06,51
2020-07,61
2020-08,64
2020-09,53
2020-10,50
2020-11,40
2020-12,64
2021-01,61
2021-02,61
2021-03,41
2021-04,42
2021-05,45
2021-06,61
2021-07,57
2021-08,66
2021-09,52
2021-10,38
2021-11,49
2021-12,45
2022-01,65
2022-02,53
2022-03,46
2022-04,59
2022-05,64
2022-06,68
2022-07,66
2022-08,100
2022-09,64
2022-10,52
2022-11,54
2022-12,45
2023-01,57
2023-02,51
2023-03,53
2023-04,87
2023-05,57
2023-06,77
2023-07,62
2023-08,62
2023-09,52
2023-10,49
2023-11,59
2023-12,45
2024-01,67
2024-02,55
2024-03,61
2024-04,54
