Category: All categories

Month,gout: (South Carolina)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,100
2005-09,0
2005-10,72
2005-11,0
2005-12,0
2006-01,0
2006-02,66
2006-03,56
2006-04,0
2006-05,0
2006-06,62
2006-07,0
2006-08,73
2006-09,62
2006-10,64
2006-11,0
2006-12,0
2007-01,55
2007-02,0
2007-03,43
2007-04,49
2007-05,63
2007-06,46
2007-07,58
2007-08,37
2007-09,41
2007-10,51
2007-11,32
2007-12,42
2008-01,31
2008-02,53
2008-03,42
2008-04,29
2008-05,35
2008-06,47
2008-07,41
2008-08,43
2008-09,44
2008-10,44
2008-11,58
2008-12,36
2009-01,24
2009-02,37
2009-03,49
2009-04,37
2009-05,44
2009-06,49
2009-07,32
2009-08,62
2009-09,45
2009-10,39
2009-11,23
2009-12,41
2010-01,55
2010-02,55
2010-03,62
2010-04,43
2010-05,42
2010-06,37
2010-07,53
2010-08,69
2010-09,37
2010-10,74
2010-11,61
2010-12,0
2011-01,59
2011-02,68
2011-03,56
2011-04,51
2011-05,67
2011-06,67
2011-07,68
2011-08,71
2011-09,57
2011-10,59
2011-11,46
2011-12,42
2012-01,54
2012-02,53
2012-03,56
2012-04,55
2012-05,53
2012-06,58
2012-07,51
2012-08,47
2012-09,52
2012-10,48
2012-11,41
2012-12,46
2013-01,48
2013-02,42
2013-03,50
2013-04,44
2013-05,53
2013-06,48
2013-07,50
2013-08,50
2013-09,43
2013-10,49
2013-11,46
2013-12,41
2014-01,52
2014-02,43
2014-03,47
2014-04,54
2014-05,56
2014-06,48
2014-07,50
2014-08,56
2014-09,58
2014-10,51
2014-11,45
2014-12,50
2015-01,51
2015-02,41
2015-03,60
2015-04,55
2015-05,50
2015-06,52
2015-07,53
2015-08,53
2015-09,57
2015-10,51
2015-11,58
2015-12,57
2016-01,44
2016-02,51
2016-03,56
2016-04,51
2016-05,52
2016-06,65
2016-07,51
2016-08,50
2016-09,54
2016-10,46
2016-11,55
2016-12,52
2017-01,53
2017-02,50
2017-03,51
2017-04,54
2017-05,53
2017-06,63
2017-07,51
2017-08,54
2017-09,57
2017-10,55
2017-11,56
2017-12,46
2018-01,56
2018-02,59
2018-03,58
2018-04,60
2018-05,68
2018-06,62
2018-07,67
2018-08,59
2018-09,59
2018-10,53
2018-11,44
2018-12,63
2019-01,56
2019-02,64
2019-03,55
2019-04,54
2019-05,60
2019-06,60
2019-07,57
2019-08,54
2019-09,53
2019-10,54
2019-11,53
2019-12,55
2020-01,61
2020-02,59
2020-03,52
2020-04,47
2020-05,59
2020-06,58
2020-07,57
2020-08,55
2020-09,51
2020-10,54
2020-11,50
2020-12,55
2021-01,53
2021-02,55
2021-03,56
2021-04,51
2021-05,56
2021-06,58
2021-07,58
2021-08,53
2021-09,50
2021-10,45
2021-11,52
2021-12,51
2022-01,62
2022-02,61
2022-03,61
2022-04,61
2022-05,58
2022-06,61
2022-07,73
2022-08,68
2022-09,56
2022-10,61
2022-11,50
2022-12,56
2023-01,57
2023-02,67
2023-03,58
2023-04,61
2023-05,69
2023-06,70
2023-07,58
2023-08,56
2023-09,47
2023-10,59
2023-11,52
2023-12,60
2024-01,58
2024-02,48
2024-03,52
2024-04,53
