Category: All categories

Month,gout: (Tennessee)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,81
2005-05,100
2005-06,0
2005-07,54
2005-08,0
2005-09,64
2005-10,51
2005-11,0
2005-12,44
2006-01,36
2006-02,0
2006-03,51
2006-04,34
2006-05,43
2006-06,43
2006-07,0
2006-08,44
2006-09,45
2006-10,29
2006-11,30
2006-12,40
2007-01,40
2007-02,44
2007-03,51
2007-04,45
2007-05,42
2007-06,55
2007-07,44
2007-08,49
2007-09,56
2007-10,71
2007-11,49
2007-12,46
2008-01,48
2008-02,45
2008-03,57
2008-04,31
2008-05,73
2008-06,53
2008-07,47
2008-08,49
2008-09,47
2008-10,40
2008-11,39
2008-12,35
2009-01,46
2009-02,52
2009-03,54
2009-04,47
2009-05,52
2009-06,56
2009-07,38
2009-08,45
2009-09,45
2009-10,57
2009-11,46
2009-12,47
2010-01,52
2010-02,49
2010-03,55
2010-04,54
2010-05,45
2010-06,69
2010-07,60
2010-08,59
2010-09,42
2010-10,74
2010-11,50
2010-12,54
2011-01,59
2011-02,57
2011-03,62
2011-04,66
2011-05,67
2011-06,64
2011-07,62
2011-08,74
2011-09,58
2011-10,58
2011-11,53
2011-12,57
2012-01,57
2012-02,60
2012-03,53
2012-04,57
2012-05,52
2012-06,52
2012-07,52
2012-08,52
2012-09,50
2012-10,50
2012-11,43
2012-12,49
2013-01,46
2013-02,46
2013-03,48
2013-04,55
2013-05,49
2013-06,53
2013-07,45
2013-08,59
2013-09,47
2013-10,46
2013-11,42
2013-12,43
2014-01,48
2014-02,53
2014-03,51
2014-04,63
2014-05,60
2014-06,52
2014-07,62
2014-08,52
2014-09,50
2014-10,55
2014-11,51
2014-12,52
2015-01,59
2015-02,48
2015-03,56
2015-04,57
2015-05,61
2015-06,64
2015-07,60
2015-08,53
2015-09,52
2015-10,46
2015-11,59
2015-12,54
2016-01,52
2016-02,50
2016-03,52
2016-04,56
2016-05,53
2016-06,56
2016-07,53
2016-08,56
2016-09,52
2016-10,58
2016-11,53
2016-12,54
2017-01,58
2017-02,57
2017-03,57
2017-04,59
2017-05,63
2017-06,60
2017-07,62
2017-08,53
2017-09,57
2017-10,58
2017-11,58
2017-12,54
2018-01,58
2018-02,50
2018-03,61
2018-04,60
2018-05,67
2018-06,63
2018-07,69
2018-08,56
2018-09,64
2018-10,61
2018-11,54
2018-12,58
2019-01,60
2019-02,61
2019-03,60
2019-04,60
2019-05,61
2019-06,64
2019-07,63
2019-08,57
2019-09,55
2019-10,58
2019-11,53
2019-12,61
2020-01,57
2020-02,54
2020-03,50
2020-04,57
2020-05,60
2020-06,56
2020-07,58
2020-08,52
2020-09,51
2020-10,59
2020-11,52
2020-12,49
2021-01,49
2021-02,48
2021-03,54
2021-04,53
2021-05,57
2021-06,53
2021-07,54
2021-08,56
2021-09,53
2021-10,57
2021-11,54
2021-12,52
2022-01,57
2022-02,61
2022-03,57
2022-04,54
2022-05,56
2022-06,65
2022-07,62
2022-08,59
2022-09,62
2022-10,60
2022-11,53
2022-12,59
2023-01,59
2023-02,60
2023-03,61
2023-04,62
2023-05,67
2023-06,58
2023-07,57
2023-08,58
2023-09,52
2023-10,51
2023-11,56
2023-12,56
2024-01,57
2024-02,51
2024-03,58
2024-04,53
