Category: All categories

Month,gout: (Texas)
2004-01,61
2004-02,51
2004-03,69
2004-04,76
2004-05,100
2004-06,74
2004-07,71
2004-08,68
2004-09,68
2004-10,82
2004-11,67
2004-12,68
2005-01,69
2005-02,53
2005-03,78
2005-04,75
2005-05,62
2005-06,70
2005-07,79
2005-08,79
2005-09,60
2005-10,43
2005-11,60
2005-12,52
2006-01,69
2006-02,60
2006-03,67
2006-04,63
2006-05,68
2006-06,70
2006-07,67
2006-08,77
2006-09,69
2006-10,51
2006-11,60
2006-12,59
2007-01,50
2007-02,61
2007-03,60
2007-04,64
2007-05,73
2007-06,64
2007-07,72
2007-08,65
2007-09,58
2007-10,60
2007-11,64
2007-12,56
2008-01,66
2008-02,51
2008-03,61
2008-04,59
2008-05,58
2008-06,61
2008-07,63
2008-08,58
2008-09,55
2008-10,63
2008-11,50
2008-12,56
2009-01,66
2009-02,64
2009-03,63
2009-04,64
2009-05,69
2009-06,62
2009-07,72
2009-08,70
2009-09,60
2009-10,62
2009-11,63
2009-12,60
2010-01,64
2010-02,66
2010-03,67
2010-04,69
2010-05,73
2010-06,75
2010-07,64
2010-08,70
2010-09,66
2010-10,87
2010-11,77
2010-12,65
2011-01,83
2011-02,80
2011-03,80
2011-04,83
2011-05,76
2011-06,81
2011-07,74
2011-08,91
2011-09,83
2011-10,88
2011-11,76
2011-12,58
2012-01,74
2012-02,64
2012-03,67
2012-04,70
2012-05,70
2012-06,61
2012-07,65
2012-08,61
2012-09,59
2012-10,61
2012-11,59
2012-12,56
2013-01,56
2013-02,54
2013-03,65
2013-04,65
2013-05,61
2013-06,63
2013-07,65
2013-08,66
2013-09,67
2013-10,61
2013-11,56
2013-12,52
2014-01,62
2014-02,57
2014-03,60
2014-04,68
2014-05,67
2014-06,72
2014-07,72
2014-08,62
2014-09,66
2014-10,73
2014-11,61
2014-12,68
2015-01,61
2015-02,63
2015-03,71
2015-04,64
2015-05,63
2015-06,72
2015-07,71
2015-08,67
2015-09,66
2015-10,69
2015-11,68
2015-12,69
2016-01,61
2016-02,60
2016-03,64
2016-04,66
2016-05,65
2016-06,69
2016-07,66
2016-08,67
2016-09,66
2016-10,68
2016-11,63
2016-12,61
2017-01,67
2017-02,69
2017-03,70
2017-04,74
2017-05,72
2017-06,75
2017-07,78
2017-08,72
2017-09,69
2017-10,70
2017-11,74
2017-12,68
2018-01,74
2018-02,71
2018-03,77
2018-04,83
2018-05,79
2018-06,81
2018-07,81
2018-08,80
2018-09,77
2018-10,73
2018-11,68
2018-12,71
2019-01,81
2019-02,79
2019-03,80
2019-04,77
2019-05,76
2019-06,81
2019-07,80
2019-08,77
2019-09,76
2019-10,69
2019-11,72
2019-12,76
2020-01,76
2020-02,76
2020-03,70
2020-04,67
2020-05,69
2020-06,74
2020-07,73
2020-08,68
2020-09,67
2020-10,67
2020-11,66
2020-12,71
2021-01,71
2021-02,68
2021-03,73
2021-04,71
2021-05,72
2021-06,72
2021-07,75
2021-08,69
2021-09,67
2021-10,76
2021-11,68
2021-12,69
2022-01,69
2022-02,75
2022-03,77
2022-04,77
2022-05,76
2022-06,78
2022-07,79
2022-08,75
2022-09,77
2022-10,72
2022-11,67
2022-12,70
2023-01,74
2023-02,73
2023-03,76
2023-04,79
2023-05,76
2023-06,79
2023-07,77
2023-08,75
2023-09,68
2023-10,71
2023-11,72
2023-12,69
2024-01,70
2024-02,69
2024-03,72
2024-04,72
