Category: All categories

Month,gout: (Utah)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,100
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,51
2007-04,0
2007-05,0
2007-06,49
2007-07,52
2007-08,0
2007-09,0
2007-10,56
2007-11,0
2007-12,46
2008-01,50
2008-02,38
2008-03,55
2008-04,50
2008-05,43
2008-06,57
2008-07,0
2008-08,0
2008-09,41
2008-10,35
2008-11,54
2008-12,35
2009-01,0
2009-02,78
2009-03,55
2009-04,55
2009-05,46
2009-06,57
2009-07,61
2009-08,50
2009-09,0
2009-10,44
2009-11,39
2009-12,63
2010-01,49
2010-02,50
2010-03,54
2010-04,60
2010-05,59
2010-06,82
2010-07,53
2010-08,43
2010-09,42
2010-10,58
2010-11,86
2010-12,68
2011-01,55
2011-02,63
2011-03,62
2011-04,81
2011-05,78
2011-06,68
2011-07,66
2011-08,54
2011-09,63
2011-10,57
2011-11,52
2011-12,49
2012-01,69
2012-02,49
2012-03,45
2012-04,48
2012-05,57
2012-06,47
2012-07,47
2012-08,57
2012-09,52
2012-10,50
2012-11,40
2012-12,53
2013-01,45
2013-02,38
2013-03,48
2013-04,49
2013-05,51
2013-06,49
2013-07,55
2013-08,47
2013-09,52
2013-10,51
2013-11,45
2013-12,53
2014-01,50
2014-02,46
2014-03,49
2014-04,62
2014-05,55
2014-06,49
2014-07,61
2014-08,65
2014-09,58
2014-10,58
2014-11,52
2014-12,48
2015-01,51
2015-02,48
2015-03,45
2015-04,50
2015-05,62
2015-06,65
2015-07,67
2015-08,67
2015-09,44
2015-10,42
2015-11,49
2015-12,47
2016-01,46
2016-02,49
2016-03,50
2016-04,55
2016-05,48
2016-06,51
2016-07,51
2016-08,52
2016-09,43
2016-10,44
2016-11,53
2016-12,54
2017-01,54
2017-02,62
2017-03,55
2017-04,60
2017-05,53
2017-06,55
2017-07,68
2017-08,56
2017-09,50
2017-10,57
2017-11,57
2017-12,54
2018-01,51
2018-02,58
2018-03,67
2018-04,56
2018-05,69
2018-06,61
2018-07,70
2018-08,67
2018-09,53
2018-10,54
2018-11,56
2018-12,67
2019-01,72
2019-02,55
2019-03,59
2019-04,62
2019-05,66
2019-06,62
2019-07,67
2019-08,59
2019-09,57
2019-10,59
2019-11,55
2019-12,66
2020-01,61
2020-02,61
2020-03,49
2020-04,49
2020-05,60
2020-06,61
2020-07,62
2020-08,53
2020-09,52
2020-10,39
2020-11,40
2020-12,52
2021-01,53
2021-02,58
2021-03,52
2021-04,54
2021-05,61
2021-06,77
2021-07,66
2021-08,66
2021-09,65
2021-10,61
2021-11,56
2021-12,54
2022-01,56
2022-02,55
2022-03,62
2022-04,70
2022-05,56
2022-06,65
2022-07,67
2022-08,71
2022-09,67
2022-10,58
2022-11,52
2022-12,59
2023-01,56
2023-02,66
2023-03,69
2023-04,68
2023-05,63
2023-06,67
2023-07,71
2023-08,59
2023-09,51
2023-10,57
2023-11,52
2023-12,57
2024-01,57
2024-02,60
2024-03,60
2024-04,62
