Category: All categories

Month,gout: (Virginia)
2004-01,0
2004-02,0
2004-03,85
2004-04,49
2004-05,76
2004-06,48
2004-07,44
2004-08,51
2004-09,40
2004-10,39
2004-11,46
2004-12,48
2005-01,59
2005-02,68
2005-03,66
2005-04,62
2005-05,61
2005-06,80
2005-07,84
2005-08,60
2005-09,61
2005-10,42
2005-11,46
2005-12,51
2006-01,51
2006-02,46
2006-03,61
2006-04,73
2006-05,78
2006-06,60
2006-07,82
2006-08,63
2006-09,45
2006-10,46
2006-11,72
2006-12,50
2007-01,67
2007-02,39
2007-03,52
2007-04,52
2007-05,54
2007-06,64
2007-07,57
2007-08,61
2007-09,59
2007-10,68
2007-11,48
2007-12,39
2008-01,55
2008-02,51
2008-03,51
2008-04,42
2008-05,41
2008-06,46
2008-07,46
2008-08,37
2008-09,34
2008-10,34
2008-11,31
2008-12,42
2009-01,39
2009-02,39
2009-03,32
2009-04,39
2009-05,41
2009-06,35
2009-07,38
2009-08,34
2009-09,27
2009-10,28
2009-11,28
2009-12,31
2010-01,30
2010-02,34
2010-03,34
2010-04,30
2010-05,33
2010-06,32
2010-07,42
2010-08,40
2010-09,34
2010-10,55
2010-11,50
2010-12,47
2011-01,84
2011-02,62
2011-03,100
2011-04,80
2011-05,83
2011-06,67
2011-07,84
2011-08,84
2011-09,80
2011-10,71
2011-11,74
2011-12,63
2012-01,71
2012-02,64
2012-03,71
2012-04,75
2012-05,69
2012-06,65
2012-07,68
2012-08,69
2012-09,56
2012-10,58
2012-11,56
2012-12,51
2013-01,66
2013-02,53
2013-03,60
2013-04,68
2013-05,62
2013-06,65
2013-07,72
2013-08,65
2013-09,60
2013-10,61
2013-11,58
2013-12,64
2014-01,64
2014-02,58
2014-03,58
2014-04,59
2014-05,59
2014-06,65
2014-07,47
2014-08,45
2014-09,45
2014-10,46
2014-11,36
2014-12,40
2015-01,34
2015-02,31
2015-03,38
2015-04,40
2015-05,39
2015-06,42
2015-07,71
2015-08,74
2015-09,66
2015-10,60
2015-11,76
2015-12,68
2016-01,67
2016-02,66
2016-03,64
2016-04,67
2016-05,64
2016-06,72
2016-07,68
2016-08,70
2016-09,67
2016-10,66
2016-11,63
2016-12,65
2017-01,64
2017-02,65
2017-03,66
2017-04,78
2017-05,64
2017-06,79
2017-07,71
2017-08,75
2017-09,69
2017-10,64
2017-11,70
2017-12,71
2018-01,77
2018-02,74
2018-03,73
2018-04,78
2018-05,79
2018-06,82
2018-07,83
2018-08,77
2018-09,71
2018-10,64
2018-11,69
2018-12,69
2019-01,85
2019-02,77
2019-03,80
2019-04,70
2019-05,79
2019-06,76
2019-07,80
2019-08,76
2019-09,75
2019-10,73
2019-11,73
2019-12,66
2020-01,75
2020-02,80
2020-03,65
2020-04,70
2020-05,66
2020-06,77
2020-07,72
2020-08,70
2020-09,66
2020-10,66
2020-11,67
2020-12,69
2021-01,71
2021-02,78
2021-03,76
2021-04,75
2021-05,72
2021-06,79
2021-07,70
2021-08,74
2021-09,74
2021-10,72
2021-11,68
2021-12,72
2022-01,79
2022-02,79
2022-03,75
2022-04,72
2022-05,73
2022-06,83
2022-07,84
2022-08,78
2022-09,74
2022-10,72
2022-11,66
2022-12,65
2023-01,75
2023-02,82
2023-03,75
2023-04,73
2023-05,75
2023-06,77
2023-07,81
2023-08,69
2023-09,73
2023-10,64
2023-11,65
2023-12,70
2024-01,67
2024-02,76
2024-03,73
2024-04,74
