Category: All categories

Month,gout: (Vermont)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,100
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,74
2009-11,0
2009-12,60
2010-01,0
2010-02,0
2010-03,32
2010-04,29
2010-05,45
2010-06,0
2010-07,0
2010-08,43
2010-09,31
2010-10,64
2010-11,61
2010-12,42
2011-01,0
2011-02,45
2011-03,34
2011-04,39
2011-05,44
2011-06,45
2011-07,76
2011-08,67
2011-09,0
2011-10,47
2011-11,48
2011-12,57
2012-01,36
2012-02,36
2012-03,49
2012-04,32
2012-05,55
2012-06,35
2012-07,0
2012-08,0
2012-09,0
2012-10,42
2012-11,0
2012-12,39
2013-01,40
2013-02,35
2013-03,26
2013-04,29
2013-05,29
2013-06,33
2013-07,28
2013-08,45
2013-09,0
2013-10,0
2013-11,25
2013-12,28
2014-01,39
2014-02,0
2014-03,28
2014-04,0
2014-05,36
2014-06,43
2014-07,60
2014-08,30
2014-09,36
2014-10,47
2014-11,0
2014-12,49
2015-01,29
2015-02,29
2015-03,25
2015-04,51
2015-05,40
2015-06,45
2015-07,53
2015-08,38
2015-09,27
2015-10,33
2015-11,0
2015-12,0
2016-01,23
2016-02,48
2016-03,40
2016-04,47
2016-05,51
2016-06,35
2016-07,43
2016-08,33
2016-09,31
2016-10,28
2016-11,32
2016-12,44
2017-01,43
2017-02,30
2017-03,20
2017-04,43
2017-05,39
2017-06,57
2017-07,51
2017-08,52
2017-09,47
2017-10,48
2017-11,24
2017-12,46
2018-01,39
2018-02,22
2018-03,43
2018-04,51
2018-05,41
2018-06,40
2018-07,55
2018-08,47
2018-09,44
2018-10,26
2018-11,40
2018-12,45
2019-01,41
2019-02,22
2019-03,41
2019-04,37
2019-05,29
2019-06,51
2019-07,39
2019-08,64
2019-09,33
2019-10,40
2019-11,26
2019-12,28
2020-01,27
2020-02,43
2020-03,39
2020-04,44
2020-05,33
2020-06,50
2020-07,40
2020-08,46
2020-09,44
2020-10,27
2020-11,25
2020-12,30
2021-01,36
2021-02,47
2021-03,42
2021-04,38
2021-05,61
2021-06,48
2021-07,62
2021-08,41
2021-09,41
2021-10,36
2021-11,35
2021-12,33
2022-01,29
2022-02,37
2022-03,44
2022-04,50
2022-05,53
2022-06,50
2022-07,50
2022-08,48
2022-09,31
2022-10,38
2022-11,34
2022-12,26
2023-01,45
2023-02,53
2023-03,34
2023-04,31
2023-05,37
2023-06,50
2023-07,37
2023-08,44
2023-09,51
2023-10,44
2023-11,39
2023-12,35
2024-01,42
2024-02,41
2024-03,49
2024-04,33
