Category: All categories

Month,gout: (Washington)
2004-01,0
2004-02,0
2004-03,0
2004-04,74
2004-05,65
2004-06,53
2004-07,0
2004-08,46
2004-09,54
2004-10,73
2004-11,60
2004-12,64
2005-01,47
2005-02,44
2005-03,75
2005-04,47
2005-05,74
2005-06,70
2005-07,58
2005-08,54
2005-09,63
2005-10,51
2005-11,64
2005-12,64
2006-01,77
2006-02,45
2006-03,54
2006-04,53
2006-05,77
2006-06,46
2006-07,86
2006-08,60
2006-09,64
2006-10,50
2006-11,60
2006-12,57
2007-01,44
2007-02,44
2007-03,59
2007-04,55
2007-05,35
2007-06,65
2007-07,84
2007-08,62
2007-09,64
2007-10,70
2007-11,48
2007-12,52
2008-01,69
2008-02,57
2008-03,69
2008-04,49
2008-05,69
2008-06,53
2008-07,66
2008-08,62
2008-09,51
2008-10,68
2008-11,54
2008-12,57
2009-01,63
2009-02,69
2009-03,54
2009-04,61
2009-05,67
2009-06,72
2009-07,79
2009-08,82
2009-09,57
2009-10,65
2009-11,62
2009-12,62
2010-01,79
2010-02,74
2010-03,69
2010-04,58
2010-05,71
2010-06,65
2010-07,88
2010-08,83
2010-09,76
2010-10,100
2010-11,99
2010-12,75
2011-01,84
2011-02,90
2011-03,86
2011-04,94
2011-05,93
2011-06,98
2011-07,94
2011-08,98
2011-09,80
2011-10,97
2011-11,81
2011-12,83
2012-01,86
2012-02,87
2012-03,87
2012-04,88
2012-05,85
2012-06,79
2012-07,79
2012-08,83
2012-09,64
2012-10,78
2012-11,62
2012-12,75
2013-01,65
2013-02,91
2013-03,81
2013-04,71
2013-05,87
2013-06,83
2013-07,80
2013-08,75
2013-09,73
2013-10,71
2013-11,57
2013-12,60
2014-01,65
2014-02,70
2014-03,68
2014-04,79
2014-05,72
2014-06,68
2014-07,82
2014-08,82
2014-09,82
2014-10,88
2014-11,70
2014-12,81
2015-01,76
2015-02,91
2015-03,81
2015-04,83
2015-05,82
2015-06,80
2015-07,84
2015-08,83
2015-09,70
2015-10,71
2015-11,68
2015-12,73
2016-01,74
2016-02,73
2016-03,80
2016-04,67
2016-05,80
2016-06,76
2016-07,89
2016-08,76
2016-09,70
2016-10,66
2016-11,70
2016-12,73
2017-01,80
2017-02,72
2017-03,80
2017-04,86
2017-05,76
2017-06,93
2017-07,89
2017-08,82
2017-09,77
2017-10,74
2017-11,74
2017-12,77
2018-01,81
2018-02,76
2018-03,87
2018-04,87
2018-05,85
2018-06,87
2018-07,100
2018-08,83
2018-09,83
2018-10,74
2018-11,87
2018-12,83
2019-01,89
2019-02,84
2019-03,88
2019-04,90
2019-05,91
2019-06,95
2019-07,99
2019-08,94
2019-09,82
2019-10,77
2019-11,79
2019-12,88
2020-01,84
2020-02,87
2020-03,68
2020-04,79
2020-05,80
2020-06,75
2020-07,84
2020-08,85
2020-09,75
2020-10,74
2020-11,73
2020-12,72
2021-01,83
2021-02,79
2021-03,81
2021-04,86
2021-05,83
2021-06,80
2021-07,89
2021-08,76
2021-09,76
2021-10,66
2021-11,70
2021-12,70
2022-01,83
2022-02,85
2022-03,88
2022-04,84
2022-05,81
2022-06,85
2022-07,91
2022-08,91
2022-09,80
2022-10,77
2022-11,72
2022-12,74
2023-01,79
2023-02,75
2023-03,86
2023-04,86
2023-05,93
2023-06,90
2023-07,94
2023-08,90
2023-09,75
2023-10,69
2023-11,80
2023-12,88
2024-01,83
2024-02,89
2024-03,87
2024-04,79
