Category: All categories

Month,gout: (Wisconsin)
2004-01,100
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,67
2004-08,0
2004-09,46
2004-10,0
2004-11,55
2004-12,69
2005-01,0
2005-02,0
2005-03,39
2005-04,62
2005-05,0
2005-06,41
2005-07,0
2005-08,49
2005-09,30
2005-10,0
2005-11,26
2005-12,0
2006-01,30
2006-02,26
2006-03,30
2006-04,29
2006-05,32
2006-06,38
2006-07,34
2006-08,47
2006-09,38
2006-10,40
2006-11,51
2006-12,26
2007-01,49
2007-02,40
2007-03,32
2007-04,33
2007-05,48
2007-06,45
2007-07,48
2007-08,31
2007-09,28
2007-10,40
2007-11,30
2007-12,23
2008-01,25
2008-02,26
2008-03,32
2008-04,29
2008-05,35
2008-06,37
2008-07,40
2008-08,41
2008-09,43
2008-10,22
2008-11,44
2008-12,35
2009-01,34
2009-02,28
2009-03,29
2009-04,36
2009-05,35
2009-06,41
2009-07,50
2009-08,31
2009-09,47
2009-10,35
2009-11,41
2009-12,34
2010-01,41
2010-02,40
2010-03,36
2010-04,36
2010-05,39
2010-06,46
2010-07,42
2010-08,47
2010-09,38
2010-10,48
2010-11,44
2010-12,51
2011-01,46
2011-02,46
2011-03,44
2011-04,51
2011-05,53
2011-06,46
2011-07,50
2011-08,51
2011-09,40
2011-10,44
2011-11,42
2011-12,39
2012-01,40
2012-02,37
2012-03,40
2012-04,34
2012-05,43
2012-06,46
2012-07,38
2012-08,42
2012-09,34
2012-10,34
2012-11,34
2012-12,32
2013-01,38
2013-02,40
2013-03,43
2013-04,44
2013-05,38
2013-06,44
2013-07,41
2013-08,34
2013-09,34
2013-10,31
2013-11,35
2013-12,30
2014-01,36
2014-02,35
2014-03,42
2014-04,44
2014-05,40
2014-06,43
2014-07,53
2014-08,45
2014-09,45
2014-10,44
2014-11,37
2014-12,42
2015-01,34
2015-02,42
2015-03,41
2015-04,41
2015-05,42
2015-06,49
2015-07,50
2015-08,41
2015-09,38
2015-10,35
2015-11,36
2015-12,41
2016-01,39
2016-02,38
2016-03,40
2016-04,40
2016-05,43
2016-06,43
2016-07,45
2016-08,42
2016-09,42
2016-10,41
2016-11,38
2016-12,37
2017-01,38
2017-02,45
2017-03,40
2017-04,41
2017-05,39
2017-06,47
2017-07,49
2017-08,41
2017-09,43
2017-10,42
2017-11,43
2017-12,39
2018-01,43
2018-02,43
2018-03,39
2018-04,41
2018-05,43
2018-06,50
2018-07,58
2018-08,53
2018-09,49
2018-10,36
2018-11,41
2018-12,46
2019-01,41
2019-02,42
2019-03,47
2019-04,50
2019-05,47
2019-06,51
2019-07,51
2019-08,48
2019-09,42
2019-10,43
2019-11,44
2019-12,42
2020-01,45
2020-02,45
2020-03,42
2020-04,33
2020-05,43
2020-06,45
2020-07,45
2020-08,44
2020-09,35
2020-10,37
2020-11,43
2020-12,43
2021-01,40
2021-02,46
2021-03,46
2021-04,44
2021-05,46
2021-06,50
2021-07,52
2021-08,48
2021-09,45
2021-10,45
2021-11,40
2021-12,43
2022-01,46
2022-02,42
2022-03,50
2022-04,45
2022-05,53
2022-06,51
2022-07,50
2022-08,57
2022-09,47
2022-10,42
2022-11,45
2022-12,44
2023-01,43
2023-02,51
2023-03,47
2023-04,49
2023-05,49
2023-06,56
2023-07,49
2023-08,49
2023-09,45
2023-10,45
2023-11,43
2023-12,43
2024-01,46
2024-02,47
2024-03,50
2024-04,44
