Category: All categories

Month,gout: (West Virginia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,100
2007-11,0
2007-12,0
2008-01,0
2008-02,86
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,76
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,58
2011-02,43
2011-03,51
2011-04,59
2011-05,57
2011-06,71
2011-07,42
2011-08,57
2011-09,52
2011-10,57
2011-11,33
2011-12,37
2012-01,56
2012-02,62
2012-03,48
2012-04,53
2012-05,69
2012-06,35
2012-07,59
2012-08,58
2012-09,56
2012-10,32
2012-11,36
2012-12,36
2013-01,38
2013-02,42
2013-03,50
2013-04,52
2013-05,53
2013-06,45
2013-07,47
2013-08,48
2013-09,29
2013-10,31
2013-11,38
2013-12,40
2014-01,37
2014-02,33
2014-03,28
2014-04,41
2014-05,61
2014-06,60
2014-07,50
2014-08,46
2014-09,47
2014-10,48
2014-11,55
2014-12,51
2015-01,55
2015-02,36
2015-03,43
2015-04,42
2015-05,58
2015-06,46
2015-07,50
2015-08,43
2015-09,41
2015-10,39
2015-11,44
2015-12,40
2016-01,48
2016-02,44
2016-03,39
2016-04,46
2016-05,61
2016-06,53
2016-07,37
2016-08,47
2016-09,52
2016-10,40
2016-11,44
2016-12,48
2017-01,53
2017-02,56
2017-03,65
2017-04,71
2017-05,54
2017-06,51
2017-07,49
2017-08,57
2017-09,46
2017-10,51
2017-11,48
2017-12,48
2018-01,55
2018-02,56
2018-03,52
2018-04,58
2018-05,76
2018-06,58
2018-07,62
2018-08,51
2018-09,59
2018-10,46
2018-11,53
2018-12,46
2019-01,49
2019-02,44
2019-03,50
2019-04,49
2019-05,52
2019-06,58
2019-07,65
2019-08,59
2019-09,51
2019-10,56
2019-11,47
2019-12,43
2020-01,49
2020-02,44
2020-03,47
2020-04,49
2020-05,51
2020-06,53
2020-07,54
2020-08,50
2020-09,47
2020-10,37
2020-11,43
2020-12,47
2021-01,52
2021-02,52
2021-03,42
2021-04,54
2021-05,59
2021-06,50
2021-07,56
2021-08,48
2021-09,46
2021-10,48
2021-11,42
2021-12,51
2022-01,55
2022-02,68
2022-03,56
2022-04,61
2022-05,58
2022-06,54
2022-07,63
2022-08,54
2022-09,60
2022-10,55
2022-11,50
2022-12,53
2023-01,64
2023-02,63
2023-03,55
2023-04,54
2023-05,64
2023-06,63
2023-07,44
2023-08,55
2023-09,55
2023-10,47
2023-11,39
2023-12,44
2024-01,47
2024-02,49
2024-03,48
2024-04,57
