Category: All categories

Month,gout: (Wyoming)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,73
2011-11,0
2011-12,75
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,63
2012-11,0
2012-12,63
2013-01,61
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,75
2013-08,76
2013-09,0
2013-10,72
2013-11,84
2013-12,0
2014-01,55
2014-02,78
2014-03,57
2014-04,62
2014-05,62
2014-06,0
2014-07,76
2014-08,57
2014-09,0
2014-10,84
2014-11,0
2014-12,58
2015-01,0
2015-02,56
2015-03,75
2015-04,0
2015-05,56
2015-06,0
2015-07,56
2015-08,70
2015-09,62
2015-10,43
2015-11,0
2015-12,0
2016-01,38
2016-02,73
2016-03,45
2016-04,61
2016-05,60
2016-06,69
2016-07,50
2016-08,56
2016-09,63
2016-10,54
2016-11,69
2016-12,0
2017-01,76
2017-02,45
2017-03,58
2017-04,92
2017-05,55
2017-06,57
2017-07,62
2017-08,73
2017-09,80
2017-10,56
2017-11,70
2017-12,45
2018-01,69
2018-02,40
2018-03,61
2018-04,68
2018-05,67
2018-06,60
2018-07,88
2018-08,62
2018-09,68
2018-10,47
2018-11,46
2018-12,63
2019-01,73
2019-02,56
2019-03,79
2019-04,99
2019-05,56
2019-06,51
2019-07,79
2019-08,55
2019-09,35
2019-10,62
2019-11,70
2019-12,63
2020-01,76
2020-02,79
2020-03,49
2020-04,68
2020-05,79
2020-06,55
2020-07,75
2020-08,51
2020-09,48
2020-10,64
2020-11,50
2020-12,90
2021-01,75
2021-02,67
2021-03,57
2021-04,81
2021-05,49
2021-06,55
2021-07,67
2021-08,56
2021-09,0
2021-10,34
2021-11,73
2021-12,44
2022-01,60
2022-02,69
2022-03,86
2022-04,68
2022-05,85
2022-06,67
2022-07,56
2022-08,100
2022-09,62
2022-10,64
2022-11,47
2022-12,45
2023-01,48
2023-02,50
2023-03,77
2023-04,74
2023-05,78
2023-06,52
2023-07,72
2023-08,51
2023-09,57
2023-10,67
2023-11,70
2023-12,60
2024-01,92
2024-02,64
2024-03,43
2024-04,70
