Category: All categories

Month,gout: (Australia)
2014-01,71
2014-02,61
2014-03,55
2014-04,53
2014-05,56
2014-06,55
2014-07,54
2014-08,53
2014-09,65
2014-10,71
2014-11,69
2014-12,68
2015-01,69
2015-02,65
2015-03,65
2015-04,58
2015-05,51
2015-06,54
2015-07,59
2015-08,61
2015-09,62
2015-10,67
2015-11,67
2015-12,68
2016-01,67
2016-02,65
2016-03,60
2016-04,62
2016-05,60
2016-06,56
2016-07,56
2016-08,58
2016-09,64
2016-10,64
2016-11,67
2016-12,69
2017-01,78
2017-02,66
2017-03,68
2017-04,65
2017-05,57
2017-06,58
2017-07,65
2017-08,67
2017-09,66
2017-10,75
2017-11,78
2017-12,79
2018-01,87
2018-02,69
2018-03,68
2018-04,66
2018-05,59
2018-06,63
2018-07,67
2018-08,61
2018-09,73
2018-10,72
2018-11,75
2018-12,81
2019-01,88
2019-02,78
2019-03,72
2019-04,67
2019-05,63
2019-06,63
2019-07,68
2019-08,64
2019-09,71
2019-10,77
2019-11,76
2019-12,85
2020-01,82
2020-02,77
2020-03,58
2020-04,64
2020-05,67
2020-06,70
2020-07,69
2020-08,70
2020-09,80
2020-10,82
2020-11,86
2020-12,84
2021-01,88
2021-02,84
2021-03,84
2021-04,76
2021-05,76
2021-06,70
2021-07,70
2021-08,74
2021-09,73
2021-10,75
2021-11,81
2021-12,84
2022-01,89
2022-02,81
2022-03,74
2022-04,69
2022-05,67
2022-06,67
2022-07,64
2022-08,74
2022-09,74
2022-10,85
2022-11,78
2022-12,86
2023-01,88
2023-02,84
2023-03,78
2023-04,79
2023-05,74
2023-06,77
2023-07,71
2023-08,77
2023-09,80
2023-10,79
2023-11,83
2023-12,90
2024-01,100
2024-02,88
2024-03,82
2024-04,80
