Category: All categories

Month,gout: (Bangladesh)
2014-01,0
2014-02,0
2014-03,73
2014-04,79
2014-05,75
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,61
2014-11,90
2014-12,0
2015-01,63
2015-02,80
2015-03,0
2015-04,0
2015-05,83
2015-06,0
2015-07,65
2015-08,93
2015-09,65
2015-10,65
2015-11,79
2015-12,69
2016-01,0
2016-02,53
2016-03,0
2016-04,57
2016-05,49
2016-06,73
2016-07,40
2016-08,35
2016-09,44
2016-10,41
2016-11,58
2016-12,38
2017-01,34
2017-02,73
2017-03,64
2017-04,57
2017-05,33
2017-06,68
2017-07,65
2017-08,44
2017-09,74
2017-10,59
2017-11,41
2017-12,67
2018-01,68
2018-02,58
2018-03,74
2018-04,96
2018-05,79
2018-06,67
2018-07,80
2018-08,63
2018-09,60
2018-10,75
2018-11,47
2018-12,71
2019-01,48
2019-02,100
2019-03,0
2019-04,54
2019-05,82
2019-06,63
2019-07,53
2019-08,67
2019-09,86
2019-10,51
2019-11,82
2019-12,72
2020-01,95
2020-02,80
2020-03,84
2020-04,68
2020-05,67
2020-06,70
2020-07,66
2020-08,67
2020-09,32
2020-10,76
2020-11,64
2020-12,74
2021-01,68
2021-02,47
2021-03,53
2021-04,96
2021-05,66
2021-06,55
2021-07,42
2021-08,69
2021-09,47
2021-10,60
2021-11,53
2021-12,56
2022-01,80
2022-02,80
2022-03,83
2022-04,75
2022-05,60
2022-06,72
2022-07,61
2022-08,71
2022-09,62
2022-10,61
2022-11,65
2022-12,56
2023-01,54
2023-02,58
2023-03,70
2023-04,58
2023-05,61
2023-06,74
2023-07,57
2023-08,65
2023-09,56
2023-10,53
2023-11,58
2023-12,62
2024-01,53
2024-02,51
2024-03,47
2024-04,33
