Category: All categories

Month,gout: (Canada)
2014-01,66
2014-02,67
2014-03,69
2014-04,71
2014-05,75
2014-06,73
2014-07,77
2014-08,74
2014-09,77
2014-10,75
2014-11,65
2014-12,73
2015-01,72
2015-02,70
2015-03,74
2015-04,78
2015-05,77
2015-06,81
2015-07,83
2015-08,78
2015-09,71
2015-10,68
2015-11,69
2015-12,72
2016-01,72
2016-02,76
2016-03,93
2016-04,79
2016-05,76
2016-06,78
2016-07,81
2016-08,78
2016-09,74
2016-10,74
2016-11,74
2016-12,77
2017-01,70
2017-02,76
2017-03,81
2017-04,82
2017-05,83
2017-06,89
2017-07,87
2017-08,83
2017-09,75
2017-10,76
2017-11,77
2017-12,80
2018-01,79
2018-02,77
2018-03,80
2018-04,82
2018-05,85
2018-06,82
2018-07,86
2018-08,84
2018-09,90
2018-10,79
2018-11,74
2018-12,88
2019-01,86
2019-02,80
2019-03,74
2019-04,87
2019-05,85
2019-06,85
2019-07,89
2019-08,81
2019-09,83
2019-10,79
2019-11,86
2019-12,76
2020-01,80
2020-02,78
2020-03,70
2020-04,72
2020-05,80
2020-06,82
2020-07,82
2020-08,80
2020-09,81
2020-10,81
2020-11,79
2020-12,95
2021-01,88
2021-02,88
2021-03,83
2021-04,83
2021-05,100
2021-06,92
2021-07,98
2021-08,92
2021-09,85
2021-10,84
2021-11,78
2021-12,81
2022-01,79
2022-02,80
2022-03,76
2022-04,77
2022-05,76
2022-06,93
2022-07,92
2022-08,87
2022-09,85
2022-10,83
2022-11,77
2022-12,78
2023-01,79
2023-02,79
2023-03,88
2023-04,89
2023-05,88
2023-06,91
2023-07,88
2023-08,89
2023-09,78
2023-10,78
2023-11,81
2023-12,90
2024-01,88
2024-02,84
2024-03,80
2024-04,90
