Category: All categories

Month,gout: (Cameroon)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,65
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,41
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,64
2017-06,0
2017-07,0
2017-08,38
2017-09,0
2017-10,0
2017-11,50
2017-12,0
2018-01,39
2018-02,0
2018-03,41
2018-04,56
2018-05,77
2018-06,92
2018-07,89
2018-08,29
2018-09,30
2018-10,34
2018-11,52
2018-12,54
2019-01,46
2019-02,53
2019-03,93
2019-04,64
2019-05,53
2019-06,55
2019-07,78
2019-08,78
2019-09,43
2019-10,32
2019-11,46
2019-12,44
2020-01,45
2020-02,39
2020-03,62
2020-04,52
2020-05,91
2020-06,79
2020-07,22
2020-08,56
2020-09,49
2020-10,42
2020-11,30
2020-12,36
2021-01,23
2021-02,90
2021-03,89
2021-04,74
2021-05,57
2021-06,61
2021-07,45
2021-08,47
2021-09,64
2021-10,28
2021-11,27
2021-12,38
2022-01,47
2022-02,59
2022-03,36
2022-04,39
2022-05,50
2022-06,34
2022-07,45
2022-08,60
2022-09,35
2022-10,35
2022-11,49
2022-12,43
2023-01,49
2023-02,33
2023-03,51
2023-04,39
2023-05,46
2023-06,100
2023-07,87
2023-08,61
2023-09,55
2023-10,52
2023-11,65
2023-12,78
2024-01,49
2024-02,55
2024-03,51
2024-04,49
