Category: All categories

Month,gout: (Egypt)
2014-01,33
2014-02,0
2014-03,36
2014-04,61
2014-05,39
2014-06,46
2014-07,27
2014-08,32
2014-09,41
2014-10,38
2014-11,75
2014-12,32
2015-01,43
2015-02,28
2015-03,34
2015-04,35
2015-05,35
2015-06,46
2015-07,43
2015-08,30
2015-09,35
2015-10,51
2015-11,46
2015-12,49
2016-01,42
2016-02,32
2016-03,50
2016-04,55
2016-05,49
2016-06,44
2016-07,35
2016-08,31
2016-09,20
2016-10,50
2016-11,73
2016-12,46
2017-01,33
2017-02,38
2017-03,52
2017-04,55
2017-05,57
2017-06,32
2017-07,44
2017-08,49
2017-09,46
2017-10,68
2017-11,80
2017-12,51
2018-01,36
2018-02,36
2018-03,63
2018-04,60
2018-05,71
2018-06,39
2018-07,44
2018-08,47
2018-09,65
2018-10,100
2018-11,73
2018-12,60
2019-01,71
2019-02,47
2019-03,71
2019-04,53
2019-05,67
2019-06,61
2019-07,56
2019-08,55
2019-09,74
2019-10,63
2019-11,82
2019-12,73
2020-01,55
2020-02,50
2020-03,52
2020-04,54
2020-05,100
2020-06,44
2020-07,52
2020-08,46
2020-09,42
2020-10,54
2020-11,53
2020-12,62
2021-01,54
2021-02,49
2021-03,60
2021-04,48
2021-05,63
2021-06,73
2021-07,61
2021-08,53
2021-09,45
2021-10,52
2021-11,62
2021-12,55
2022-01,90
2022-02,59
2022-03,69
2022-04,68
2022-05,63
2022-06,79
2022-07,64
2022-08,74
2022-09,77
2022-10,55
2022-11,70
2022-12,90
2023-01,72
2023-02,46
2023-03,76
2023-04,79
2023-05,81
2023-06,81
2023-07,80
2023-08,60
2023-09,63
2023-10,54
2023-11,89
2023-12,91
2024-01,53
2024-02,56
2024-03,76
2024-04,60
