Category: All categories

Month,gout: (Ethiopia)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,95
2014-07,0
2014-08,81
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,100
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,56
2015-11,0
2015-12,0
2016-01,40
2016-02,0
2016-03,0
2016-04,0
2016-05,35
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,70
2017-03,47
2017-04,45
2017-05,66
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,46
2017-11,42
2017-12,68
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,47
2018-07,0
2018-08,0
2018-09,0
2018-10,49
2018-11,0
2018-12,41
2019-01,37
2019-02,0
2019-03,47
2019-04,41
2019-05,0
2019-06,0
2019-07,51
2019-08,29
2019-09,38
2019-10,49
2019-11,40
2019-12,52
2020-01,41
2020-02,42
2020-03,36
2020-04,0
2020-05,44
2020-06,0
2020-07,0
2020-08,0
2020-09,35
2020-10,39
2020-11,0
2020-12,0
2021-01,50
2021-02,49
2021-03,0
2021-04,43
2021-05,0
2021-06,0
2021-07,0
2021-08,41
2021-09,52
2021-10,40
2021-11,52
2021-12,38
2022-01,80
2022-02,65
2022-03,54
2022-04,60
2022-05,61
2022-06,71
2022-07,54
2022-08,62
2022-09,60
2022-10,51
2022-11,43
2022-12,53
2023-01,52
2023-02,63
2023-03,85
2023-04,88
2023-05,65
2023-06,56
2023-07,31
2023-08,59
2023-09,36
2023-10,41
2023-11,54
2023-12,48
2024-01,56
2024-02,51
2024-03,51
2024-04,29
