Category: All categories

Month,gout: (Finland)
2014-01,39
2014-02,0
2014-03,56
2014-04,41
2014-05,0
2014-06,0
2014-07,0
2014-08,44
2014-09,100
2014-10,34
2014-11,0
2014-12,59
2015-01,0
2015-02,0
2015-03,31
2015-04,0
2015-05,32
2015-06,34
2015-07,42
2015-08,0
2015-09,39
2015-10,0
2015-11,0
2015-12,0
2016-01,48
2016-02,50
2016-03,0
2016-04,0
2016-05,40
2016-06,47
2016-07,0
2016-08,0
2016-09,0
2016-10,41
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,50
2017-04,43
2017-05,32
2017-06,0
2017-07,0
2017-08,39
2017-09,44
2017-10,42
2017-11,36
2017-12,44
2018-01,49
2018-02,47
2018-03,33
2018-04,40
2018-05,45
2018-06,0
2018-07,35
2018-08,41
2018-09,40
2018-10,37
2018-11,0
2018-12,32
2019-01,46
2019-02,41
2019-03,28
2019-04,43
2019-05,28
2019-06,32
2019-07,34
2019-08,0
2019-09,62
2019-10,59
2019-11,34
2019-12,46
2020-01,37
2020-02,27
2020-03,0
2020-04,45
2020-05,48
2020-06,53
2020-07,62
2020-08,44
2020-09,33
2020-10,31
2020-11,31
2020-12,30
2021-01,44
2021-02,48
2021-03,39
2021-04,41
2021-05,32
2021-06,49
2021-07,0
2021-08,41
2021-09,43
2021-10,61
2021-11,0
2021-12,70
2022-01,39
2022-02,59
2022-03,25
2022-04,47
2022-05,70
2022-06,56
2022-07,47
2022-08,43
2022-09,51
2022-10,52
2022-11,47
2022-12,57
2023-01,60
2023-02,50
2023-03,31
2023-04,51
2023-05,77
2023-06,48
2023-07,45
2023-08,79
2023-09,70
2023-10,49
2023-11,62
2023-12,77
2024-01,61
2024-02,55
2024-03,56
2024-04,37
