Category: All categories

Month,gout: (France)
2014-01,35
2014-02,37
2014-03,36
2014-04,36
2014-05,35
2014-06,31
2014-07,36
2014-08,37
2014-09,37
2014-10,50
2014-11,38
2014-12,40
2015-01,37
2015-02,44
2015-03,41
2015-04,41
2015-05,37
2015-06,36
2015-07,39
2015-08,39
2015-09,45
2015-10,55
2015-11,42
2015-12,53
2016-01,51
2016-02,52
2016-03,51
2016-04,58
2016-05,50
2016-06,43
2016-07,41
2016-08,40
2016-09,50
2016-10,62
2016-11,51
2016-12,54
2017-01,54
2017-02,53
2017-03,48
2017-04,49
2017-05,47
2017-06,44
2017-07,47
2017-08,49
2017-09,56
2017-10,64
2017-11,56
2017-12,59
2018-01,57
2018-02,57
2018-03,59
2018-04,53
2018-05,53
2018-06,46
2018-07,50
2018-08,57
2018-09,60
2018-10,65
2018-11,58
2018-12,60
2019-01,57
2019-02,58
2019-03,61
2019-04,58
2019-05,60
2019-06,54
2019-07,53
2019-08,58
2019-09,62
2019-10,63
2019-11,57
2019-12,61
2020-01,59
2020-02,60
2020-03,77
2020-04,77
2020-05,63
2020-06,61
2020-07,62
2020-08,68
2020-09,71
2020-10,81
2020-11,78
2020-12,71
2021-01,100
2021-02,71
2021-03,71
2021-04,76
2021-05,71
2021-06,56
2021-07,68
2021-08,72
2021-09,68
2021-10,75
2021-11,73
2021-12,96
2022-01,95
2022-02,77
2022-03,74
2022-04,81
2022-05,68
2022-06,69
2022-07,80
2022-08,74
2022-09,74
2022-10,90
2022-11,90
2022-12,86
2023-01,78
2023-02,80
2023-03,77
2023-04,80
2023-05,77
2023-06,66
2023-07,70
2023-08,79
2023-09,75
2023-10,85
2023-11,79
2023-12,88
2024-01,77
2024-02,77
2024-03,76
2024-04,80
