Category: All categories

Month,gout: (Ghana)
2014-01,66
2014-02,94
2014-03,64
2014-04,71
2014-05,53
2014-06,0
2014-07,51
2014-08,51
2014-09,47
2014-10,51
2014-11,61
2014-12,55
2015-01,49
2015-02,57
2015-03,50
2015-04,57
2015-05,39
2015-06,77
2015-07,65
2015-08,38
2015-09,54
2015-10,80
2015-11,100
2015-12,91
2016-01,46
2016-02,65
2016-03,81
2016-04,72
2016-05,72
2016-06,47
2016-07,52
2016-08,62
2016-09,70
2016-10,70
2016-11,48
2016-12,51
2017-01,43
2017-02,93
2017-03,54
2017-04,58
2017-05,76
2017-06,78
2017-07,72
2017-08,76
2017-09,73
2017-10,57
2017-11,85
2017-12,59
2018-01,58
2018-02,71
2018-03,76
2018-04,56
2018-05,89
2018-06,42
2018-07,70
2018-08,64
2018-09,49
2018-10,59
2018-11,69
2018-12,58
2019-01,41
2019-02,56
2019-03,73
2019-04,52
2019-05,52
2019-06,43
2019-07,69
2019-08,57
2019-09,66
2019-10,51
2019-11,66
2019-12,67
2020-01,72
2020-02,75
2020-03,37
2020-04,87
2020-05,50
2020-06,64
2020-07,73
2020-08,78
2020-09,67
2020-10,40
2020-11,51
2020-12,44
2021-01,57
2021-02,60
2021-03,67
2021-04,70
2021-05,62
2021-06,73
2021-07,83
2021-08,70
2021-09,43
2021-10,94
2021-11,71
2021-12,82
2022-01,56
2022-02,69
2022-03,74
2022-04,85
2022-05,73
2022-06,67
2022-07,69
2022-08,66
2022-09,62
2022-10,75
2022-11,67
2022-12,50
2023-01,58
2023-02,65
2023-03,59
2023-04,88
2023-05,67
2023-06,73
2023-07,69
2023-08,74
2023-09,88
2023-10,69
2023-11,45
2023-12,58
2024-01,51
2024-02,75
2024-03,63
2024-04,56
